"number"	"rank"	"title"	"studio"	"worldwide"	"domestic"	"overseas"	"release_year"	"genre"	"mpaa"	"theater"	"rating"	"genre1"	"genre2"	"ow"	"runt"	"weeks"	"director1"	"director2"	"star1"	"star2"	"per"	"budget"	"series"	"title1"	"rn"	"to_rating"	"sh"	"bb"
"33"	33	33	"Finding Nemo"	"BV"	936.7	380.8	555.9	2003	"Animation"	"G"	3425	8.1	"Animation"	""	70.3	104	29	"Andrew Stanton"	"Lee Unkrich"	"Albert Brooks"	"Ellen DeGeneres"	"ss"	94	0	"findingnemo"	253	88	0	4.05
"34"	34	34	"Harry Potter and the Half-Blood Prince"	"WB"	934.4	302	632.5	2009	"Fantasy"	"PG"	4455	7.5	"Fantasy"	""	77.8	153	22.3	"David Yates"	""	"Daniel Radcliffe"	"Michael Gambon"	"ss"	250	0	"harrypotterandthehalfbloodprince"	266	72	0	1.21
"35"	35	35	"The Lord of the Rings: The Two Towers"	"NL"	926	342.6	583.5	2002	"Fantasy"	"PG-13"	NA	8.7	"Fantasy"	""	NA	179	NA	"Peter Jackson"	""	"Bruce Allpress"	"Sean Astin"	"hs"	94	1	"thelordoftherings:thetwotowers"	248	85	0	3.64
"36"	36	36	"Shrek 2"	"DW"	919.8	441.2	478.6	2004	"Animation"	"PG"	4223	7.2	"Animation"	""	108	93	21.3	"Andrew Adamson"	"Kelly Asbury"	"Mike Myers"	"Eddie Murphy"	"ns"	150	1	"shrek2"	233	77	0	2.94
"37"	37	37	"Harry Potter and the Goblet of Fire"	"WB"	896.9	290	606.9	2005	"Fantasy"	"PG-13"	3858	7.6	"Fantasy"	""	102.7	153	20	"Mike Newell"	""	"Eric Sykes"	"Timothy Spall"	"ns"	150	0	"harrypotterandthegobletoffire"	246	77	0	1.93
"38"	38	38	"Spider-Man 3"	"Sony"	890.9	336.5	554.3	2007	"AA"	"PG-13"	4324	6.2	"AA"	""	151.1	140	16	"Sam Raimi"	""	"Tobey Maguire"	"Kirsten Dunst"	"ns"	258	1	"spiderman3"	0	0	3	1.3
"39"	39	39	"Ice Age: Dawn of the Dinosaurs"	"Fox"	886.7	196.6	690.1	2009	"Animation"	"PG"	4102	7	"Animation"	""	41.7	87	21.3	"Carlos Saldanha"	"Mike Thurmeier"	"Eunice Cho"	"Karen Disher"	"ss"	90	1	"iceage:dawnofthedinosaurs"	0	0	0	2.18
"40"	40	40	"Spectre"	"Sony"	879.5	199.8	679.7	2015	"Action"	"PG-13"	NA	6.9	"Action"	""	NA	148	NA	"Sam Mendes"	""	"Daniel Craig"	"Christoph Waltz"	"ns"	245	0	"spectre"	0	0	0	0.82
"41"	41	41	"Harry Potter and the Chamber of Secrets"	"WB"	879	262	617	2002	"Fantasy"	"PG"	3682	7.4	"Fantasy"	""	88.4	161	24.4	"Chris Columbus"	""	"Daniel Radcliffe"	"Rupert Grint"	"ns"	100	0	"harrypotterandthechamberofsecrets"	230	71	0	2.62
"42"	42	42	"Ice Age: Continental Drift"	"Fox"	877.2	161.3	715.9	2012	"Animation"	"PG"	3886	6.7	"Animation"	""	46.6	94	30	"Steve Martino"	"Mike Thurmeier"	"Aziz Ansari"	"Joy Behar"	"ss"	95	1	"iceage:continentaldrift"	0	0	0	1.7
"43"	43	43	"The Lord of the Rings: The Fellowship of the Ring"	"NL"	871.5	315.5	556	2001	"Fantasy"	"PG-13"	NA	8.8	"Fantasy"	""	NA	178	NA	"Peter Jackson"	""	"Alan Howard"	"Noel Appleby"	"hs"	93	1	"thelordoftherings:thefellowshipofthering"	225	80	0	3.39
"44"	44	44	"The Hunger Games: Catching Fire"	"LGF"	865	424.7	440.3	2013	"AA"	"PG-13"	4163	7.6	"AA"	""	158.1	146	19	"Francis Lawrence"	""	"Jennifer Lawrence"	"Liam Hemsworth"	"hs"	130	1	"thehungergames:catchingfire"	253	78	0	3.27
"45"	45	45	"Inside Out"	"BV"	856.8	356.5	500.3	2015	"Animation"	"PG"	NA	8.3	"Animation"	""	NA	94	NA	"Pete Docter"	"Ronnie Del Carmen"	"Amy Poehler"	"Phyllis Smith"	"ss"	175	0	"insideout"	304	87	0	2.04
"46"	46	46	"Star Wars: Episode III - Revenge of the Sith"	"Fox"	848.8	380.3	468.5	2005	"Sci-Fi Fantasy"	"PG-13"	3663	7.6	"Sci-Fi"	"Fantasy"	108.4	146	22.1	"George Lucas"	""	"Ewan McGregor"	"Natalie Portman"	"ns"	113	1	"starwars:revengeofthesith"	283	67	0	3.37
"47"	47	47	"Transformers: Revenge of the Fallen"	"P/DW"	836.3	402.1	434.2	2009	"Sci-Fi Action"	"PG-13"	4293	6	"Sci-Fi"	"Action"	109	144	16.3	"Michael Bay"	""	"Shia LaBeouf"	"Megan Fox"	"ss"	200	1	"transformers:revengeofthefallen"	0	0	0	2.01
"48"	48	48	"The Twilight Saga: Breaking Dawn Part 2"	"LG/S"	829.7	292.3	537.4	2012	"Romance"	"PG-13"	4070	5.5	"Romance"	""	141.1	116	16	"Bill Condon"	""	"Kristen Stewart"	"Robert Pattinson"	"ns"	120	1	"thetwilightsaga:breakingdawnpart2"	0	0	0	2.44
