"number"	"rank"	"title"	"studio"	"worldwide"	"domestic"	"overseas"	"release_year"	"genre"	"mpaa"	"theater"	"rating"	"genre1"	"genre2"	"ow"	"runt"	"weeks"	"director1"	"director2"	"star1"	"star2"	"per"	"budget"	"series"	"title1"	"rn"	"to_rating"	"sh"	"bb"
"188"	188	188	"Men in Black II"	"Sony"	441.8	190.4	251.4	2002	"Sci-Fi Comedy"	"PG-13"	3641	6.1	"Sci-Fi"	"Comedy"	52.1	88	8.9	"Barry Sonnenfeld"	""	"Tommy Lee Jones"	"Will Smith"	"ss"	140	0	"meninblackii"	0	0	0	1.36
"189"	189	189	"Les Miserables"	"Uni."	441.8	148.8	293	2012	"Musical"	"PG-13"	2927	7.6	"Musical"	""	27.3	157	14.4	"Tom Hooper"	""	"Hugh Jackman"	"Russell Crowe"	"hs"	61	0	"lesmiserables"	43	62	0	2.44
"190"	190	190	"The Exorcist"	"WB"	441.3	232.9	208.4	1973	"Horror"	"R"	NA	8	"Horror"	""	NA	122	NA	"William Friedkin"	""	"Ellen Burstyn"	"Max von Sydow"	"hs"	NA	0	"theexorcist"	0	0	0	NA
"191"	191	191	"Mrs. Doubtfire"	"Fox"	441.3	219.2	222.1	1993	"Family Comedy"	"PG-13"	NA	6.9	"Family"	"Comedy"	NA	125	NA	"Chris Columbus"	""	"Robin Williams"	"Sally Field"	"hs"	25	0	"mrs.doubtfire"	49	59	0	8.77
"192"	192	192	"Terminator: Genisys"	"Par."	440.6	89.8	350.8	2015	"Action"	"PG-13"	3783	6.6	"Action"	""	27	126	11.3	"Alan Taylor"	""	"Arnold Schwarzenegger"	"Jason Clarke"	"ss"	155	1	"terminator:genisys"	0	0	0	0.58
"193"	193	193	"Terminator 3: Rise of the Machines"	"WB"	433.4	150.4	283	2003	"Sci-Fi Action"	"R"	3504	6.4	"Sci-Fi"	"Action"	44	109	17.3	"Jonathan Mostow"	""	"Arnold Schwarzenegger"	"Nick Stahl"	"ss"	200	1	"terminator3:riseofthemachines"	0	0	0	0.75
"194"	194	194	"The Mummy Returns"	"Uni."	433	202	231	2001	"Period Adventure"	"PG-13"	3553	6.3	"Period"	"Adventure"	NA	130	NA	"Stephen Sommers"	""	"Brendan Fraser"	"Rachel Weisz"	"ns"	98	0	"themummyreturns"	0	0	0	2.06
"195"	195	195	"Die Another Day"	"MGM"	432	160.9	271	2002	"Action"	"PG-13"	3377	6.1	"Action"	""	NA	123	NA	"Lee Tamahori"	""	"Pierce Brosnan"	"Halle Berry"	"hs"	142	0	"dieanotherday"	0	0	0	1.13
"196"	196	196	"Cast Away"	"Fox"	429.6	233.6	196	2000	"Drama"	"PG-13"	3061	7.7	"Drama"	""	NA	143	NA	"Robert Zemeckis"	""	"Paul Sanchez"	"Lari White"	"hs"	90	0	"castaway"	154	79	0	2.6
"197"	197	197	"The Matrix Revolutions"	"WB"	427.3	139.3	288	2003	"Sci-Fi Action"	"R"	3502	6.7	"Sci-Fi"	"Action"	NA	135	NA	"Lana Wachowski"	"Lilly Wachowski"	"Mary Alice"	"Tanveer K. Atwal"	"ns"	150	0	"thematrixrevolutions"	0	0	0	0.93
"198"	198	198	"The Intouchables"	"Wein."	426.6	10.2	416.4	2012	"Foreign"	"R"	NA	5.8	"Foreign"	""	NA	112	NA	"Lana Wachowski"	""	"Prime Video
Unlimited Streamingof Movies & TV"	"Tanveer K. Atwal"	"ss"	NA	0	"theintouchables"	0	0	0	NA
"199"	199	199	"Django Unchained"	"Wein."	425.4	162.8	262.6	2012	"Western"	"R"	3012	8.5	"Western"	""	30.1	165	20.4	"Quentin Tarantino"	""	"Jamie Foxx"	"Christoph Waltz"	"hs"	100	0	"djangounchained"	248	77	0	1.63
"200"	200	200	"Beauty and the Beast"	"BV"	425	219	206	1991	"Animation"	"G"	NA	8	"Animation"	""	NA	84	NA	"Gary Trousdale"	"Kirk Wise"	"Robby Benson"	"Jesse Corti"	"ns"	25	0	"beautyandthebeast"	103	82	0	8.76
"201"	201	201	"Dances with Wolves"	"Orion"	424.2	184.2	240	1990	"Western"	"PG-13"	NA	8	"Western"	""	NA	183	NA	"Kevin Costner"	""	"Kevin Costner"	"Mary McDonnell"	"ns"	22	0	"danceswithwolves"	66	71	0	8.37
"202"	202	202	"The Chronicles of Narnia: Prince Caspian"	"BV"	419.7	141.6	278	2008	"Fantasy"	"PG"	3929	6.6	"Fantasy"	""	55	140	16	"Andrew Adamson"	""	"Ben Barnes"	"Georgie Henley"	"ns"	225	1	"thechroniclesofnarnia:princecaspian"	0	0	0	0.63
"203"	203	203	"The Mummy"	"Uni."	415.9	155.4	260.5	1999	"Period Adventure"	"PG-13"	NA	7	"Period"	"Adventure"	NA	124	NA	"Stephen Sommers"	""	"Brendan Fraser"	"Rachel Weisz"	"ns"	80	0	"themummy"	83	43	0	1.94
"204"	204	204	"The Chronicles of Narnia: The Voyage of the Dawn Treader"	"Fox"	415.7	104.4	311.3	2010	"Fantasy"	"PG"	3555	6.3	"Fantasy"	""	24	112	18	"Michael Apted"	""	"Georgie Henley"	"Skandar Keynes"	"hs"	155	1	"thechroniclesofnarnia:thevoyageofthedawntreader"	0	0	0	0.67
"205"	205	205	"Sex and the City"	"WB (NL)"	415.3	152.6	262.6	2008	"Romantic Comedy"	"R"	3325	6.9	"Romantic"	"Comedy"	57	135	16	"Darren Star"	""	"Sarah Jessica Parker"	"Kim Cattrall"	"ss"	65	0	"sexandthecity"	0	0	0	2.35
"206"	206	206	"The Wolverine"	"Fox"	414.8	132.6	282.3	2013	"Action"	"PG-13"	3924	6.7	"Action"	""	53.1	126	19	"James Mangold"	""	"Hugh Jackman"	"Tao Okamoto"	"ss"	120	0	"thewolverine"	0	0	0	1.1
"207"	207	207	"Kingsman: The Secret Service"	"Fox"	414.4	128.3	286.1	2015	"AA"	"R"	3282	7.8	"AA"	""	36.2	129	21	"Matthew Vaughn"	""	"Adrian Quinton"	"Colin Firth"	"ns"	81	1	"kingsman:thesecretservice"	0	0	0	1.58
"208"	208	208	"The King's Speech"	"Wein."	414.2	138.8	275.4	2010	"Historical Drama"	"R"	NA	8	"Historical"	"Drama"	NA	118	NA	"Tom Hooper"	""	"Colin Firth"	"Helena Bonham Carter"	"hs"	15	0	"theking'sspeech"	265	84	0	9.25
"209"	209	209	"Night at the Museum: Battle of the Smithsonian"	"Fox"	413.1	177.2	235.9	2009	"Family Adventure"	"PG"	4101	5.9	"Family"	"Adventure"	54.2	105	24	"Shawn Levy"	""	"Ben Stiller"	"Amy Adams"	"ss"	150	1	"nightatthemuseum:battleofthesmithsonian"	0	0	0	1.18
"210"	210	210	"Batman"	"WB"	411.3	251.2	160.2	1989	"AA"	"PG-13"	2201	7.6	"AA"	""	40.5	126	25	"Tim Burton"	""	"Michael Keaton"	"Jack Nicholson"	"ss"	35	0	"batman"	68	60	2	7.18
"211"	211	211	"The Bodyguard"	"WB"	411	122	289	1992	"Romance"	"R"	1806	6.1	"Romance"	""	NA	130	NA	"Mick Jackson"	""	"Kevin Costner"	"Whitney Houston"	"hs"	NA	0	"thebodyguard"	0	0	0	NA
"212"	212	212	"Pacific Rim"	"WB"	411	101.8	309.2	2013	"Sci-Fi Action"	"PG-13"	3285	7	"Sci-Fi"	"Action"	37.3	131	14	"Guillermo del Toro"	""	"Charlie Hunnam"	"Diego Klattenhoff"	"ss"	190	0	"pacificrim"	0	0	0	0.54
"213"	213	213	"Signs"	"BV"	408.2	228	180.3	2002	"Sci-Fi Horror"	"PG-13"	3453	6.7	"Sci-Fi"	"Horror"	60.1	107	27	"M. Night Shyamalan"	""	"Mel Gibson"	"Joaquin Phoenix"	"ss"	72	0	"signs"	228	62	0	3.17
"214"	214	214	"X2: X-Men United"	"Fox"	407.7	214.9	192.8	2003	"AA"	"PG-13"	3749	7.5	"AA"	""	85.6	134	21	"Bryan Singer"	""	"Patrick Stewart"	"Hugh Jackman"	"ns"	110	1	"x2:xmenunited"	235	75	4	1.95
"215"	215	215	"Prometheus"	"Fox"	403.4	126.5	276.9	2012	"Sci-Fi Action"	"R"	NA	7	"Sci-Fi"	"Action"	NA	124	NA	"Ridley Scott"	""	"Noomi Rapace"	"Michael Fassbender"	"ss"	135	0	"prometheus"	0	0	0	0.94
"216"	216	216	"The Mummy: Tomb of the Dragon Emperor"	"Uni."	401.1	102.5	298.6	2008	"Period Adventure"	"R"	3442	5.2	"Period"	"Adventure"	51.1	114	15	"Rob Cohen"	""	"Brendan Fraser"	"Jet Li"	"ss"	130	1	"themummy:tombofthedragonemperor"	0	0	0	0.79
"217"	217	217	"Gone with the Wind"	"MGM"	400.2	198.7	201.5	1939	"Historical Epic"	"PG-13"	3778	8.2	"Historical"	"Epic"	NA	238	NA	"Victor Fleming"	"George Cukor"	"Thomas Mitchell"	"Barbara O'Neil"	"hs"	145	0	"gonewiththewind"	0	0	0	1.37
"218"	218	218	"Tron Legacy"	"BV"	400.1	172.1	228	2010	"Sci-Fi Action"	"G"	NA	6.8	"Sci-Fi"	"Action"	NA	125	NA	"Joseph Kosinski"	""	"Jeff Bridges"	"Garrett Hedlund"	"hs"	NA	0	"tronlegacy"	0	0	0	NA
"219"	219	219	"Mission: Impossible III"	"Par."	397.9	134	263.8	2006	"Action"	"PG"	3451	6.9	"Action"	""	44	126	17	"J.J. Abrams"	""	"Tom Cruise"	"Philip Seymour Hoffman"	"ns"	170	1	"mission:impossibleiii"	0	0	0	0.79
"220"	220	220	"Snow White and the Huntsman"	"Uni."	396.6	155.3	241.3	2012	"Adventure"	"PG-13"	4059	6.1	"Adventure"	""	NA	127	NA	"Rupert Sanders"	""	"Kristen Stewart"	"Chris Hemsworth"	"ss"	150	0	"snowwhiteandthehuntsman"	0	0	0	1.04
"221"	221	221	"Grease"	"Par."	395	188.8	206.2	1978	"Musical"	"PG-13"	3777	7.2	"Musical"	""	NA	110	NA	"Randal Kleiser"	""	"John Travolta"	"Olivia Newton-John"	"ss"	170	0	"grease"	0	0	0	1.11
"222"	222	222	"Twilight"	"Sum."	393.6	192.8	200.8	2008	"Romance"	"PG"	NA	5.2	"Romance"	""	NA	120	NA	"Catherine Hardwicke"	""	"Kristen Stewart"	"Sarah Clarke"	"hs"	6	0	"twilight"	54	47	0	32.13
"223"	223	223	"The Wolf of Wall Street"	"Par."	392	116.9	275.1	2013	"Drama"	"PG-13"	NA	8.2	"Drama"	""	NA	180	NA	"Martin Scorsese"	""	"Leonardo DiCaprio"	"Jonah Hill"	"hs"	37	0	"thewolfofwallstreet"	248	65	0	3.16
"224"	224	224	"Superman Returns"	"WB"	391.1	200.1	191	2006	"AA"	"R"	2557	6.1	"AA"	""	18.4	154	14.3	"Bryan Singer"	""	"Brandon Routh"	"Kate Bosworth"	"ss"	100	0	"supermanreturns"	258	64	2	2
"225"	225	225	"Robin Hood: Prince of Thieves"	"WB"	390.5	165.5	225	1991	"Period Adventure"	"PG-13"	4065	6.9	"Period"	"Adventure"	52.5	143	18.3	"Kevin Reynolds"	""	"Kevin Costner"	"Morgan Freeman"	"ss"	270	1	"robinhood:princeofthieves"	52	38	0	0.61
"226"	226	226	"Raiders of the Lost Ark"	"Par."	389.9	248.2	141.8	1981	"Period Adventure"	"PG-13"	NA	8.5	"Period"	"Adventure"	NA	115	NA	"Steven Spielberg"	""	"Harrison Ford"	"Karen Allen"	"ss"	48	0	"raidersofthelostark"	0	0	0	5.17
"227"	227	227	"Home"	"Fox"	386	177.4	208.6	2015	"AA"	"PG"	NA	6.7	"AA"	""	NA	151	NA	"Tim Johnson"	""	"Jim Parsons"	"Rihanna"	"hs"	18	0	"home"	42	43	0	9.86
"228"	228	228	"Star Trek"	"Par."	385.7	257.7	128	2015	"Animation"	"PG"	NA	8	"Animation"	""	NA	94	NA	"J.J. Abrams"	""	"Chris Pine"	"Zachary Quinto"	"ns"	135	0	"startrek"	43	12	0	1.91
"229"	229	229	"Monster Hunt"	"FR"	385.3	NA	385.2	2009	"Sci-Fi Adventure"	"PG-13"	4053	6.2	"Sci-Fi"	"Adventure"	75.2	126	21	"Raman Hui"	""	"Baihe Bai"	"Boran Jing"	"ns"	150	0	"monsterhunt"	0	0	0	NA
"230"	230	230	"The Revenant"	"Fox"	385	167.7	217.3	2016	"Action Fantasy"	"Unrated"	NA	8.2	"Action"	"Fantasy"	NA	111	NA	"Alejandro Gonz¨¢lez I_¨¢rritu"	""	"Leonardo DiCaprio"	"Tom Hardy"	"ns"	NA	0	"therevenant"	296	71	0	NA
"231"	231	231	"Happy Feet"	"WB"	384.3	198	186.3	2006	"Animation"	"PG"	3804	6.5	"Animation"	""	41.5	108	25	"George Miller"	"Warren Coleman"	"Carlos Alazraqui"	"Lombardo Boyar"	"ns"	100	0	"happyfeet"	161	63	0	1.98
"232"	232	232	"Live Free or Die Hard"	"Fox"	383.5	134.5	249	2007	"Action"	"PG-13"	3411	7.2	"Action"	""	33.4	130	19.3	"Len Wiseman"	""	"Bruce Willis"	"Timothy Olyphant"	"ss"	110	0	"livefreeordiehard"	206	71	0	1.22
"233"	233	233	"Ice Age"	"Fox"	383.3	176.4	206.9	2002	"Animation"	"PG"	3345	7.6	"Animation"	""	46.3	81	24.6	"Chris Wedge"	"Carlos Saldanha"	"Ray Romano"	"John Leguizamo"	"ns"	59	0	"iceage"	165	65	0	2.99
"234"	234	234	"Monsters Vs. Aliens"	"P/DW"	381.5	198.4	183.2	2009	"Animation"	"PG"	4136	6.6	"Animation"	""	59.3	94	22	"Rob Letterman"	"Conrad Vernon"	"Reese Witherspoon"	"Seth Rogen"	"ns"	175	0	"monstersvs.aliens"	0	0	0	1.13
"235"	235	235	"Back to the Future"	"Uni."	381.1	210.6	170.5	1985	"Sci-Fi Adventure"	"PG"	NA	8.5	"Sci-Fi"	"Adventure"	NA	111	NA	"Robert Zemeckis"	""	"Michael J. Fox"	"Christopher Lloyd"	"ss"	19	0	"backtothefuture"	60	51	0	11.08
"236"	236	236	"Godzilla"	"Sony"	379	136.3	242.7	1998	"Sci-Fi Action"	"PG-13"	3310	6.5	"Sci-Fi"	"Action"	NA	140	NA	"Gareth Edwards"	""	"Aaron Taylor-Johnson"	"CJ Adams"	"ss"	130	0	"godzilla"	68	44	0	1.05
"237"	237	237	"True Lies"	"Fox"	378.9	146.3	232.6	1994	"Action Comedy"	"R"	NA	7.2	"Action"	"Comedy"	NA	144	NA	"James Cameron"	""	"Arnold Schwarzenegger"	"Jamie Lee Curtis"	"ss"	115	0	"truelies"	47	60	0	1.27
"238"	238	238	"Slumdog Millionaire"	"FoxS"	377.9	141.3	236.6	2008	"Drama"	"R"	NA	8	"Drama"	""	NA	120	NA	"Danny Boyle"	"Loveleen Tandan"	"Dev Patel"	"Saurabh Shukla"	"ns"	15	0	"slumdogmillionaire"	267	81	0	9.42
"239"	239	239	"Mad Max: Fury Road"	"WB"	377.6	153.6	224	2015	"Sci-Fi Action"	"R"	NA	8.2	"Sci-Fi"	"Action"	NA	120	NA	"George Miller"	""	"Tom Hardy"	"Charlize Theron"	"ns"	150	1	"madmax:furyroad"	343	86	0	1.02
"240"	240	240	"Taken 2"	"Fox"	376.1	139.9	236.3	2012	"Action"	"PG-13"	3706	6.3	"Action"	""	49.5	91	20	"Olivier Megaton"	""	"Liam Neeson"	"Maggie Grace"	"ns"	45	1	"taken2"	0	0	0	3.11
"241"	241	241	"G.I. Joe: Retaliation"	"Par."	375.7	122.5	253.2	2013	"Action"	"PG-13"	3734	5.8	"Action"	""	40.5	99	16.1	"Jon M. Chu"	""	"Dwayne Johnson"	"Jonathan Pryce"	"ns"	130	1	"g.i.joe:retaliation"	0	0	0	0.94
"242"	242	242	"Batman Begins"	"WB"	374.2	206.9	167.4	2005	"AA"	"PG-13"	3858	8.3	"AA"	""	48.7	140	20.3	"Christopher Nolan"	""	"Christian Bale"	"Michael Caine"	"ss"	150	0	"batmanbegins"	267	74	2	1.38
"243"	243	243	"What Women Want"	"Par."	374.1	182.8	191.3	2000	"Fantasy Comedy"	"PG-13"	NA	6.4	"Fantasy"	"Comedy"	NA	127	NA	"Nancy Meyers"	""	"Mel Gibson"	"Helen Hunt"	"hs"	70	0	"whatwomenwant"	0	0	0	2.61
"244"	244	244	"The Adventures of Tintin"	"Par."	374	77.6	296.4	2011	"Animation"	"PG"	3087	7.4	"Animation"	""	9.7	101	13.3	"Steven Spielberg"	""	"Jamie Bell"	"Andy Serkis"	"hs"	NA	0	"theadventuresoftintin"	0	0	0	NA
"245"	245	245	"X-Men Origins: Wolverine"	"Fox"	373.1	179.9	193.2	2009	"AA"	"PG-13"	4102	6.7	"AA"	""	85.1	107	22	"Gavin Hood"	""	"Hugh Jackman"	"Liev Schreiber"	"ns"	150	1	"xmenorigins:wolverine"	0	0	4	1.2
"246"	246	246	"Penguins of Madagascar"	"Fox"	373	83.4	289.7	2014	"Animation"	"PG"	3775	6.7	"Animation"	""	NA	92	NA	"Eric Darnell"	"Simon J. Smith"	"Tom McGrath"	"Chris Miller"	"hs"	132	0	"penguinsofmadagascar"	0	0	0	0.63
"247"	247	247	"The Golden Compass"	"NL"	372.2	70.1	302.1	2007	"Fantasy"	"PG-13"	3528	6.1	"Fantasy"	""	25.8	113	13	"Chris Weitz"	""	"Nicole Kidman"	"Daniel Craig"	"hs"	180	0	"thegoldencompass"	0	0	0	0.39
"248"	248	248	"Terminator Salvation"	"WB"	371.4	125.3	246	2009	"Sci-Fi Action"	"PG-13"	3602	6.6	"Sci-Fi"	"Action"	42.6	114	16.1	"McG"	""	"Christian Bale"	"Sam Worthington"	"ss"	200	0	"terminatorsalvation"	0	0	0	0.63
"249"	249	249	"Captain America: The First Avenger"	"Par."	370.6	176.7	193.9	2011	"AA"	"PG-13"	3715	6.8	"AA"	""	65.1	125	16	"Joe Johnston"	""	"Chris Evans"	"Hayley Atwell"	"ss"	140	1	"captainamerica:thefirstavenger"	241	67	1	1.26
"250"	250	250	"Edge of Tomorrow"	"WB"	370.5	100.2	270.3	2014	"Sci-Fi Action"	"PG-13"	3505	7.9	"Sci-Fi"	"Action"	28.8	113	14	"Doug Liman"	""	"Tom Cruise"	"Emily Blunt"	"ss"	178	0	"edgeoftomorrow"	279	79	0	0.56
"251"	251	251	"There's Something About Mary"	"Fox"	369.9	176.5	193.4	1998	"Romantic Comedy"	"R"	NA	7.1	"Romantic"	"Comedy"	NA	119	NA	"Bobby Farrelly"	"Peter Farrelly"	"Cameron Diaz"	"Matt Dillon"	"ss"	23	0	"there'ssomethingaboutmary"	83	72	0	7.67
"252"	252	252	"Gone Girl"	"Fox"	369.3	167.8	201.6	2014	"Thriller"	"R"	3284	8.1	"Thriller"	""	37.5	145	21	"David Fincher"	""	"Ben Affleck"	"Rosamund Pike"	"ns"	61	0	"gonegirl"	288	77	0	2.75
"253"	253	253	"The Fugitive"	"WB"	368.9	183.9	185	1993	"Action Thriller"	"PG-13"	2425	7.8	"Action"	"Thriller"	23.8	130	21	"Andrew Davis"	""	"Harrison Ford"	"Tommy Lee Jones"	"ss"	NA	0	"thefugitive"	72	85	0	NA
"254"	254	254	"Jurassic Park III"	"Uni."	368.8	181.2	187.6	2001	"Sci-Fi Horror"	"PG-13"	3462	5.9	"Sci-Fi"	"Horror"	NA	92	NA	"Joe Johnston"	""	"Sam Neill"	"William H. Macy"	"ss"	93	0	"jurassicparkiii"	0	0	0	1.95
"255"	255	255	"My Big Fat Greek Wedding"	"IFC"	368.7	241.4	127.3	2002	"Romantic Comedy"	"PG"	NA	6.6	"Romantic"	"Comedy"	NA	95	NA	"Joel Zwick"	""	"Nia Vardalos"	"Michael Constantine"	"ns"	5	0	"mybigfatgreekwedding"	129	64	0	48.28
"256"	256	256	"Hitch"	"Sony"	368.1	179.5	188.6	2005	"Romantic Comedy"	"PG-13"	3575	6.7	"Romantic"	"Comedy"	43.1	115	17	"Andy Tennant"	""	"Will Smith"	"Eva Mendes"	"ns"	70	0	"hitch"	84	84	0	2.56
"257"	257	257	"Shark Tale"	"DW"	367.3	160.9	206.4	2004	"Animation"	"PG"	4070	6	"Animation"	""	47.6	90	14	"Bibo Bergeron"	"Vicky Jenson"	"Will Smith"	"Robert De Niro"	"ns"	75	0	"sharktale"	0	0	0	2.15
"258"	258	258	"Die Hard: With A Vengeance"	"Fox"	366.1	100	266.1	1995	"Action Thriller"	"R"	2579	7.6	"Action"	"Thriller"	NA	131	NA	"John McTiernan"	""	"Bruce Willis"	"Jeremy Irons"	"ns"	90	1	"diehard:withavengeance"	45	39	0	1.11
"259"	259	259	"Notting Hill"	"Uni."	363.9	116.1	247.8	1999	"Romantic Comedy"	"PG-13"	NA	7	"Romantic"	"Comedy"	NA	124	NA	"Roger Michell"	""	"Julia Roberts"	"Hugh Grant"	"ss"	42	0	"nottinghill"	98	72	0	2.76
"260"	260	260	"A Bug's Life"	"BV"	363.4	162.8	200.6	1998	"Animation"	"G"	NA	7.2	"Animation"	""	NA	96	NA	"John Lasseter"	"Andrew Stanton"	"Dave Foley"	"Kevin Spacey"	"hs"	120	0	"abug'slife"	86	81	0	1.36
"261"	261	261	"Night at the Museum: Secret of the Tomb"	"Fox"	363.2	113.7	249.5	2014	"Family Adventure"	"PG"	3914	6.2	"Family"	"Adventure"	17.1	97	29	"Shawn Levy"	""	"Ben Stiller"	"Robin Williams"	"hs"	127	1	"nightatthemuseum:secretofthetomb"	0	0	0	0.9
"262"	262	262	"Fast and Furious"	"Uni."	363.2	155.1	208.1	2009	"Action"	"PG-13"	3674	6.6	"Action"	""	71	99	13	"Justin Lin"	""	"Vin Diesel"	"Paul Walker"	"ns"	85	0	"fastandfurious"	0	0	0	1.82
"263"	263	263	"Ocean's Twelve"	"WB"	362.7	125.5	237.2	2004	"Crime Comedy"	"PG-13"	3290	6.4	"Crime"	"Comedy"	39.2	124	15	"Steven Soderbergh"	""	"Brad Pitt"	"Catherine Zeta-Jones"	"hs"	110	0	"ocean'stwelve"	0	0	0	1.14
"264"	264	264	"Noah"	"Par."	362.6	101.2	261.4	2014	"Drama"	"PG-13"	3571	5.8	"Drama"	""	43.7	138	12	"Darren Aronofsky"	""	"Russell Crowe"	"Jennifer Connelly"	"ns"	125	0	"noah"	0	0	0	0.81
"265"	265	265	"Planet of the Apes"	"Fox"	362.2	180	182.2	2001	"Sci-Fi Action"	"PG-13"	NA	NA	"Sci-Fi"	"Action"	NA	119	NA	"Thomas Eikrem"	""	"Anders Arentoft"	"Jennifer Connelly"	"ss"	100	0	"planetoftheapes"	248	71	0	1.8
"266"	266	266	"The Hangover Part III"	"WB"	362	112.2	249.8	2013	"Comedy"	"R"	3565	5.9	"Comedy"	""	41.7	100	12.1	"Todd Phillips"	""	"Bradley Cooper"	"Ed Helms"	"ss"	103	1	"thehangoverpartiii"	0	0	0	1.09
"267"	267	267	"Toy Story"	"BV"	362	191.8	170.2	1995	"Animation"	"G"	2574	8.3	"Animation"	""	NA	81	NA	"John Lasseter"	""	"Tom Hanks"	"Tim Allen"	"hs"	NA	0	"toystory"	78	2	0	NA
"268"	268	268	"The World Is Not Enough"	"MGM"	361.8	126.9	234.9	1999	"Action"	"PG-13"	3163	6.4	"Action"	""	NA	128	NA	"Michael Apted"	""	"Pierce Brosnan"	"Sophie Marceau"	"ns"	135	0	"theworldisnotenough"	136	39	0	0.94
"269"	269	269	"Alvin and the Chipmunks"	"Fox"	361.3	217.3	144	2007	"Family Comedy"	"PG"	NA	5.3	"Family"	"Comedy"	NA	92	NA	"Tim Hill"	""	"Jason Lee"	"David Cross"	"hs"	60	0	"alvinandthechipmunks"	0	0	0	3.62
"270"	270	270	"The Karate Kid"	"Sony"	359.1	176.6	182.5	2010	"Action Drama"	"PG"	3740	7.2	"Action"	"Drama"	55.7	140	15	"John G. Avildsen"	""	"Ralph Macchio"	"Pat Morita"	"ss"	40	0	"thekaratekid"	0	0	0	4.42
"271"	271	271	"Home Alone 2: Lost in New York"	"Fox"	359	173.6	185.4	1992	"Family Comedy"	"PG"	2461	6.6	"Family"	"Comedy"	NA	120	NA	"Chris Columbus"	""	"Macaulay Culkin"	"Joe Pesci"	"hs"	NA	1	"homealone2:lostinnewyork"	0	0	0	NA
"272"	272	272	"Hotel Transylvania"	"Sony"	358.4	148.3	210.1	2012	"Animation"	"PG"	3375	7.1	"Animation"	""	42.5	91	20.6	"Genndy Tartakovsky"	""	"Adam Sandler"	"Andy Samberg"	"ns"	85	0	"hoteltransylvania"	0	0	0	1.74
"273"	273	273	"Minority Report"	"Fox"	358.4	132.1	226.3	2002	"Sci-Fi Thriller"	"PG-13"	3001	7.7	"Sci-Fi"	"Thriller"	NA	144	NA	"Steven Spielberg"	""	"Tom Cruise"	"Max von Sydow"	"ss"	102	0	"minorityreport"	240	79	0	1.3
"274"	274	274	"Top Gun"	"Par."	356.8	179.8	177	1986	"Action Drama"	"PG"	NA	6.9	"Action"	"Drama"	NA	110	NA	"Tony Scott"	""	"Tom Cruise"	"Kelly McGillis"	"ns"	NA	0	"topgun"	0	0	0	NA
"275"	275	275	"American Beauty"	"DW"	356.3	130.1	226.2	1999	"Drama"	"R"	NA	8.4	"Drama"	""	NA	122	NA	"Sam Mendes"	""	"Kevin Spacey"	"Annette Bening"	"ns"	15	0	"americanbeauty"	180	77	0	8.67
"276"	276	276	"Apollo 13"	"Uni."	355.2	173.8	181.4	1995	"Action Thriller"	"PG"	NA	7.6	"Action"	"Thriller"	NA	140	NA	"Ron Howard"	""	"Tom Hanks"	"Bill Paxton"	"ss"	NA	1	"apollo13"	85	84	0	NA
"277"	277	277	"Rain Man"	"MGM"	354.8	172.8	182	1988	"Drama"	"R"	NA	8	"Drama"	""	NA	133	NA	"Barry Levinson"	""	"Dustin Hoffman"	"Tom Cruise"	"hs"	25	0	"rainman"	69	79	0	6.91
"278"	278	278	"X-Men: First Class"	"Fox"	353.6	146.4	207.2	2011	"AA"	"PG-13"	3692	7.8	"AA"	""	55.1	131	17	"Matthew Vaughn"	""	"James McAvoy"	"Laurence Belcher"	"ss"	160	1	"xmen:firstclass"	270	76	4	0.92
"279"	279	279	"Basic Instinct"	"TriS"	352.9	117.7	235.2	1992	"Thriller"	"R"	NA	6.9	"Thriller"	""	NA	123	NA	"Paul Verhoeven"	""	"Michael Douglas"	"Sharon Stone"	"ns"	49	0	"basicinstinct"	59	42	0	2.4
"280"	280	280	"GoldenEye"	"MGM"	352.2	106.4	245.8	1995	"Action"	"PG-13"	NA	7.2	"Action"	""	NA	130	NA	"Martin Campbell"	""	"Pierce Brosnan"	"Sean Bean"	"ns"	NA	0	"goldeneye"	72	66	0	NA
"281"	281	281	"Catch Me If You Can"	"DW"	352.1	164.6	187.5	2002	"Comedy / Drama"	"PG-13"	3225	8	"Comedy"	"Drama"	30.1	140	21.3	"Steven Spielberg"	""	"Leonardo DiCaprio"	"Tom Hanks"	"hs"	52	0	"catchmeifyoucan"	195	85	0	3.17
"282"	282	282	"Now You See Me"	"LG/S"	351.7	117.7	234	2013	"Thriller"	"PG-13"	3082	7.3	"Thriller"	""	29.4	116	17	"Louis Leterrier"	""	"Jesse Eisenberg"	"Mark Ruffalo"	"ss"	75	0	"nowyouseeme"	0	0	0	1.57
"283"	283	283	"Hannibal"	"MGM"	351.7	165.1	186.6	2001	"Thriller"	"R"	3292	8.6	"Thriller"	""	NA	131	NA	"Bryan Fuller"	""	"Hugh Dancy"	"Mads Mikkelsen"	"ns"	87	0	"hannibal"	0	0	0	1.9
"284"	284	284	"The Mask"	"NL"	351.6	119.9	231.6	1994	"Comedy"	"PG-13"	NA	6.9	"Comedy"	""	NA	97	NA	"Chuck Russell"	""	"Jim Carrey"	"Peter Riegert"	"ss"	23	0	"themask"	52	65	0	5.21
