"number"	"rank"	"title"	"studio"	"worldwide"	"domestic"	"overseas"	"release_date"	"release_year"	"genre"	"mpaa"	"theater"	"rating"	"genre1"	"genre2"	"ow"	"runt"	"weeks"	"director1"	"director2"	"star1"	"star2"	"per"	"budget"
"215"	215	215	"Prometheus"	"Fox"	403.4	126.5	276.9	NA	2012	"Sci-Fi Action"	"R"	NA	7	"Sci-Fi"	"Action"	NA	124	NA	"Ridley Scott"	""	"Noomi Rapace"	"Michael Fassbender"	"ss"	135
"216"	216	216	"The Mummy: Tomb of the Dragon Emperor"	"Uni."	401.1	102.5	298.6	NA	2008	"Period Adventure"	"R"	3442	5.2	"Period"	"Adventure"	51.1	114	15	"Rob Cohen"	""	"Brendan Fraser"	"Jet Li"	"ss"	130
"217"	217	217	"Gone with the Wind"	"MGM"	400.2	198.7	201.5	NA	1939	"Historical Epic"	"PG-13"	3778	8.2	"Historical"	"Epic"	NA	238	NA	"Victor Fleming"	"George Cukor"	"Thomas Mitchell"	"Barbara O'Neil"	"hs"	145
"218"	218	218	"Tron Legacy"	"BV"	400.1	172.1	228	NA	2010	"Sci-Fi Action"	"G"	NA	6.8	"Sci-Fi"	"Action"	NA	125	NA	"Joseph Kosinski"	""	"Jeff Bridges"	"Garrett Hedlund"	"hs"	NA
"219"	219	219	"Mission: Impossible III"	"Par."	397.9	134	263.8	NA	2006	"Action"	"PG"	3451	6.9	"Action"	""	44	126	17	"J.J. Abrams"	""	"Tom Cruise"	"Philip Seymour Hoffman"	"ns"	170
"220"	220	220	"Snow White and the Huntsman"	"Uni."	396.6	155.3	241.3	NA	2012	"Adventure"	"PG-13"	4059	6.1	"Adventure"	""	NA	127	NA	"Rupert Sanders"	""	"Kristen Stewart"	"Chris Hemsworth"	"ss"	150
"221"	221	221	"Grease"	"Par."	395	188.8	206.2	NA	1978	"Musical"	"PG-13"	3777	7.2	"Musical"	""	NA	110	NA	"Randal Kleiser"	""	"John Travolta"	"Olivia Newton-John"	"ss"	170
"222"	222	222	"Twilight"	"Sum."	393.6	192.8	200.8	NA	2008	"Romance"	"PG"	NA	5.2	"Romance"	""	NA	120	NA	"Catherine Hardwicke"	""	"Kristen Stewart"	"Sarah Clarke"	"hs"	6
"223"	223	223	"The Wolf of Wall Street"	"Par."	392	116.9	275.1	NA	2013	"Drama"	"PG-13"	NA	8.2	"Drama"	""	NA	180	NA	"Martin Scorsese"	""	"Leonardo DiCaprio"	"Jonah Hill"	"hs"	37
"224"	224	224	"Superman Returns"	"WB"	391.1	200.1	191	NA	2006	"AA"	"R"	2557	6.1	"AA"	""	18.4	154	14.3	"Bryan Singer"	""	"Brandon Routh"	"Kate Bosworth"	"ss"	100
"225"	225	225	"Robin Hood: Prince of Thieves"	"WB"	390.5	165.5	225	NA	1991	"Period Adventure"	"PG-13"	4065	6.9	"Period"	"Adventure"	52.5	143	18.3	"Kevin Reynolds"	""	"Kevin Costner"	"Morgan Freeman"	"ss"	270
"226"	226	226	"Raiders of the Lost Ark"	"Par."	389.9	248.2	141.8	NA	1981	"Period Adventure"	"PG-13"	NA	8.5	"Period"	"Adventure"	NA	115	NA	"Steven Spielberg"	""	"Harrison Ford"	"Karen Allen"	"ss"	48
"227"	227	227	"Home (2015)"	"Fox"	386	177.4	208.6	NA	2015	"AA"	"PG"	NA	6.7	"AA"	""	NA	151	NA	"Tim Johnson"	""	"Jim Parsons"	"Rihanna"	"hs"	18
"228"	228	228	"Star Trek"	"Par."	385.7	257.7	128	NA	2015	"Animation"	"PG"	NA	8	"Animation"	""	NA	94	NA	"J.J. Abrams"	""	"Chris Pine"	"Zachary Quinto"	"ns"	135
"229"	229	229	"Monster Hunt"	"FR"	385.3	NA	385.2	NA	2009	"Sci-Fi Adventure"	"PG-13"	4053	6.2	"Sci-Fi"	"Adventure"	75.2	126	21	"Raman Hui"	""	"Baihe Bai"	"Boran Jing"	"ns"	150
"230"	230	230	"The Revenant"	"Fox"	385	167.7	217.3	NA	2016	"Action Fantasy"	"Unrated"	NA	8.2	"Action"	"Fantasy"	NA	111	NA	"Alejandro Gonz¨¢lez I_¨¢rritu"	""	"Leonardo DiCaprio"	"Tom Hardy"	"ns"	NA
"231"	231	231	"Happy Feet"	"WB"	384.3	198	186.3	NA	2006	"Animation"	"PG"	3804	6.5	"Animation"	""	41.5	108	25	"George Miller"	"Warren Coleman"	"Carlos Alazraqui"	"Lombardo Boyar"	"ns"	100
"232"	232	232	"Live Free or Die Hard"	"Fox"	383.5	134.5	249	NA	2007	"Action"	"PG-13"	3411	7.2	"Action"	""	33.4	130	19.3	"Len Wiseman"	""	"Bruce Willis"	"Timothy Olyphant"	"ss"	110
"233"	233	233	"Ice Age"	"Fox"	383.3	176.4	206.9	NA	2002	"Animation"	"PG"	3345	7.6	"Animation"	""	46.3	81	24.6	"Chris Wedge"	"Carlos Saldanha"	"Ray Romano"	"John Leguizamo"	"ns"	59
"234"	234	234	"Monsters Vs. Aliens"	"P/DW"	381.5	198.4	183.2	NA	2009	"Animation"	"PG"	4136	6.6	"Animation"	""	59.3	94	22	"Rob Letterman"	"Conrad Vernon"	"Reese Witherspoon"	"Seth Rogen"	"ns"	175
"235"	235	235	"Back to the Future"	"Uni."	381.1	210.6	170.5	NA	1985	"Sci-Fi Adventure"	"PG"	NA	8.5	"Sci-Fi"	"Adventure"	NA	111	NA	"Robert Zemeckis"	""	"Michael J. Fox"	"Christopher Lloyd"	"ss"	19
"236"	236	236	"Godzilla"	"Sony"	379	136.3	242.7	NA	1998	"Sci-Fi Action"	"PG-13"	3310	6.5	"Sci-Fi"	"Action"	NA	140	NA	"Gareth Edwards"	""	"Aaron Taylor-Johnson"	"CJ Adams"	"ss"	130
"237"	237	237	"True Lies"	"Fox"	378.9	146.3	232.6	NA	1994	"Action Comedy"	"R"	NA	7.2	"Action"	"Comedy"	NA	144	NA	"James Cameron"	""	"Arnold Schwarzenegger"	"Jamie Lee Curtis"	"ss"	115
"238"	238	238	"Slumdog Millionaire"	"FoxS"	377.9	141.3	236.6	NA	2008	"Drama"	"R"	NA	8	"Drama"	""	NA	120	NA	"Danny Boyle"	"Loveleen Tandan"	"Dev Patel"	"Saurabh Shukla"	"ns"	15
"239"	239	239	"Mad Max: Fury Road"	"WB"	377.6	153.6	224	NA	2015	"Sci-Fi Action"	"R"	NA	8.2	"Sci-Fi"	"Action"	NA	120	NA	"George Miller"	""	"Tom Hardy"	"Charlize Theron"	"ns"	150
"240"	240	240	"Taken 2"	"Fox"	376.1	139.9	236.3	NA	2012	"Action"	"PG-13"	3706	6.3	"Action"	""	49.5	91	20	"Olivier Megaton"	""	"Liam Neeson"	"Maggie Grace"	"ns"	45
"241"	241	241	"G.I. Joe: Retaliation"	"Par."	375.7	122.5	253.2	NA	2013	"Action"	"PG-13"	3734	5.8	"Action"	""	40.5	99	16.1	"Jon M. Chu"	""	"Dwayne Johnson"	"Jonathan Pryce"	"ns"	130
"242"	242	242	"Batman Begins"	"WB"	374.2	206.9	167.4	NA	2005	"AA"	"PG-13"	3858	8.3	"AA"	""	48.7	140	20.3	"Christopher Nolan"	""	"Christian Bale"	"Michael Caine"	"ss"	150
"243"	243	243	"What Women Want"	"Par."	374.1	182.8	191.3	NA	2000	"Fantasy Comedy"	"PG-13"	NA	6.4	"Fantasy"	"Comedy"	NA	127	NA	"Nancy Meyers"	""	"Mel Gibson"	"Helen Hunt"	"hs"	70
"244"	244	244	"The Adventures of Tintin"	"Par."	374	77.6	296.4	NA	2011	"Animation"	"PG"	3087	7.4	"Animation"	""	9.7	101	13.3	"Steven Spielberg"	""	"Jamie Bell"	"Andy Serkis"	"hs"	NA
"245"	245	245	"X-Men Origins: Wolverine"	"Fox"	373.1	179.9	193.2	NA	2009	"AA"	"PG-13"	4102	6.7	"AA"	""	85.1	107	22	"Gavin Hood"	""	"Hugh Jackman"	"Liev Schreiber"	"ns"	150
"246"	246	246	"Penguins of Madagascar"	"Fox"	373	83.4	289.7	NA	2014	"Animation"	"PG"	3775	6.7	"Animation"	""	NA	92	NA	"Eric Darnell"	"Simon J. Smith"	"Tom McGrath"	"Chris Miller"	"hs"	132
"247"	247	247	"The Golden Compass"	"NL"	372.2	70.1	302.1	NA	2007	"Fantasy"	"PG-13"	3528	6.1	"Fantasy"	""	25.8	113	13	"Chris Weitz"	""	"Nicole Kidman"	"Daniel Craig"	"hs"	180
"248"	248	248	"Terminator Salvation"	"WB"	371.4	125.3	246	NA	2009	"Sci-Fi Action"	"PG-13"	3602	6.6	"Sci-Fi"	"Action"	42.6	114	16.1	"McG"	""	"Christian Bale"	"Sam Worthington"	"ss"	200
"249"	249	249	"Captain America: The First Avenger"	"Par."	370.6	176.7	193.9	NA	2011	"AA"	"PG-13"	3715	6.8	"AA"	""	65.1	125	16	"Joe Johnston"	""	"Chris Evans"	"Hayley Atwell"	"ss"	140
"250"	250	250	"Edge of Tomorrow"	"WB"	370.5	100.2	270.3	NA	2014	"Sci-Fi Action"	"PG-13"	3505	7.9	"Sci-Fi"	"Action"	28.8	113	14	"Doug Liman"	""	"Tom Cruise"	"Emily Blunt"	"ss"	178
"251"	251	251	"There's Something About Mary"	"Fox"	369.9	176.5	193.4	NA	1998	"Romantic Comedy"	"R"	NA	7.1	"Romantic"	"Comedy"	NA	119	NA	"Bobby Farrelly"	"Peter Farrelly"	"Cameron Diaz"	"Matt Dillon"	"ss"	23
"252"	252	252	"Gone Girl"	"Fox"	369.3	167.8	201.6	NA	2014	"Thriller"	"R"	3284	8.1	"Thriller"	""	37.5	145	21	"David Fincher"	""	"Ben Affleck"	"Rosamund Pike"	"ns"	61
"253"	253	253	"The Fugitive"	"WB"	368.9	183.9	185	NA	1993	"Action Thriller"	"PG-13"	2425	7.8	"Action"	"Thriller"	23.8	130	21	"Andrew Davis"	""	"Harrison Ford"	"Tommy Lee Jones"	"ss"	NA
"254"	254	254	"Jurassic Park III"	"Uni."	368.8	181.2	187.6	NA	2001	"Sci-Fi Horror"	"PG-13"	3462	5.9	"Sci-Fi"	"Horror"	NA	92	NA	"Joe Johnston"	""	"Sam Neill"	"William H. Macy"	"ss"	93
"255"	255	255	"My Big Fat Greek Wedding"	"IFC"	368.7	241.4	127.3	NA	2002	"Romantic Comedy"	"PG"	NA	6.6	"Romantic"	"Comedy"	NA	95	NA	"Joel Zwick"	""	"Nia Vardalos"	"Michael Constantine"	"ns"	5
"256"	256	256	"Hitch"	"Sony"	368.1	179.5	188.6	NA	2005	"Romantic Comedy"	"PG-13"	3575	6.7	"Romantic"	"Comedy"	43.1	115	17	"Andy Tennant"	""	"Will Smith"	"Eva Mendes"	"ns"	70
"257"	257	257	"Shark Tale"	"DW"	367.3	160.9	206.4	NA	2004	"Animation"	"PG"	4070	6	"Animation"	""	47.6	90	14	"Bibo Bergeron"	"Vicky Jenson"	"Will Smith"	"Robert De Niro"	"ns"	75
"258"	258	258	"Die Hard: With A Vengeance"	"Fox"	366.1	100	266.1	NA	1995	"Action Thriller"	"R"	2579	7.6	"Action"	"Thriller"	NA	131	NA	"John McTiernan"	""	"Bruce Willis"	"Jeremy Irons"	"ns"	90
"259"	259	259	"Notting Hill"	"Uni."	363.9	116.1	247.8	NA	1999	"Romantic Comedy"	"PG-13"	NA	7	"Romantic"	"Comedy"	NA	124	NA	"Roger Michell"	""	"Julia Roberts"	"Hugh Grant"	"ss"	42
"260"	260	260	"A Bug's Life"	"BV"	363.4	162.8	200.6	NA	1998	"Animation"	"G"	NA	7.2	"Animation"	""	NA	96	NA	"John Lasseter"	"Andrew Stanton"	"Dave Foley"	"Kevin Spacey"	"hs"	120
"261"	261	261	"Night at the Museum: Secret of the Tomb"	"Fox"	363.2	113.7	249.5	NA	2014	"Family Adventure"	"PG"	3914	6.2	"Family"	"Adventure"	17.1	97	29	"Shawn Levy"	""	"Ben Stiller"	"Robin Williams"	"hs"	127
"262"	262	262	"Fast and Furious"	"Uni."	363.2	155.1	208.1	NA	2009	"Action"	"PG-13"	3674	6.6	"Action"	""	71	99	13	"Justin Lin"	""	"Vin Diesel"	"Paul Walker"	"ns"	85
"263"	263	263	"Ocean's Twelve"	"WB"	362.7	125.5	237.2	NA	2004	"Crime Comedy"	"PG-13"	3290	6.4	"Crime"	"Comedy"	39.2	124	15	"Steven Soderbergh"	""	"Brad Pitt"	"Catherine Zeta-Jones"	"hs"	110
"264"	264	264	"Noah"	"Par."	362.6	101.2	261.4	NA	2014	"Drama"	"PG-13"	3571	5.8	"Drama"	""	43.7	138	12	"Darren Aronofsky"	""	"Russell Crowe"	"Jennifer Connelly"	"ns"	125
"265"	265	265	"Planet of the Apes (2001)"	"Fox"	362.2	180	182.2	NA	2001	"Sci-Fi Action"	"PG-13"	NA	NA	"Sci-Fi"	"Action"	NA	119	NA	"Thomas Eikrem"	""	"Anders Arentoft"	"Jennifer Connelly"	"ss"	100
"266"	266	266	"The Hangover Part III"	"WB"	362	112.2	249.8	NA	2013	"Comedy"	"R"	3565	5.9	"Comedy"	""	41.7	100	12.1	"Todd Phillips"	""	"Bradley Cooper"	"Ed Helms"	"ss"	103
"267"	267	267	"Toy Story"	"BV"	362	191.8	170.2	NA	1995	"Animation"	"G"	2574	8.3	"Animation"	""	NA	81	NA	"John Lasseter"	""	"Tom Hanks"	"Tim Allen"	"hs"	NA
"268"	268	268	"The World Is Not Enough"	"MGM"	361.8	126.9	234.9	NA	1999	"Action"	"PG-13"	3163	6.4	"Action"	""	NA	128	NA	"Michael Apted"	""	"Pierce Brosnan"	"Sophie Marceau"	"ns"	135
"269"	269	269	"Alvin and the Chipmunks"	"Fox"	361.3	217.3	144	NA	2007	"Family Comedy"	"PG"	NA	5.3	"Family"	"Comedy"	NA	92	NA	"Tim Hill"	""	"Jason Lee"	"David Cross"	"hs"	60
"270"	270	270	"The Karate Kid"	"Sony"	359.1	176.6	182.5	NA	2010	"Action Drama"	"PG"	3740	7.2	"Action"	"Drama"	55.7	140	15	"John G. Avildsen"	""	"Ralph Macchio"	"Pat Morita"	"ss"	40
"271"	271	271	"Home Alone 2: Lost in New York"	"Fox"	359	173.6	185.4	NA	1992	"Family Comedy"	"PG"	2461	6.6	"Family"	"Comedy"	NA	120	NA	"Chris Columbus"	""	"Macaulay Culkin"	"Joe Pesci"	"hs"	NA
"272"	272	272	"Hotel Transylvania"	"Sony"	358.4	148.3	210.1	NA	2012	"Animation"	"PG"	3375	7.1	"Animation"	""	42.5	91	20.6	"Genndy Tartakovsky"	""	"Adam Sandler"	"Andy Samberg"	"ns"	85
"273"	273	273	"Minority Report"	"Fox"	358.4	132.1	226.3	NA	2002	"Sci-Fi Thriller"	"PG-13"	3001	7.7	"Sci-Fi"	"Thriller"	NA	144	NA	"Steven Spielberg"	""	"Tom Cruise"	"Max von Sydow"	"ss"	102
"274"	274	274	"Top Gun"	"Par."	356.8	179.8	177	NA	1986	"Action Drama"	"PG"	NA	6.9	"Action"	"Drama"	NA	110	NA	"Tony Scott"	""	"Tom Cruise"	"Kelly McGillis"	"ns"	NA
"275"	275	275	"American Beauty"	"DW"	356.3	130.1	226.2	NA	1999	"Drama"	"R"	NA	8.4	"Drama"	""	NA	122	NA	"Sam Mendes"	""	"Kevin Spacey"	"Annette Bening"	"ns"	15
"276"	276	276	"Apollo 13"	"Uni."	355.2	173.8	181.4	NA	1995	"Action Thriller"	"PG"	NA	7.6	"Action"	"Thriller"	NA	140	NA	"Ron Howard"	""	"Tom Hanks"	"Bill Paxton"	"ss"	NA
"277"	277	277	"Rain Man"	"MGM"	354.8	172.8	182	NA	1988	"Drama"	"R"	NA	8	"Drama"	""	NA	133	NA	"Barry Levinson"	""	"Dustin Hoffman"	"Tom Cruise"	"hs"	25
"278"	278	278	"X-Men: First Class"	"Fox"	353.6	146.4	207.2	NA	2011	"AA"	"PG-13"	3692	7.8	"AA"	""	55.1	131	17	"Matthew Vaughn"	""	"James McAvoy"	"Laurence Belcher"	"ss"	160
"279"	279	279	"Basic Instinct"	"TriS"	352.9	117.7	235.2	NA	1992	"Thriller"	"R"	NA	6.9	"Thriller"	""	NA	123	NA	"Paul Verhoeven"	""	"Michael Douglas"	"Sharon Stone"	"ns"	49
"280"	280	280	"GoldenEye"	"MGM"	352.2	106.4	245.8	NA	1995	"Action"	"PG-13"	NA	7.2	"Action"	""	NA	130	NA	"Martin Campbell"	""	"Pierce Brosnan"	"Sean Bean"	"ns"	NA
"281"	281	281	"Catch Me If You Can"	"DW"	352.1	164.6	187.5	NA	2002	"Comedy / Drama"	"PG-13"	3225	8	"Comedy"	"Drama"	30.1	140	21.3	"Steven Spielberg"	""	"Leonardo DiCaprio"	"Tom Hanks"	"hs"	52
"282"	282	282	"Now You See Me"	"LG/S"	351.7	117.7	234	NA	2013	"Thriller"	"PG-13"	3082	7.3	"Thriller"	""	29.4	116	17	"Louis Leterrier"	""	"Jesse Eisenberg"	"Mark Ruffalo"	"ss"	75
"283"	283	283	"Hannibal"	"MGM"	351.7	165.1	186.6	NA	2001	"Thriller"	"R"	3292	8.6	"Thriller"	""	NA	131	NA	"Bryan Fuller"	""	"Hugh Dancy"	"Mads Mikkelsen"	"ns"	87
"284"	284	284	"The Mask"	"NL"	351.6	119.9	231.6	NA	1994	"Comedy"	"PG-13"	NA	6.9	"Comedy"	""	NA	97	NA	"Chuck Russell"	""	"Jim Carrey"	"Peter Riegert"	"ss"	23
"285"	285	285	"The Great Gatsby (2013)"	"WB"	351	144.8	206.2	NA	2013	"Drama"	"PG-13"	3550	7.3	"Drama"	""	50.1	143	15	"Baz Luhrmann"	""	"Lisa Adam"	"Frank Aldridge"	"ns"	105
"286"	286	286	"Speed"	"Fox"	350.4	121.2	229.2	NA	1994	"Action Thriller"	"R"	2169	7.2	"Action"	"Thriller"	NA	116	NA	"Jan de Bont"	""	"Keanu Reeves"	"Dennis Hopper"	"ss"	30
"287"	287	287	"Dinosaur"	"BV"	349.8	137.7	212.1	NA	2000	"Animation"	"PG"	NA	6.4	"Animation"	""	NA	82	NA	"Eric Leighton"	"Ralph Zondag"	"D.B. Sweeney"	"Alfre Woodard"	"ns"	127.5
"288"	288	288	"Deep Impact"	"Par."	349.5	140.5	209	NA	1998	"Action Drama"	"PG-13"	NA	6.1	"Action"	"Drama"	NA	120	NA	"Mimi Leder"	""	"Robert Duvall"	"T¨¦a Leoni"	"ns"	NA
"289"	289	289	"Dr. Seuss' The Lorax"	"Uni."	348.8	214	134.8	NA	2012	"Animation"	"PG"	3769	6.5	"Animation"	""	70.2	95	21	"Chris Renaud"	"Kyle Balda"	"Danny DeVito"	"Ed Helms"	"ns"	70
"290"	290	290	"The Maze Runner"	"Fox"	348.3	102.4	245.9	NA	2014	"Sci-Fi Thriller"	"PG-13"	3638	6.8	"Sci-Fi"	"Thriller"	32.5	113	20	"Wes Ball"	""	"Dylan O'Brien"	"Aml Ameen"	"ns"	34
"291"	291	291	"The Smurfs 2"	"Sony"	347.5	71	276.5	NA	2013	"Family Comedy"	"PG"	3867	5.4	"Family"	"Comedy"	17.5	105	15.7	"Raja Gosnell"	""	"Hank Azaria"	"Neil Patrick Harris"	"ss"	105
"292"	292	292	"National Treasure"	"BV"	347.5	173	174.5	NA	2004	"Adventure"	"PG"	3243	6.9	"Adventure"	""	35.1	131	28	"Jon Turteltaub"	""	"Nicolas Cage"	"Diane Kruger"	"ns"	100
"293"	293	293	"Rush Hour 2"	"NL"	347.3	226.2	121.2	NA	2001	"Action Comedy"	"PG-13"	NA	6.6	"Action"	"Comedy"	NA	90	NA	"Brett Ratner"	""	"Jackie Chan"	"Chris Tucker"	"ss"	90
"294"	294	294	"I Robot"	"Fox"	347.2	144.8	202.4	NA	2004	"Sci-Fi Thriller"	"PG-13"	3494	7.1	"Sci-Fi"	"Thriller"	52.2	105	24	"Alex Proyas"	""	"Will Smith"	"Bridget Moynahan"	"ss"	120
"295"	295	295	"Pocahontas"	"BV"	346.1	141.6	204.5	NA	1995	"Animation"	"G"	NA	6.6	"Animation"	""	NA	81	NA	"Mike Gabriel"	"Eric Goldberg"	"Irene Bedard"	"Judy Kuhn"	"ss"	NA
"296"	296	296	"How the Grinch Stole Christmas"	"Uni."	345.1	260	85.1	NA	2000	"Family Comedy"	"PG"	3256	6	"Family"	"Comedy"	55.1	104	15	"Ron Howard"	""	"Jim Carrey"	"Taylor Momsen"	"ns"	123
"297"	297	297	"Alvin and the Chipmunks: Chipwrecked"	"Fox"	342.7	133.1	209.6	NA	2011	"Family Comedy"	"G"	NA	4.4	"Family"	"Comedy"	NA	87	NA	"Mike Mitchell"	""	"Jason Lee"	"David Cross"	"hs"	75
"298"	298	298	"The Flintstones"	"Uni."	341.6	130.5	211.1	NA	1994	"Family Comedy"	"PG"	NA	7.5	"Family"	"Comedy"	NA	91	NA	"Joseph Barbera"	"William Hanna"	"Jean Vander Pyl"	"Alan Reed"	"ss"	46
"299"	299	299	"Wanted"	"Uni."	341.4	134.5	206.9	NA	2008	"AA"	"R"	3185	6.7	"AA"	""	NA	108	NA	"Timur Bekmambetov"	""	"James McAvoy"	"Morgan Freeman"	"ss"	75
"300"	300	300	"Enchanted"	"BV"	340.5	127.8	212.7	NA	2007	"Family Adventure"	"PG"	3730	7.1	"Family"	"Adventure"	34.4	107	16.3	"Kevin Lima"	""	"Amy Adams"	"Patrick Dempsey"	"hs"	85
"301"	301	301	"300: Rise of An Empire"	"WB"	337.6	106.6	231	NA	2014	"Period Action"	"R"	3490	6.3	"Period"	"Action"	45	102	12	"Noam Murro"	""	"Sullivan Stapleton"	"Eva Green"	"ns"	110
"302"	302	302	"Batman Forever"	"WB"	336.5	184	152.5	NA	1995	"AA"	"PG-13"	2893	5.4	"AA"	""	52.8	122	21	"Joel Schumacher"	""	"Val Kilmer"	"Tommy Lee Jones"	"ss"	100
"303"	303	303	"Prince of Persia: The Sands of Time"	"BV"	336.4	90.8	245.6	NA	2010	"Adventure"	"PG-13"	3646	6.6	"Adventure"	""	30.1	115	17	"Mike Newell"	""	"Jake Gyllenhaal"	"Gemma Arterton"	"ss"	200
"304"	304	304	"Over the Hedge"	"P/DW"	336	155	181	NA	2006	"Animation"	"PG"	4093	6.8	"Animation"	""	38.5	87	16	"Tim Johnson"	"Karey Kirkpatrick"	"Bruce Willis"	"Garry Shandling"	"ns"	NA
"305"	305	305	"Journey 2: The Mysterious Island"	"WB (NL)"	335.3	103.9	231.4	NA	2012	"Adventure"	"PG"	3500	5.8	"Adventure"	""	27.3	94	20	"Brad Peyton"	""	"Dwayne Johnson"	"Michael Caine"	"ns"	79
"306"	306	306	"The Rock"	"BV"	335.1	134.1	201	NA	1996	"Action"	"R"	2426	7.4	"Action"	""	25.1	136	26	"Michael Bay"	""	"Sean Connery"	"Nicolas Cage"	"ss"	75
"307"	307	307	"The Curious Case of Benjamin Button"	"Par."	333.9	127.5	206.4	NA	2008	"Fantasy Drama"	"PG-13"	2988	7.8	"Fantasy"	"Drama"	26.9	168	17.1	"David Fincher"	""	"Cate Blanchett"	"Brad Pitt"	"hs"	150
"308"	308	308	"Indiana Jones and the Temple of Doom"	"Par."	333.1	179.9	153.2	NA	1984	"Period Adventure"	"PG"	1687	7.6	"Period"	"Adventure"	NA	118	NA	"Steven Spielberg"	""	"Harrison Ford"	"Kate Capshaw"	"ss"	28
"309"	309	309	"Tomorrow Never Dies"	"MGM"	333	125.3	207.7	NA	1997	"Action"	"PG-13"	NA	6.5	"Action"	""	NA	119	NA	"Roger Spottiswoode"	""	"Pierce Brosnan"	"Jonathan Pryce"	"hs"	NA
"310"	310	310	"Back to the Future Part II"	"Uni."	332	118.5	213.5	NA	1989	"Sci-Fi Adventure"	"PG"	NA	7.8	"Sci-Fi"	"Adventure"	NA	108	NA	"Robert Zemeckis"	""	"Michael J. Fox"	"Christopher Lloyd"	"hs"	40
"311"	311	311	"22 Jump Street"	"Sony"	331.3	191.7	139.6	NA	2014	"Action Comedy"	"R"	3426	7.1	"Action"	"Comedy"	57.1	112	22.4	"Phil Lord"	"Christopher Miller"	"Jonah Hill"	"Channing Tatum"	"ss"	50
"312"	312	312	"Fantastic Four (2005)"	"Fox"	330.6	154.7	175.9	NA	2005	"AA"	"PG-13"	3619	5.7	"AA"	""	56.1	123	25	"Tim Story"	""	"Ioan Gruffudd"	"Jessica Alba"	"ss"	100
"313"	313	313	"Meet the Parents"	"Uni."	330.4	166.2	164.2	NA	2000	"Comedy"	"PG-13"	2697	7	"Comedy"	""	28.6	108	25	"Jay Roach"	""	"Robert De Niro"	"Ben Stiller"	"ns"	55
"314"	314	314	"Who Framed Roger Rabbit"	"BV"	329.8	156.5	173.4	NA	1988	"Fantasy Comedy"	"PG"	NA	7.7	"Fantasy"	"Comedy"	NA	103	NA	"Robert Zemeckis"	""	"Bob Hoskins"	"Christopher Lloyd"	"ss"	70
"315"	315	315	"Black Swan"	"FoxS"	329.4	107	222.4	NA	2010	"Drama / Thriller"	"R"	NA	8	"Drama"	"Thriller"	NA	103	NA	"Darren Aronofsky"	""	"Natalie Portman"	"Mila Kunis"	"hs"	13
"316"	316	316	"The Perfect Storm"	"WB"	328.7	182.6	146.1	NA	2000	"Action Drama"	"PG-13"	NA	6.4	"Action"	"Drama"	NA	129	NA	"Wolfgang Petersen"	""	"George Clooney"	"Mark Wahlberg"	"ss"	140
"317"	317	317	"Crocodile Dundee"	"Par."	328.2	174.8	153.4	NA	1986	"Adventure Comedy"	"PG-13"	NA	6.5	"Adventure"	"Comedy"	NA	93	NA	"Peter Faiman"	""	"Paul Hogan"	"Linda Kozlowski"	"ns"	NA
"318"	318	318	"Seven"	"NL"	327.3	100.1	227.2	NA	1995	"Thriller"	"R"	2528	8.6	"Thriller"	""	NA	127	NA	"David Fincher"	""	"Morgan Freeman"	"Andrew Kevin Walker"	"ns"	33
"319"	319	319	"The Devil Wears Prada"	"Fox"	326.6	124.7	201.8	NA	2006	"Comedy"	"PG-13"	2882	6.8	"Comedy"	""	27.5	106	24	"David Frankel"	""	"Meryl Streep"	"Anne Hathaway"	"ss"	35
"320"	320	320	"Taken 3"	"Fox"	326.5	89.3	237.2	NA	2015	"Action"	"PG-13"	3594	6	"Action"	""	39.2	109	18	"Olivier Megaton"	""	"Liam Neeson"	"Forest Whitaker"	"ns"	48
"321"	321	321	"The Hunchback of Notre Dame"	"BV"	325.3	100.1	225.2	NA	1996	"Animation"	"G"	NA	6.9	"Animation"	""	NA	91	NA	"Gary Trousdale"	"Kirk Wise"	"Jason Alexander"	"Tom Hulce"	"ss"	100
"322"	322	322	"A Christmas Carol (2009)"	"BV"	325.3	137.9	187.4	NA	2009	"Animation"	"PG"	3683	NA	"Animation"	""	30.1	96	13	"James Barratt"	""	"James Barratt"	"Tom Hulce"	"ns"	200
"323"	323	323	"The SpongeBob Movie: Sponge Out of Water"	"Par."	323.4	163	160.4	NA	2015	"Animation"	"PG"	3680	6	"Animation"	""	55.4	93	16	"Paul Tibbitt"	"Mike Mitchell"	"Antonio Banderas"	"Eric Bauza"	"ns"	74
"324"	324	324	"Megamind"	"P/DW"	321.9	148.4	173.5	NA	2010	"Animation"	"PG"	3949	7.3	"Animation"	""	46	96	16	"Tom McGrath"	""	"Will Ferrell"	"Brad Pitt"	"ns"	130
"325"	325	325	"Lethal Weapon 3"	"WB"	321.7	144.7	177	NA	1992	"Action Comedy"	"R"	2568	6.7	"Action"	"Comedy"	NA	118	NA	"Richard Donner"	""	"Mel Gibson"	"Danny Glover"	"ns"	35
"326"	326	326	"Robin Hood"	"Uni."	321.7	105.3	216.4	NA	2010	"Period Adventure"	"PG-13"	3505	6.7	"Period"	"Adventure"	36.1	148	12	"Ridley Scott"	""	"Russell Crowe"	"Cate Blanchett"	"ns"	200
