"number"	"rank"	"title"	"studio"	"worldwide"	"domestic"	"overseas"	"release_date"	"release_year"	"genre"	"mpaa"	"theater"	"rating"	"genre1"	"genre2"	"ow"	"runt"	"weeks"	"director1"	"director2"	"star1"	"star2"	"per"	"budget"
"48"	48	48	"The Twilight Saga: Breaking Dawn Part 2"	"LG/S"	829.7	292.3	537.4	NA	2012	"Romance"	"PG-13"	4070	5.5	"Romance"	""	141.1	116	16	"Bill Condon"	""	"Kristen Stewart"	"Robert Pattinson"	"ns"	120
"49"	49	49	"Inception"	"WB"	825.5	292.6	533	NA	2010	"Sci-Fi Action"	"PG-13"	3792	8.8	"Sci-Fi"	"Action"	62.8	148	25	"Christopher Nolan"	""	"Leonardo DiCaprio"	"Joseph Gordon-Levitt"	"ss"	160
"50"	50	50	"Spider-Man"	"Sony"	821.7	403.7	418	NA	2002	"AA"	"PG-13"	3876	7.3	"AA"	""	114.8	121	15.4	"Sam Raimi"	""	"Tobey Maguire"	"Willem Dafoe"	"ns"	139
"51"	51	51	"Independence Day"	"Fox"	817.4	306.2	511.2	NA	1996	"Sci-Fi Action"	"PG-13"	2977	6.9	"Sci-Fi"	"Action"	NA	153	NA	"Roland Emmerich"	""	"Will Smith"	"Bill Pullman"	"ss"	75
"52"	52	52	"Shrek the Third"	"P/DW"	799	322.7	476.2	NA	2007	"Animation"	"PG"	4172	6.1	"Animation"	""	NA	92	NA	"Chris Miller"	"Raman Hui"	"Mike Myers"	"Eddie Murphy"	"ns"	160
"53"	53	53	"Harry Potter and the Prisoner of Azkaban"	"WB"	796.7	249.5	547.1	NA	2004	"Fantasy"	"PG"	3855	7.8	"Fantasy"	""	93.7	142	25.4	"Alfonso Cuar¨®n"	""	"Daniel Radcliffe"	"Richard Griffiths"	"ss"	130
"54"	54	54	"E.T.: The Extra-Terrestrial"	"Uni."	792.9	435.1	357.8	NA	1982	"Family Adventure"	"PG"	NA	7.8	"Family"	"Adventure"	NA	117	NA	"Steven Spielberg"	""	"Dee Wallace"	"Henry Thomas"	"ss"	10.5
"55"	55	55	"Fast & Furious 6"	"Uni."	788.7	238.7	550	NA	2013	"Action"	"PG-13"	3771	7.2	"Action"	""	97.4	130	15	"Justin Lin"	""	"Vin Diesel"	"Paul Walker"	"ss"	160
"56"	56	56	"Indiana Jones and the Kingdom of the Crystal Skull"	"Par."	786.6	317.1	469.5	NA	2008	"Period Adventure"	"PG-13"	4264	6.2	"Period"	"Adventure"	NA	120	NA	"Steven Spielberg"	""	"Harrison Ford"	"Cate Blanchett"	"ss"	185
"57"	57	57	"Spider-Man 2"	"Sony"	783.8	373.6	410.2	NA	2004	"AA"	"PG-13"	4166	7.3	"AA"	""	88.2	127	22.7	"Sam Raimi"	""	"Tobey Maguire"	"Kirsten Dunst"	"ss"	200
"58"	58	58	"Star Wars"	"Fox"	775.4	461	314.4	NA	1977	"Sci-Fi Fantasy"	"PG"	NA	8.7	"Sci-Fi"	"Fantasy"	NA	121	NA	"George Lucas"	""	"Mark Hamill"	"Harrison Ford"	"ss"	11
"59"	59	59	"Guardians of the Galaxy"	"BV"	773.3	333.2	440.1	NA	2014	"AA"	"PG-13"	4088	8.1	"AA"	""	94.3	121	25	"James Gunn"	""	"Chris Pratt"	"Zoe Saldana"	"ss"	170
"60"	60	60	NA	"Sony"	769.7	166.1	603.6	NA	2009	"Action Drama"	"PG-13"	3444	5.8	"Action"	"Drama"	65.2	158	14.4	"Roland Emmerich"	""	"John Cusack"	"Amanda Peet"	"ns"	200
"61"	61	61	"Maleficent"	"BV"	758.5	241.4	517.1	NA	2014	"Fantasy"	"PG"	3948	7	"Fantasy"	""	69.4	97	27	"Robert Stromberg"	""	"Angelina Jolie"	"Elle Fanning"	"ss"	180
"62"	62	62	"The Da Vinci Code"	"Sony"	758.2	217.5	540.7	NA	2006	"Thriller"	"PG-13"	3757	6.5	"Thriller"	""	77.1	149	13.4	"Ron Howard"	""	"Tom Hanks"	"Audrey Tautou"	"ns"	125
"63"	63	63	"The Amazing Spider-Man"	"Sony"	757.9	262	495.9	NA	2012	"AA"	"PG-13"	4318	7.3	"AA"	""	62	136	14.9	"Sam Raimi"	""	"Tobey Maguire"	"Kirsten Dunst"	"ss"	230
"64"	64	64	"The Hunger Games: Mockingjay - Part 1"	"LGF"	755.4	337.1	418.2	NA	2014	"AA"	"PG-13"	4151	6.7	"AA"	""	121.9	123	17	"Francis Lawrence"	""	"Jennifer Lawrence"	"Josh Hutcherson"	"hs"	125
"65"	65	65	"Shrek Forever After"	"P/DW"	752.6	238.7	513.9	NA	2010	"Animation"	"PG"	4386	6.4	"Animation"	""	NA	93	NA	"Mike Mitchell"	""	"Mike Myers"	"Eddie Murphy"	"ss"	165
"66"	66	66	"X-Men: Days of Future Past"	"Fox"	747.9	233.9	513.9	NA	2014	"AA"	"PG-13"	4001	8	"AA"	""	90.8	131	20	"Bryan Singer"	""	"Hugh Jackman"	"James McAvoy"	"ss"	200
"67"	67	67	"Madagascar 3: Europe's Most Wanted"	"P/DW"	746.9	216.4	530.5	NA	2012	"Animation"	"PG"	4263	6.9	"Animation"	""	60.3	93	19	"Eric Darnell"	"Tom McGrath"	"Ben Stiller"	"Chris Rock"	"ss"	145
"68"	68	68	"The Chronicles of Narnia: The Lion the Witch and the Wardrobe"	"BV"	745	291.7	453.3	NA	2005	"Fantasy"	"PG"	3853	6.9	"Fantasy"	""	65.6	132	22	"Andrew Adamson"	""	"Georgie Henley"	"Skandar Keynes"	"hs"	180
"69"	69	69	"Monsters University"	"BV"	743.6	268.5	475.1	NA	2013	"Animation"	"G"	4004	7.4	"Animation"	""	82.4	107	26	"Dan Scanlon"	""	"Billy Crystal"	"John Goodman"	"ss"	NA
"70"	70	70	"The Matrix Reloaded"	"WB"	742.1	281.6	460.6	NA	2003	"Sci-Fi Action"	"R"	3603	7.2	"Sci-Fi"	"Action"	91.8	138	26.1	"Lana Wachowski"	"Lilly Wachowski"	"Ray Anthony"	"Christine Anu"	"ns"	150
"71"	71	71	"Up"	"BV"	731.3	293	438.3	NA	2009	"Animation"	"PG"	3886	8.3	"Animation"	""	68.1	96	23	"Pete Docter"	"Bob Peterson"	"Edward Asner"	"Christopher Plummer"	"ss"	175
"72"	72	72	"Gravity"	"WB"	723.2	274.1	449.1	NA	2013	"Sci-Fi Thriller"	"PG-13"	3820	7.9	"Sci-Fi"	"Thriller"	55.8	91	31	"Alfonso Cuar¨®n"	""	"Sandra Bullock"	"George Clooney"	"ns"	100
"73"	73	73	"Captain America: The Winter Soldier"	"BV"	714.4	259.8	454.7	NA	2014	"AA"	"PG-13"	3938	7.8	"AA"	""	95	136	20	"Anthony Russo"	"Joe Russo"	"Chris Evans"	"Samuel L. Jackson"	"ns"	170
"74"	74	74	"The Twilight Saga: Breaking Dawn Part 1"	"Sum."	712.2	281.3	430.9	NA	2011	"Romance"	"PG-13"	4066	4.9	"Romance"	""	138.1	108	14	"Bill Condon"	""	"Taylor Lautner"	"Gil Birmingham"	"ns"	110
"75"	75	75	"Dawn of the Planet of the Apes"	"Fox"	710.6	208.5	502.1	NA	2014	"Sci-Fi Action"	"PG-13"	3969	7.6	"Sci-Fi"	"Action"	72.6	130	21	"Matt Reeves"	""	"Andy Serkis"	"Jason Clarke"	"ss"	170
