"rank" "title" "studio" "worldwide" "domestic" "overseas" "release_year" "genre" "mpaa" "theater" "rating" "genre1" "genre2" "ow" "runt" "weeks" "director1" "per" "budget" "series" "rn" "to_rating" "sh" "bb" "price" "adjusted" "adow" "adbudget" "dir_win" "dir_nomi" "st1_win" "st2_win" "st1_nomi" "st2_nomi"
"49" 49 "Inception" "WB" 825.5 292.6 533 2010 "Sci-Fi Action" "PG-13" 3792 8.8 "Sci-Fi" "Action" 62.8 148 25 "Christopher Nolan" "ss" 160 0 325 75 0 1.83 65 39.16 8.41 21.42 121 160 85 23 "195" 60
"50" 50 "Spider-Man" "Sony" 821.7 403.7 418 2002 "AA" "PG-13" 3876 7.3 "AA" "" 114.8 121 15.4 "Sam Raimi" "ns" 139 0 236 78 3 2.9 57 61.62 17.52 21.22 10 16 7 28 "30" 36
"51" 51 "Independence Day" "Fox" 817.4 306.2 511.2 1996 "Sci-Fi Action" "PG-13" 2977 6.9 "Sci-Fi" "Action" NA 153 NA "Roland Emmerich" "ss" 75 0 57 48 0 4.08 51 52.23 NA 12.79 13 14 56 5 "106" 2
"52" 52 "Shrek the Third" "P/DW" 799 322.7 476.2 2007 "Animation" "PG" 4172 6.1 "Animation" "" NA 92 NA "Chris Miller" "ns" 160 0 0 0 0 2.02 62 45.28 NA 22.45 12 12 28 30 "38" 67
"53" 53 "Harry Potter and the Prisoner of Azkaban" "WB" 796.7 249.5 547.1 2004 "Fantasy" "PG" 3855 7.8 "Fantasy" "" 93.7 142 25.4 "Alfonso Cuar¨®n" "ss" 130 0 250 80 0 1.92 59 36.79 13.82 19.17 100 89 13 0 "38" 4
"54" 54 "E.T.: The Extra-Terrestrial" "Uni." 792.9 435.1 357.8 1982 "Family Adventure" "PG" NA 7.8 "Family" "Adventure" NA 117 NA "Steven Spielberg" "ss" 10.5 1 0 0 0 41.44 37 102.31 NA 2.47 175 168 2 2 "2" 8
"55" 55 "Fast & Furious 6" "Uni." 788.7 238.7 550 2013 "Action" "PG-13" 3771 7.2 "Action" "" 97.4 130 15 "Justin Lin" "ss" 160 1 0 0 0 1.49 68 30.54 12.46 20.47 3 6 7 7 "26" 11
"56" 56 "Indiana Jones and the Kingdom of the Crystal Skull" "Par." 786.6 317.1 469.5 2008 "Period Adventure" "PG-13" 4264 6.2 "Period" "Adventure" NA 120 NA "Steven Spielberg" "ss" 185 0 256 66 0 1.71 63 43.79 NA 25.55 175 168 32 144 "36" 177
"57" 57 "Spider-Man 2" "Sony" 783.8 373.6 410.2 2004 "AA" "PG-13" 4166 7.3 "AA" "" 88.2 127 22.7 "Sam Raimi" "ss" 200 1 261 82 3 1.87 59 55.09 13.01 29.49 10 16 7 28 "30" 56
"58" 58 "Star Wars" "Fox" 775.4 461 314.4 1977 "Sci-Fi Fantasy" "PG" NA 8.7 "Sci-Fi" "Fantasy" NA 121 NA "George Lucas" "ss" 11 0 212 44 0 41.91 32 125.33 NA 2.99 40 31 11 32 "13" 36
"59" 59 "Guardians of the Galaxy" "BV" 773.3 333.2 440.1 2014 "AA" "PG-13" 4088 8.1 "AA" "" 94.3 121 25 "James Gunn" "ss" 170 0 275 80 1 1.96 69 42.01 11.89 21.43 12 8 10 12 "25" 46
"60" 60 NA "Sony" 769.7 166.1 603.6 2009 "Action Drama" "PG-13" 3444 5.8 "Action" "Drama" 65.2 158 14.4 "Roland Emmerich" "ns" 200 NA 0 0 0 0.83 64 22.58 8.86 27.19 13 14 7 2 "17" 7
"61" 61 "Maleficent" "BV" 758.5 241.4 517.1 2014 "Fantasy" "PG" 3948 7 "Fantasy" "" 69.4 97 27 "Robert Stromberg" "ss" 180 0 0 0 0 1.34 69 30.44 8.75 22.7 17 27 47 10 "93" 34
"62" 62 "The Da Vinci Code" "Sony" 758.2 217.5 540.7 2006 "Thriller" "PG-13" 3757 6.5 "Thriller" "" 77.1 149 13.4 "Ron Howard" "ns" 125 0 0 0 0 1.74 61 31.02 11 17.83 38 65 76 10 "115" 18
"63" 63 "The Amazing Spider-Man" "Sony" 757.9 262 495.9 2012 "AA" "PG-13" 4318 7.3 "AA" "" 62 136 14.9 "Sam Raimi" "ss" 230 0 0 0 3 1.14 67 34.02 8.05 29.87 10 16 7 28 "30" 56
