"rank" "title" "studio" "worldwide" "domestic" "overseas" "release_year" "genre" "mpaa" "theater" "rating" "genre1" "genre2" "ow" "runt" "weeks" "director1" "per" "budget" "series" "rn" "to_rating" "sh" "bb" "price" "adjusted" "adow" "adbudget" "dir_win" "dir_nomi" "st1_win" "st2_win" "st1_nomi" "st2_nomi"
"215" 215 "Prometheus" "Fox" 403.4 126.5 276.9 2012 "Sci-Fi Action" "R" NA 7 "Sci-Fi" "Action" NA 124 NA "Ridley Scott" "ss" 135 0 0 0 0 0.94 67 16.43 NA 17.53 31 87 13 70 "17" 131
"216" 216 "The Mummy: Tomb of the Dragon Emperor" "Uni." 401.1 102.5 298.6 2008 "Period Adventure" "R" 3442 5.2 "Period" "Adventure" 51.1 114 15 "Rob Cohen" "ss" 130 1 0 0 0 0.79 63 14.15 7.06 17.95 3 1 8 4 "10" 15
"217" 217 "Gone with the Wind" "MGM" 400.2 198.7 201.5 1939 "Historical Epic" "PG-13" 3778 8.2 "Historical" "Epic" NA 238 NA "Victor Fleming" "hs" 145 0 0 0 0 1.37 2 864.34 NA 630.75 2 4 4 0 "4" 1
"218" 218 "Tron Legacy" "BV" 400.1 172.1 228 2010 "Sci-Fi Action" "G" NA 6.8 "Sci-Fi" "Action" NA 125 NA "Joseph Kosinski" "hs" NA 0 0 0 0 NA 65 23.03 NA NA NA NA 31 1 "67" 3
"219" 219 "Mission: Impossible III" "Par." 397.9 134 263.8 2006 "Action" "PG" 3451 6.9 "Action" "" 44 126 17 "J.J. Abrams" "ns" 170 1 0 0 0 0.79 61 19.11 6.28 24.25 18 41 39 89 "76" 98
"220" 220 "Snow White and the Huntsman" "Uni." 396.6 155.3 241.3 2012 "Adventure" "PG-13" 4059 6.1 "Adventure" "" NA 127 NA "Rupert Sanders" "ss" 150 0 0 0 0 1.04 67 20.17 NA 19.48 1 2 41 9 "53" 21
"221" 221 "Grease" "Par." 395 188.8 206.2 1978 "Musical" "PG-13" 3777 7.2 "Musical" "" NA 110 NA "Randal Kleiser" "ss" 170 0 0 0 0 1.11 33 49.77 NA 44.82 1 3 40 6 "49" 7
"222" 222 "Twilight" "Sum." 393.6 192.8 200.8 2008 "Romance" "PG" NA 5.2 "Romance" "" NA 120 NA "Catherine Hardwicke" "hs" 6 0 54 47 0 32.13 63 26.62 NA 0.83 8 12 41 1 "53" 2
"223" 223 "The Wolf of Wall Street" "Par." 392 116.9 275.1 2013 "Drama" "PG-13" NA 8.2 "Drama" "" NA 180 NA "Martin Scorsese" "hs" 37 0 248 65 0 3.16 68 14.96 NA 4.73 135 185 85 5 "195" 56
"224" 224 "Superman Returns" "WB" 391.1 200.1 191 2006 "AA" "R" 2557 6.1 "AA" "" 18.4 154 14.3 "Bryan Singer" "ss" 100 0 258 64 2 2 61 28.54 2.62 14.26 14 20 6 3 "6" 10
"225" 225 "Robin Hood: Prince of Thieves" "WB" 390.5 165.5 225 1991 "Period Adventure" "PG-13" 4065 6.9 "Period" "Adventure" 52.5 143 18.3 "Kevin Reynolds" "ss" 270 1 52 38 0 0.61 48 30 9.52 48.94 2 5 46 56 "49" 69
"226" 226 "Raiders of the Lost Ark" "Par." 389.9 248.2 141.8 1981 "Period Adventure" "PG-13" NA 8.5 "Period" "Adventure" NA 115 NA "Steven Spielberg" "ss" 48 0 0 0 0 5.17 36 59.98 NA 11.6 175 168 32 1 "36" 4
"227" 227 "Home" "Fox" 386 177.4 208.6 2015 "AA" "PG" NA 6.7 "AA" "" NA 151 NA "Tim Johnson" "hs" 18 0 42 43 0 9.86 70 22.05 NA 2.24 2 1 18 21 "54" 52
"228" 228 "Star Trek" "Par." 385.7 257.7 128 2015 "Animation" "PG" NA 8 "Animation" "" NA 94 NA "J.J. Abrams" "ns" 135 0 43 12 0 1.91 70 32.03 NA 16.78 18 41 6 9 "15" 20
"229" 229 "Monster Hunt" "FR" 385.3 NA 385.2 2009 "Sci-Fi Adventure" "PG-13" 4053 6.2 "Sci-Fi" "Adventure" 75.2 126 21 "Raman Hui" "ns" 150 0 0 0 0 NA 64 NA 10.22 20.39 2 4 1 0 "5" 2
"230" 230 "The Revenant" "Fox" 385 167.7 217.3 2016 "Action Fantasy" "Unrated" NA 8.2 "Action" "Fantasy" NA 111 NA "Alejandro Gonz¨¢lez I_¨¢rritu" "ns" NA 0 296 71 0 NA 0 Inf NA NA 110 139 85 16 "195" 70
"231" 231 "Happy Feet" "WB" 384.3 198 186.3 2006 "Animation" "PG" 3804 6.5 "Animation" "" 41.5 108 25 "George Miller" "ns" 100 0 161 63 0 1.98 61 28.24 5.92 14.26 64 52 2 NA "5" NA
"232" 232 "Live Free or Die Hard" "Fox" 383.5 134.5 249 2007 "Action" "PG-13" 3411 7.2 "Action" "" 33.4 130 19.3 "Len Wiseman" "ss" 110 0 206 71 0 1.22 62 18.87 4.69 15.44 NA NA 21 3 "37" 21
"233" 233 "Ice Age" "Fox" 383.3 176.4 206.9 2002 "Animation" "PG" 3345 7.6 "Animation" "" 46.3 81 24.6 "Chris Wedge" "ns" 59 0 165 65 0 2.99 57 26.92 7.07 9.01 6 6 15 12 "48" 20
"234" 234 "Monsters Vs. Aliens" "P/DW" 381.5 198.4 183.2 2009 "Animation" "PG" 4136 6.6 "Animation" "" 59.3 94 22 "Rob Letterman" "ns" 175 0 0 0 0 1.13 64 26.97 8.06 23.79 0 2 50 11 "87" 26
"235" 235 "Back to the Future" "Uni." 381.1 210.6 170.5 1985 "Sci-Fi Adventure" "PG" NA 8.5 "Sci-Fi" "Adventure" NA 111 NA "Robert Zemeckis" "ss" 19 0 60 51 0 11.08 40 45.81 NA 4.13 33 33 29 30 "55" 16
"236" 236 "Godzilla" "Sony" 379 136.3 242.7 1998 "Sci-Fi Action" "PG-13" 3310 6.5 "Sci-Fi" "Action" NA 140 NA "Gareth Edwards" "ss" 130 0 68 44 0 1.05 53 22.37 NA 21.34 10 11 1 9 "10" 18
"237" 237 "True Lies" "Fox" 378.9 146.3 232.6 1994 "Action Comedy" "R" NA 7.2 "Action" "Comedy" NA 144 NA "James Cameron" "ss" 115 0 47 60 0 1.27 47 27.08 NA 21.29 65 54 23 12 "31" 24
"238" 238 "Slumdog Millionaire" "FoxS" 377.9 141.3 236.6 2008 "Drama" "R" NA 8 "Drama" "" NA 120 NA "Danny Boyle" "ns" 15 0 267 81 0 9.42 63 19.51 NA 2.07 79 79 12 2 "22" 4
"239" 239 "Mad Max: Fury Road" "WB" 377.6 153.6 224 2015 "Sci-Fi Action" "R" NA 8.2 "Sci-Fi" "Action" NA 120 NA "George Miller" "ns" 150 1 343 86 0 1.02 70 19.09 NA 18.64 64 52 16 51 "70" 87
"240" 240 "Taken 2" "Fox" 376.1 139.9 236.3 2012 "Action" "PG-13" 3706 6.3 "Action" "" 49.5 91 20 "Olivier Megaton" "ns" 45 1 0 0 0 3.11 67 18.17 6.43 5.84 2 2 15 1 "35" 5
"241" 241 "G.I. Joe: Retaliation" "Par." 375.7 122.5 253.2 2013 "Action" "PG-13" 3734 5.8 "Action" "" 40.5 99 16.1 "Jon M. Chu" "ns" 130 1 0 0 0 0.94 68 15.67 5.18 16.63 15 7 3 6 "28" 14
"242" 242 "Batman Begins" "WB" 374.2 206.9 167.4 2005 "AA" "PG-13" 3858 8.3 "AA" "" 48.7 140 20.3 "Christopher Nolan" "ss" 150 0 267 74 2 1.38 60 30 7.06 21.75 121 160 64 37 "76" 60
"243" 243 "What Women Want" "Par." 374.1 182.8 191.3 2000 "Fantasy Comedy" "PG-13" NA 6.4 "Fantasy" "Comedy" NA 127 NA "Nancy Meyers" "hs" 70 0 0 0 0 2.61 55 28.92 NA 11.07 6 5 32 47 "30" 65
"244" 244 "The Adventures of Tintin" "Par." 374 77.6 296.4 2011 "Animation" "PG" 3087 7.4 "Animation" "" 9.7 101 13.3 "Steven Spielberg" "hs" NA 0 0 0 0 NA 66 10.23 1.28 NA 175 168 17 30 "19" 42
"245" 245 "X-Men Origins: Wolverine" "Fox" 373.1 179.9 193.2 2009 "AA" "PG-13" 4102 6.7 "AA" "" 85.1 107 22 "Gavin Hood" "ns" 150 1 0 0 4 1.2 64 24.46 11.57 20.39 26 7 20 11 "71" 25
"246" 246 "Penguins of Madagascar" "Fox" 373 83.4 289.7 2014 "Animation" "PG" 3775 6.7 "Animation" "" NA 92 NA "Eric Darnell" "hs" 132 0 0 0 0 0.63 69 10.52 NA 16.64 0 2 0 12 "8" 12
"247" 247 "The Golden Compass" "NL" 372.2 70.1 302.1 2007 "Fantasy" "PG-13" 3528 6.1 "Fantasy" "" 25.8 113 13 "Chris Weitz" "hs" 180 0 0 0 0 0.39 62 9.84 3.62 25.26 2 10 65 13 "148" 27
"248" 248 "Terminator Salvation" "WB" 371.4 125.3 246 2009 "Sci-Fi Action" "PG-13" 3602 6.6 "Sci-Fi" "Action" 42.6 114 16.1 "McG" "ss" 200 0 0 0 0 0.63 64 17.03 5.79 27.19 24 38 64 6 "76" 14
"249" 249 "Captain America: The First Avenger" "Par." 370.6 176.7 193.9 2011 "AA" "PG-13" 3715 6.8 "AA" "" 65.1 125 16 "Joe Johnston" "ss" 140 1 241 67 1 1.26 66 23.29 8.58 18.45 2 6 4 0 "26" 9
"250" 250 "Edge of Tomorrow" "WB" 370.5 100.2 270.3 2014 "Sci-Fi Action" "PG-13" 3505 7.9 "Sci-Fi" "Action" 28.8 113 14 "Doug Liman" "ss" 178 0 279 79 0 0.56 69 12.63 3.63 22.44 2 6 39 16 "76" 56
"251" 251 "There's Something About Mary" "Fox" 369.9 176.5 193.4 1998 "Romantic Comedy" "R" NA 7.1 "Romantic" "Comedy" NA 119 NA "Bobby Farrelly" "ss" 23 0 83 72 0 7.67 53 28.97 NA 3.78 3 4 28 18 "82" 22
"252" 252 "Gone Girl" "Fox" 369.3 167.8 201.6 2014 "Thriller" "R" 3284 8.1 "Thriller" "" 37.5 145 21 "David Fincher" "ns" 61 0 288 77 0 2.75 69 21.16 4.73 7.69 57 101 67 28 "95" 50
"253" 253 "The Fugitive" "WB" 368.9 183.9 185 1993 "Action Thriller" "PG-13" 2425 7.8 "Action" "Thriller" 23.8 130 21 "Andrew Davis" "ss" NA 0 72 85 0 NA 45 35.55 4.6 NA 0 4 32 40 "36" 89
"254" 254 "Jurassic Park III" "Uni." 368.8 181.2 187.6 2001 "Sci-Fi Horror" "PG-13" 3462 5.9 "Sci-Fi" "Horror" NA 92 NA "Joe Johnston" "ss" 93 0 0 0 0 1.95 56 28.15 NA 14.45 2 6 3 34 "25" 58
"255" 255 "My Big Fat Greek Wedding" "IFC" 368.7 241.4 127.3 2002 "Romantic Comedy" "PG" NA 6.6 "Romantic" "Comedy" NA 95 NA "Joel Zwick" "ns" 5 0 129 64 0 48.28 57 36.85 NA 0.76 3 1 7 2 "16" 5
"256" 256 "Hitch" "Sony" 368.1 179.5 188.6 2005 "Romantic Comedy" "PG-13" 3575 6.7 "Romantic" "Comedy" 43.1 115 17 "Andy Tennant" "ns" 70 0 84 84 0 2.56 60 26.03 6.25 10.15 1 0 56 2 "106" 15
"257" 257 "Shark Tale" "DW" 367.3 160.9 206.4 2004 "Animation" "PG" 4070 6 "Animation" "" 47.6 90 14 "Bibo Bergeron" "ns" 75 0 0 0 0 2.15 59 23.73 7.02 11.06 0 1 56 48 "106" 82
"258" 258 "Die Hard: With A Vengeance" "Fox" 366.1 100 266.1 1995 "Action Thriller" "R" 2579 7.6 "Action" "Thriller" NA 131 NA "John McTiernan" "ns" 90 1 45 39 0 1.11 50 17.4 NA 15.66 4 5 21 27 "37" 30
"259" 259 "Notting Hill" "Uni." 363.9 116.1 247.8 1999 "Romantic Comedy" "PG-13" NA 7 "Romantic" "Comedy" NA 124 NA "Roger Michell" "ss" 42 0 98 72 0 2.76 54 18.7 NA 6.77 6 15 51 15 "86" 18
"260" 260 "A Bug's Life" "BV" 363.4 162.8 200.6 1998 "Animation" "G" NA 7.2 "Animation" "" NA 96 NA "John Lasseter" "hs" 120 0 86 81 0 1.36 53 26.72 NA 19.7 36 26 6 54 "21" 72
"261" 261 "Night at the Museum: Secret of the Tomb" "Fox" 363.2 113.7 249.5 2014 "Family Adventure" "PG" 3914 6.2 "Family" "Adventure" 17.1 97 29 "Shawn Levy" "hs" 127 1 0 0 0 0.9 69 14.34 2.16 16.01 3 1 13 63 "52" 80
"262" 262 "Fast and Furious" "Uni." 363.2 155.1 208.1 2009 "Action" "PG-13" 3674 6.6 "Action" "" 71 99 13 "Justin Lin" "ns" 85 0 0 0 0 1.82 64 21.08 9.65 11.55 3 6 7 7 "26" 11
"263" 263 "Ocean's Twelve" "WB" 362.7 125.5 237.2 2004 "Crime Comedy" "PG-13" 3290 6.4 "Crime" "Comedy" 39.2 124 15 "Steven Soderbergh" "hs" 110 0 0 0 0 1.14 59 18.51 5.78 16.22 29 74 64 18 "136" 32
"264" 264 "Noah" "Par." 362.6 101.2 261.4 2014 "Drama" "PG-13" 3571 5.8 "Drama" "" 43.7 138 12 "Darren Aronofsky" "ns" 125 0 0 0 0 0.81 69 12.76 5.51 15.76 32 73 36 15 "66" 25
"265" 265 "Planet of the Apes" "Fox" 362.2 180 182.2 2001 "Sci-Fi Action" "PG-13" NA NA "Sci-Fi" "Action" NA 119 NA "Thomas Eikrem" "ss" 100 0 248 71 0 1.8 56 27.96 NA 15.54 NA NA NA NA " " NA
"266" 266 "The Hangover Part III" "WB" 362 112.2 249.8 2013 "Comedy" "R" 3565 5.9 "Comedy" "" 41.7 100 12.1 "Todd Phillips" "ss" 103 1 0 0 0 1.09 68 14.36 5.34 13.18 5 4 29 4 "65" 12
"267" 267 "Toy Story" "BV" 362 191.8 170.2 1995 "Animation" "G" 2574 8.3 "Animation" "" NA 81 NA "John Lasseter" "hs" NA 0 78 2 0 NA 50 33.37 NA NA 36 26 76 23 "115" 32
"268" 268 "The World Is Not Enough" "MGM" 361.8 126.9 234.9 1999 "Action" "PG-13" 3163 6.4 "Action" "" NA 128 NA "Michael Apted" "ns" 135 0 136 39 0 0.94 54 20.45 NA 21.75 20 15 17 8 "20" 2
"269" 269 "Alvin and the Chipmunks" "Fox" 361.3 217.3 144 2007 "Family Comedy" "PG" NA 5.3 "Family" "Comedy" NA 92 NA "Tim Hill" "hs" 60 0 0 0 0 3.62 62 30.49 NA 8.42 1 1 2 7 "22" 15
"270" 270 "The Karate Kid" "Sony" 359.1 176.6 182.5 2010 "Action Drama" "PG" 3740 7.2 "Action" "Drama" 55.7 140 15 "John G. Avildsen" "ss" 40 0 0 0 0 4.42 65 23.64 7.46 5.35 5 6 3 1 "3" 5
"271" 271 "Home Alone 2: Lost in New York" "Fox" 359 173.6 185.4 1992 "Family Comedy" "PG" 2461 6.6 "Family" "Comedy" NA 120 NA "Chris Columbus" "hs" NA 1 0 0 0 NA 46 32.83 NA NA 6 18 4 13 "7" 11
"272" 272 "Hotel Transylvania" "Sony" 358.4 148.3 210.1 2012 "Animation" "PG" 3375 7.1 "Animation" "" 42.5 91 20.6 "Genndy Tartakovsky" "ns" 85 0 0 0 0 1.74 67 19.26 5.52 11.04 6 15 50 5 "68" 24
"273" 273 "Minority Report" "Fox" 358.4 132.1 226.3 2002 "Sci-Fi Thriller" "PG-13" 3001 7.7 "Sci-Fi" "Thriller" NA 144 NA "Steven Spielberg" "ss" 102 0 240 79 0 1.3 57 20.16 NA 15.57 175 168 39 21 "76" 22
"274" 274 "Top Gun" "Par." 356.8 179.8 177 1986 "Action Drama" "PG" NA 6.9 "Action" "Drama" NA 110 NA "Tony Scott" "ns" NA 0 0 0 0 NA 41 38.15 NA NA 5 13 39 1 "76" 2
"275" 275 "American Beauty" "DW" 356.3 130.1 226.2 1999 "Drama" "R" NA 8.4 "Drama" "" NA 122 NA "Sam Mendes" "ns" 15 0 180 77 0 8.67 54 20.96 NA 2.42 39 25 54 42 "72" 81
"276" 276 "Apollo 13" "Uni." 355.2 173.8 181.4 1995 "Action Thriller" "PG" NA 7.6 "Action" "Thriller" NA 140 NA "Ron Howard" "ss" NA 1 85 84 0 NA 50 30.24 NA NA 38 65 76 6 "115" 22
"277" 277 "Rain Man" "MGM" 354.8 172.8 182 1988 "Drama" "R" NA 8 "Drama" "" NA 133 NA "Barry Levinson" "hs" 25 0 69 79 0 6.91 44 34.17 NA 4.94 29 37 58 39 "49" 76
"278" 278 "X-Men: First Class" "Fox" 353.6 146.4 207.2 2011 "AA" "PG-13" 3692 7.8 "AA" "" 55.1 131 17 "Matthew Vaughn" "ss" 160 1 270 76 4 0.92 66 19.3 7.26 21.09 5 16 11 NA "25" NA
"279" 279 "Basic Instinct" "TriS" 352.9 117.7 235.2 1992 "Thriller" "R" NA 6.9 "Thriller" "" NA 123 NA "Paul Verhoeven" "ns" 49 0 59 42 0 2.4 46 22.26 NA 9.27 25 19 58 19 "36" 33
"280" 280 "GoldenEye" "MGM" 352.2 106.4 245.8 1995 "Action" "PG-13" NA 7.2 "Action" "" NA 130 NA "Martin Campbell" "ns" NA 0 72 66 0 NA 50 18.51 NA NA 2 10 17 13 "20" 11
"281" 281 "Catch Me If You Can" "DW" 352.1 164.6 187.5 2002 "Comedy / Drama" "PG-13" 3225 8 "Comedy" "Drama" 30.1 140 21.3 "Steven Spielberg" "hs" 52 0 195 85 0 3.17 57 25.12 4.59 7.94 175 168 85 76 "195" 115
"282" 282 "Now You See Me" "LG/S" 351.7 117.7 234 2013 "Thriller" "PG-13" 3082 7.3 "Thriller" "" 29.4 116 17 "Louis Leterrier" "ss" 75 0 0 0 0 1.57 68 15.06 3.76 9.6 NA NA 20 26 "54" 108
"283" 283 "Hannibal" "MGM" 351.7 165.1 186.6 2001 "Thriller" "R" 3292 8.6 "Thriller" "" NA 131 NA "Bryan Fuller" "ns" 87 0 0 0 0 1.9 56 25.65 NA 13.52 2 9 1 25 "14" 34
"284" 284 "The Mask" "NL" 351.6 119.9 231.6 1994 "Comedy" "PG-13" NA 6.9 "Comedy" "" NA 97 NA "Chuck Russell" "ss" 23 0 52 65 0 5.21 47 22.19 NA 4.26 1 5 45 3 "88" 3
"285" 285 "The Great Gatsby" "WB" 351 144.8 206.2 2013 "Drama" "PG-13" 3550 7.3 "Drama" "" 50.1 143 15 "Baz Luhrmann" "ns" 105 0 0 0 0 1.38 68 18.53 6.41 13.43 33 49 NA NA " " NA
"286" 286 "Speed" "Fox" 350.4 121.2 229.2 1994 "Action Thriller" "R" 2169 7.2 "Action" "Thriller" NA 116 NA "Jan de Bont" "ss" 30 0 60 82 0 4.04 47 22.43 NA 5.55 0 7 11 23 "20" 16
"287" 287 "Dinosaur" "BV" 349.8 137.7 212.1 2000 "Animation" "PG" NA 6.4 "Animation" "" NA 82 NA "Eric Leighton" "ns" 127.5 0 122 53 0 1.08 55 21.78 NA 20.17 0 4 14 30 "1" 67
"288" 288 "Deep Impact" "Par." 349.5 140.5 209 1998 "Action Drama" "PG-13" NA 6.1 "Action" "Drama" NA 120 NA "Mimi Leder" "ns" NA 0 52 36 0 NA 53 23.06 NA NA 4 11 56 1 "59" 8
"289" 289 "Dr. Seuss' The Lorax" "Uni." 348.8 214 134.8 2012 "Animation" "PG" 3769 6.5 "Animation" "" 70.2 95 21 "Chris Renaud" "ns" 70 0 0 0 0 3.06 67 27.79 9.12 9.09 0 15 11 4 "39" 12
"290" 290 "The Maze Runner" "Fox" 348.3 102.4 245.9 2014 "Sci-Fi Thriller" "PG-13" 3638 6.8 "Sci-Fi" "Thriller" 32.5 113 20 "Wes Ball" "ns" 34 0 0 0 0 3.01 69 12.91 4.1 4.29 2 0 6 NA "3" NA
"291" 291 "The Smurfs 2" "Sony" 347.5 71 276.5 2013 "Family Comedy" "PG" 3867 5.4 "Family" "Comedy" 17.5 105 15.7 "Raja Gosnell" "ss" 105 1 0 0 0 0.68 68 9.08 2.24 13.43 NA NA 15 21 "25" 50
"292" 292 "National Treasure" "BV" 347.5 173 174.5 2004 "Adventure" "PG" 3243 6.9 "Adventure" "" 35.1 131 28 "Jon Turteltaub" "ns" 100 0 0 0 0 1.73 59 25.51 5.18 14.75 0 2 40 10 "60" 15
"293" 293 "Rush Hour 2" "NL" 347.3 226.2 121.2 2001 "Action Comedy" "PG-13" NA 6.6 "Action" "Comedy" NA 90 NA "Brett Ratner" "ss" 90 1 0 0 0 2.51 56 35.14 NA 13.98 3 4 36 8 "44" 24
"294" 294 "I Robot" "Fox" 347.2 144.8 202.4 2004 "Sci-Fi Thriller" "PG-13" 3494 7.1 "Sci-Fi" "Thriller" 52.2 105 24 "Alex Proyas" "ss" 120 0 0 0 0 1.21 59 21.35 7.7 17.69 6 5 56 NA "`106" NA
"295" 295 "Pocahontas" "BV" 346.1 141.6 204.5 1995 "Animation" "G" NA 6.6 "Animation" "" NA 81 NA "Mike Gabriel" "ss" NA 0 52 44 0 NA 50 24.64 NA NA 3 1 6 NA "2" NA
"296" 296 "How the Grinch Stole Christmas" "Uni." 345.1 260 85.1 2000 "Family Comedy" "PG" 3256 6 "Family" "Comedy" 55.1 104 15 "Ron Howard" "ns" 123 0 130 41 0 2.11 55 41.13 8.72 19.46 38 65 45 0 "88" 7
"297" 297 "Alvin and the Chipmunks: Chipwrecked" "Fox" 342.7 133.1 209.6 2011 "Family Comedy" "G" NA 4.4 "Family" "Comedy" NA 87 NA "Mike Mitchell" "hs" 75 1 0 0 0 1.77 66 17.54 NA 9.89 6 6 2 7 "22" 15
"298" 298 "The Flintstones" "Uni." 341.6 130.5 211.1 1994 "Family Comedy" "PG" NA 7.5 "Family" "Comedy" NA 91 NA "Joseph Barbera" "ss" 46 0 42 12 0 2.84 47 24.16 NA 8.51 8 15 1 NA "0" NA
"299" 299 "Wanted" "Uni." 341.4 134.5 206.9 2008 "AA" "R" 3185 6.7 "AA" "" NA 108 NA "Timur Bekmambetov" "ss" 75 0 47 76 0 1.79 63 18.57 NA 10.36 3 9 11 56 "25" 69
"300" 300 "Enchanted" "BV" 340.5 127.8 212.7 2007 "Family Adventure" "PG" 3730 7.1 "Family" "Adventure" 34.4 107 16.3 "Kevin Lima" "hs" 85 0 187 82 0 1.5 62 17.93 4.83 11.93 2 4 54 8 "146" 20
"301" 301 "300: Rise of An Empire" "WB" 337.6 106.6 231 2014 "Period Action" "R" 3490 6.3 "Period" "Action" 45 102 12 "Noam Murro" "ns" 110 1 0 0 0 0.97 69 13.44 5.67 13.87 2 7 0 3 "4" 15
"302" 302 "Batman Forever" "WB" 336.5 184 152.5 1995 "AA" "PG-13" 2893 5.4 "AA" "" 52.8 122 21 "Joel Schumacher" "ss" 100 0 58 30 2 1.84 50 32.02 9.19 17.4 9 8 5 40 "13" 89
"303" 303 "Prince of Persia: The Sands of Time" "BV" 336.4 90.8 245.6 2010 "Adventure" "PG-13" 3646 6.6 "Adventure" "" 30.1 115 17 "Mike Newell" "ss" 200 1 0 0 0 0.45 65 12.15 4.03 26.77 13 10 34 1 "82" 7
"304" 304 "Over the Hedge" "P/DW" 336 155 181 2006 "Animation" "PG" 4093 6.8 "Animation" "" 38.5 87 16 "Tim Johnson" "ns" NA 0 168 63 0 NA 61 22.11 5.49 NA 2 1 21 17 "37" 44
"305" 305 "Journey 2: The Mysterious Island" "WB (NL)" 335.3 103.9 231.4 2012 "Adventure" "PG" 3500 5.8 "Adventure" "" 27.3 94 20 "Brad Peyton" "ns" 79 1 0 0 0 1.32 67 13.49 3.54 10.26 0 2 3 37 "28" 60
"306" 306 "The Rock" "BV" 335.1 134.1 201 1996 "Action" "R" 2426 7.4 "Action" "" 25.1 136 26 "Michael Bay" "ss" 75 0 57 49 0 1.79 51 22.88 4.28 12.79 7 10 37 40 "27" 60
"307" 307 "The Curious Case of Benjamin Button" "Par." 333.9 127.5 206.4 2008 "Fantasy Drama" "PG-13" 2988 7.8 "Fantasy" "Drama" 26.9 168 17.1 "David Fincher" "hs" 150 0 238 60 0 0.85 63 17.61 3.71 20.71 57 101 144 64 "177" 136
"308" 308 "Indiana Jones and the Temple of Doom" "Par." 333.1 179.9 153.2 1984 "Period Adventure" "PG" 1687 7.6 "Period" "Adventure" NA 118 NA "Steven Spielberg" "ss" 28 0 0 0 0 6.42 39 40.13 NA 6.25 175 168 32 NA "36" NA
"309" 309 "Tomorrow Never Dies" "MGM" 333 125.3 207.7 1997 "Action" "PG-13" NA 6.5 "Action" "" NA 119 NA "Roger Spottiswoode" "hs" NA 0 82 45 0 NA 52 20.96 NA NA 7 6 17 6 "20" 14
"310" 310 "Back to the Future Part II" "Uni." 332 118.5 213.5 1989 "Sci-Fi Adventure" "PG" NA 7.8 "Sci-Fi" "Adventure" NA 108 NA "Robert Zemeckis" "hs" 40 1 60 51 0 2.96 43 23.98 NA 8.09 33 33 29 30 "55" 16
"311" 311 "22 Jump Street" "Sony" 331.3 191.7 139.6 2014 "Action Comedy" "R" 3426 7.1 "Action" "Comedy" 57.1 112 22.4 "Phil Lord" "ss" 50 0 196 74 0 3.83 69 24.17 7.2 6.3 11 12 5 19 "56" 53
"312" 312 "Fantastic Four" "Fox" 330.6 154.7 175.9 2005 "AA" "PG-13" 3619 5.7 "AA" "" 56.1 123 25 "Tim Story" "ss" 100 0 0 0 4 1.55 60 22.43 8.13 14.5 0 6 2 14 "4" 37
"313" 313 "Meet the Parents" "Uni." 330.4 166.2 164.2 2000 "Comedy" "PG-13" 2697 7 "Comedy" "" 28.6 108 25 "Jay Roach" "ns" 55 0 146 73 0 3.02 55 26.29 4.52 8.7 9 5 48 13 "82" 52
"314" 314 "Who Framed Roger Rabbit" "BV" 329.8 156.5 173.4 1988 "Fantasy Comedy" "PG" NA 7.7 "Fantasy" "Comedy" NA 103 NA "Robert Zemeckis" "ss" 70 0 61 86 0 2.24 44 30.94 NA 13.84 33 33 23 30 "15" 16
"315" 315 "Black Swan" "FoxS" 329.4 107 222.4 2010 "Drama / Thriller" "R" NA 8 "Drama" "Thriller" NA 103 NA "Darren Aronofsky" "hs" 13 0 275 75 0 8.23 65 14.32 NA 1.74 32 73 58 12 "85" 49
"316" 316 "The Perfect Storm" "WB" 328.7 182.6 146.1 2000 "Action Drama" "PG-13" NA 6.4 "Action" "Drama" NA 129 NA "Wolfgang Petersen" "ss" 140 0 0 0 0 1.3 55 28.88 NA 22.15 10 8 87 20 "193" 60
"317" 317 "Crocodile Dundee" "Par." 328.2 174.8 153.4 1986 "Adventure Comedy" "PG-13" NA 6.5 "Adventure" "Comedy" NA 93 NA "Peter Faiman" "ns" NA 0 0 0 0 NA 41 37.09 NA NA NA NA 3 0 "16" 1
"318" 318 "Seven" "NL" 327.3 100.1 227.2 1995 "Thriller" "R" 2528 8.6 "Thriller" "" NA 127 NA "David Fincher" "ns" 33 0 69 69 0 3.03 50 17.42 NA 5.74 57 101 56 2 "69" 3
"319" 319 "The Devil Wears Prada" "Fox" 326.6 124.7 201.8 2006 "Comedy" "PG-13" 2882 6.8 "Comedy" "" 27.5 106 24 "David Frankel" "ss" 35 0 187 63 0 3.56 61 17.79 3.92 4.99 7 6 163 65 "321" 95
"320" 320 "Taken 3" "Fox" 326.5 89.3 237.2 2015 "Action" "PG-13" 3594 6 "Action" "" 39.2 109 18 "Olivier Megaton" "ns" 48 1 0 0 0 1.86 70 11.1 4.87 5.97 2 2 15 57 "35" 48
"321" 321 "The Hunchback of Notre Dame" "BV" 325.3 100.1 225.2 1996 "Animation" "G" NA 6.9 "Animation" "" NA 91 NA "Gary Trousdale" "ss" 100 0 52 61 0 1 51 17.08 NA 17.06 1 5 7 4 "37" 10
"322" 322 "A Christmas Carol" "BV" 325.3 137.9 187.4 2009 "Animation" "PG" 3683 NA "Animation" "" 30.1 96 13 "James Barratt" "ns" 200 0 0 0 0 0.69 64 18.75 4.09 27.19 NA NA NA NA " " NA
