rank	reviewnum	title	tomato_rating
39.	60	Romeo + Juliet (1996)	72%
40.	54	Beavis and Butt-head Do America (1996)	72%
41.	48	Tin Cup (1996)	69%
42.	58	The Crucible (1996)	67%
43.	52	The Long Kiss Goodnight (1996)	67%
44.	51	A Time to Kill (1996)	67%
45.	64	The Rock (1996)	66%
46.	55	The Nutty Professor (1996)	64%
47.	51	Mission: Impossible (1996)	63%
48.	46	From Dusk Till Dawn (1996)	63%
49.	51	She's the One (1996)	61%
50.	57	Independence Day (1996)	60%
51.	53	2 Days in the Valley (1996)	60%
52.	53	Happy Gilmore (1996)	60%
53.	43	The Preacher's Wife (1996)	60%
54.	50	Crash (1996)	58%
55.	53	Twister (1996)	57%
56.	57	The Cable Guy (1996)	54%
57.	63	Mars Attacks! (1996)	52%
58.	47	John Carpenter's Escape from L.A. (1996)	53%
59.	47	Stealing Beauty (1996)	53%
60.	46	The Ghost and the Darkness (1996)	50%
61.	57	My Fellow Americans (1996)	47%
62.	45	Multiplicity (1996)	44%
63.	42	The Phantom (1996)	43%
64.	50	Space Jam (1996)	36%
65.	45	Eraser (1996)	36%
66.	42	Mary Reilly (1996)	26%
67.	44	Four Rooms (1996)	14%
68.	68	Striptease (1996)	12%
69.	40	Spy Hard (1996)	8%
1.	108	L.A. Confidential (1997)	99%
2.	55	The Sweet Hereafter (1997)	100%
3.	70	Good Will Hunting (1997)	97%
4.	178	Titanic (1997)	88%
5.	85	Men in Black (1997)	92%
6.	44	The Full Monty (1997)	95%
7.	83	Face/Off (1997)	92%
8.	49	Ulee's Gold (1997)	94%
9.	48	Mrs. Brown (1997)	94%
10.	65	Boogie Nights (1997)	92%
11.	83	Chasing Amy (1997)	88%
12.	54	In the Company of Men (1997)	89%
13.	76	Jackie Brown (1997)	87%
14.	59	The Spanish Prisoner (1997)	88%
15.	76	As Good as It Gets (1997)	86%
16.	55	Donnie Brasco (1997)	87%
17.	47	Affliction (1997)	87%
18.	72	Wag the Dog (1997)	85%
