rank	reviewnum	title	tomato_rating
96.	161	Happy Feet (2006)	75%
97.	53	Le Petit Lieutenant (2006)	79%
98.	187	The Illusionist (2006)	74%
99.	52	Ghosts of Cit¨¦ Soleil (2006)	79%
100.	96	The U.S. vs. John Lennon (2006)	77%
1.	238	Ratatouille (2007)	96%
2.	91	Taxi to the Dark Side (2007)	100%
3.	267	No Country for Old Men (2007)	93%
4.	154	Once (2007)	97%
5.	257	The Bourne Ultimatum (2007)	93%
6.	114	The Band's Visit (2007)	98%
7.	153	Persepolis (2007)	96%
8.	206	Juno (2007)	94%
9.	98	The King of Kong: A Fistful of Quarters (2007)	97%
10.	174	Gone Baby Gone (2007)	94%
11.	63	Ten Canoes (2007)	98%
12.	164	The Diving Bell and the Butterfly (2007)	94%
13.	52	The Devil Came on Horseback (2007)	98%
14.	133	"4 Months, 3 Weeks and 2 Days (2007)"	95%
15.	187	Enchanted (2007)	93%
16.	48	For the Bible Tells Me So (2007)	98%
17.	45	Surfwise (2007)	98%
18.	71	Killer of Sheep (2007)	97%
19.	43	Grbavica (2007)	98%
20.	42	The Life of Reilly (2007)	98%
21.	93	No End in Sight (2007)	96%
22.	141	Away From Her (2007)	94%
23.	110	In the Shadow of the Moon (2007)	95%
24.	214	There Will Be Blood (2007)	91%
25.	211	Hairspray (2007)	91%
26.	211	Sicko (2007)	91%
27.	238	Knocked Up (2007)	90%
28.	121	The Counterfeiters (2007)	94%
29.	198	Hot Fuzz (2007)	91%
30.	108	Encounters at the End of the World (2007)	94%
31.	51	Up the Yangtze (2007)	96%
32.	48	Triad Election (Hak se wui yi wo wai kwai) (2007)	96%
33.	47	Nanking (2007)	96%
34.	47	"A fost sau n-a fost?, (12:08 East of Bucharest) (2007)"	96%
35.	233	Zodiac (2007)	89%
36.	146	The Host (2007)	92%
37.	196	Michael Clayton (2007)	90%
38.	85	My Winnipeg (2007)	94%
39.	82	My Kid Could Paint That (2007)	94%
40.	218	The Simpsons Movie (2007)	89%
41.	160	Rescue Dawn (2007)	91%
42.	213	3:10 to Yuma (2007)	89%
43.	89	This Is England (2007)	93%
44.	87	U2 3D (2007)	93%
45.	194	Eastern Promises (2007)	89%
46.	54	Lake of Fire (2007)	94%
47.	202	Superbad (2007)	88%
48.	169	Waitress (2007)	89%
49.	165	The Savages (2007)	89%
50.	93	The Italian (2007)	91%
51.	60	An Unreasonable Man (2007)	92%
52.	85	O' Horten (2007)	91%
53.	167	Before the Devil Knows You're Dead (2007)	88%
54.	220	Sweeney Todd: The Demon Barber of Fleet Street (2007)	86%
55.	50	La Graine et le Mulet (The Secret of the Grain) (Couscous) (2007)	92%
56.	70	God Grew Tired Of Us (2007)	91%
57.	174	The Orphanage (2007)	87%
58.	166	The Lookout (2007)	87%
59.	44	Shotgun Stories (2007)	91%
60.	113	The Wind That Shakes the Barley (2007)	88%
61.	49	Must Read After My Death (2007)	90%
62.	74	Auf der Anderen Seite (The Edge of Heaven) (On the Other Side) (2007)	89%
63.	100	Young@Heart (2007)	88%
64.	63	Joe Strummer: The Future Is Unwritten (2007)	89%
65.	86	Red Road (2007)	88%
66.	112	Paris Je T'aime (2007)	87%
67.	56	Alexandra (2007)	89%
68.	110	Control (2007)	87%
69.	74	Roman de gare (2007)	88%
70.	157	Bridge to Terabithia (2007)	85%
71.	209	Atonement (2007)	83%
72.	98	Starting Out in the Evening (2007)	87%
73.	69	Los Cronocr¨ªmenes (Timecrimes) (2007)	88%
74.	151	The Hoax (2007)	85%
75.	176	Breach (2007)	84%
76.	116	2 Days in Paris (2007)	86%
77.	58	Boy A (2007)	88%
78.	191	Grindhouse (2007)	83%
79.	52	ShowBusiness: The Road to Broadway (2007)	88%
80.	48	The Witnesses (2007)	88%
81.	42	Syndromes and a Century (2007)	88%
82.	41	The Real Dirt on Farmer John (2007)	88%
83.	206	Live Free or Die Hard (2007)	82%
84.	63	Into Great Silence (2007)	87%
85.	61	Mio Fratello ¨¨ Figlio Unico (My Brother Is an Only Child) (2007)	87%
86.	195	Charlie Wilson's War (2007)	82%
87.	192	Into the Wild (2007)	82%
88.	110	Rocket Science (2007)	84%
89.	50	When the Road Bends: Tales of a Gypsy Caravan (2007)	86%
90.	242	Harry Potter and the Order of the Phoenix (2007)	79%
91.	209	American Gangster (2007)	80%
92.	42	L' Avocat de la Terreur (Terror's Advocate) (2007)	86%
93.	47	War Dance (2007)	85%
94.	127	Talk to Me (2007)	82%
95.	191	A Mighty Heart (2007)	79%
96.	134	Lars and the Real Girl (2007)	81%
97.	43	XXY (2007)	84%
98.	60	Manufactured Landscapes (2007)	83%
99.	170	1408 (2007)	79%
100.	85	Days of Glory (2007)	82%
1.	219	The Wrestler (2008)	98%
2.	314	The Dark Knight (2008)	94%
3.	154	Man on Wire (2008)	100%
4.	244	WALL-E (2008)	96%
5.	177	Let the Right One In (2008)	98%
6.	266	Iron Man (2008)	94%
7.	229	Milk (2008)	94%
8.	267	Slumdog Millionaire (2008)	92%
9.	61	Aruitemo Aruitemo (Still Walking) (2008)	100%
10.	247	Frost/Nixon (2008)	92%
11.	144	Waltz with Bashir (2008)	96%
12.	151	The Class (2008)	95%
13.	60	Burma VJ: Reporter i et Lukket Land (Burma VJ: Reporting from a Closed Country) (2008)	97%
14.	59	35 Rhums (35 Shots of Rum) (2008)	97%
15.	153	Happy-Go-Lucky (2008)	93%
16.	75	"Bigger, Stronger, Faster* (2008)"	96%
17.	74	Trouble the Water (2008)	96%
18.	51	Chop Shop (2008)	96%
19.	47	The Pool (2008)	96%
20.	143	Gomorrah (Gomorra) (2008)	92%
21.	66	Les Plages d'Agn¨¨s (The Beaches of Agnes) (2008)	95%
22.	132	Sugar (2008)	92%
23.	63	"Not Quite Hollywood: The Wild, Untold Story of Ozploitation! (2008)"	94%
24.	81	Transsiberian (2008)	93%
25.	177	Bolt (2008)	89%
26.	50	Dear Zachary: A Letter to a Son About His Father (2008)	94%
27.	75	Caramel (2008)	92%
28.	73	Ballast (2008)	92%
29.	241	Hellboy II: The Golden Army (Hellboy 2) (2008)	85%
30.	178	Kung Fu Panda (2008)	87%
31.	116	The Visitor (2008)	89%
32.	129	Frozen River (2008)	88%
33.	178	Ghost Town (2008)	86%
34.	123	I've Loved You So Long (2008)	88%
35.	45	Momma's Man (2008)	91%
36.	58	Le fils de l'¨¦picier (The Grocer's Son) (2008)	90%
37.	230	Tropic Thunder (2008)	83%
38.	178	Forgetting Sarah Marshall (2008)	85%
39.	177	Wendy and Lucy (2008)	85%
40.	122	Shine a Light (2008)	87%
41.	192	Rachel Getting Married (2008)	84%
42.	41	24 City (Er shi si cheng ji) (2008)	90%
43.	184	In Bruges (2008)	84%
44.	124	Un Conte de No_l (A Christmas Tale) (2008)	86%
45.	99	Mongol (2008)	87%
46.	64	I.O.U.S.A. (2008)	88%
47.	60	Meduzot (Jellyfish) (2008)	88%
48.	70	Flammen & Citronen (Flame & Citron) (The Flame and the Lemon) (2008)	87%
49.	94	Gonzo: The Life and Work of Hunter S. Thompson (2008)	86%
50.	41	The Black Balloon (2008)	88%
51.	197	Vicky Cristina Barcelona (2008)	81%
52.	47	Roman Polanski: Wanted and Desired (2008)	87%
53.	94	Lorna's Silence (2008)	85%
54.	93	Der Baader Meinhof Komplex (The Baader Meinhof Complex) (2008)	85%
55.	63	In Search of a Midnight Kiss (2008)	86%
56.	158	Two Lovers (2008)	82%
57.	256	Indiana Jones and the Kingdom of the Crystal Skull (2008)	78%
58.	51	Beaufort (2008)	86%
59.	50	Fifty Dead Men Walking (2008)	86%
60.	227	Burn After Reading (2008)	78%
61.	102	JCVD (Van Dammage) (2008)	83%
62.	207	Doubt (2008)	78%
63.	144	The Spiderwick Chronicles (2008)	80%
64.	199	Cloverfield (2008)	77%
65.	142	The Bank Job (2008)	79%
66.	85	I Served the King of England (2008)	81%
67.	157	Role Models (2008)	78%
68.	131	Dr. Seuss' Horton Hears a Who! (2008)	79%
69.	57	Disgrace (2008)	82%
70.	86	Ashes of Time Redux (2008)	80%
71.	158	Appaloosa (2008)	77%
72.	82	Chicago 10 (2008)	80%
73.	57	Kirschbl¨¹ten - Hanami (Cherry Blossoms) (2008)	81%
74.	52	Yella (2008)	81%
75.	100	Standard Operating Procedure (2008)	79%
76.	98	Kit Kittredge: An American Girl (2008)	79%
77.	47	Flow: For Love of Water (2008)	81%
78.	94	Baghead (2008)	79%
79.	143	Miss Pettigrew Lives for a Day (2008)	77%
80.	56	Nothing But the Truth (2008)	80%
81.	44	Che: Part Two (Guerrilla) (2008)	80%
82.	44	Un Secret (A Secret) (2008)	80%
83.	238	The Curious Case of Benjamin Button (2008)	72%
84.	178	Nick and Norah's Infinite Playlist (2008)	74%
85.	42	Body of War (2008)	79%
86.	42	Afterschool (2008)	79%
87.	58	__ Maymun (Three Monkeys) (2008)	78%
88.	200	Wanted (2008)	72%
89.	115	Elegy (2008)	75%
90.	43	Water Lilies (2008)	77%
91.	58	"OSS 117: Le Caire Nid d'Espions (OSS 117: Cairo, Nest of Spies) (2008)"	76%
92.	67	Tokyo! (2008)	75%
93.	41	Gunnin' for That #1 Spot (2008)	76%
94.	84	La Fille Coup¨¦e en Deux (The Girl Cut in Two) (A Girl Cut in Two) (2008)	74%
95.	55	$9.99 (2008)	75%
96.	97	When Did You Last See Your Father? (2008)	73%
97.	144	"Definitely, Maybe (2008)"	71%
98.	93	Under the Same Moon (2008)	73%
99.	280	Quantum of Solace (2008)	65%
100.	152	Religulous (2008)	70%
1.	281	Up (2009)	98%
2.	254	The Hurt Locker (2009)	98%
3.	330	Star Trek (2009)	95%
4.	134	Anvil! The Story of Anvil (2009)	98%
5.	59	Afghan Star (2009)	100%
6.	253	Drag Me to Hell (2009)	92%
7.	267	Up in the Air (2009)	91%
8.	179	An Education (2009)	94%
9.	291	District 9 (2009)	90%
10.	166	In the Loop (2009)	94%
11.	224	Fantastic Mr. Fox (2009)	92%
12.	106	"Food, Inc. (2009)"	96%
13.	40	Avaze gonjeshk-ha (The Song of Sparrows) (2009)	98%
14.	299	Inglourious Basterds (2009)	89%
15.	58	Sweetgrass (2009)	97%
16.	257	Coraline (2009)	90%
17.	81	Revanche (2009)	96%
18.	220	Precious: Based on the Novel Push by Sapphire (2009)	91%
19.	69	Tulpan (2009)	96%
20.	125	The Cove (2009)	94%
21.	54	Most Dangerous Man in America: Daniel Ellsberg and the Pentagon Papers (2009)	96%
22.	199	Crazy Heart (2009)	91%
23.	52	Somers Town (2009)	96%
24.	80	Good Hair (2009)	95%
25.	103	Goodbye Solo (2009)	94%
26.	159	Ponyo (2009)	92%
27.	128	The Damned United (2009)	93%
28.	64	Crude (2009)	95%
29.	63	Mary and Max (2009)	95%
30.	237	Zombieland (2009)	89%
31.	55	Of Time and the City (2009)	95%
32.	84	Tokyo Sonata (Tokyo Sonata) (2009)	94%
33.	101	L'Heure d'¨¦t¨¦ (Summer Hours) (2009)	93%
34.	66	La Nana (The Maid) (2009)	94%
35.	64	Katyn (2009)	94%
36.	208	A Serious Man (2009)	89%
37.	48	Under the Sea 3D (2009)	94%
38.	186	Moon (2009)	89%
39.	69	"Yoo-hoo, Mrs. Goldberg (2009)"	93%
40.	155	The Messenger (2009)	90%
41.	95	Every Little Step (2009)	92%
42.	208	Adventureland (2009)	88%
43.	66	Etz Limon (Lemon Tree) (2009)	92%
44.	120	Hunger (2009)	90%
45.	48	Il Divo (2009)	92%
46.	100	Maria Larssons eviga _gonblick (Everlasting Moments) (Maria Larsson's Everlasting Moment) (2009)	90%
47.	214	500 Days of Summer (2009)	86%
48.	293	Avatar (2009)	83%
49.	116	World's Greatest Dad (2009)	89%
50.	113	Red Cliff (Chi Bi) (2009)	89%
51.	92	S¨¦raphine (2009)	89%
52.	266	Harry Potter and the Half-Blood Prince (2009)	83%
53.	176	The Girl with the Dragon Tattoo (2009)	86%
54.	116	Sin Nombre (2009)	88%
55.	139	Cloudy With a Chance of Meatballs (2009)	87%
56.	138	Bad Lieutenant: Port of Call New Orleans (2009)	87%
57.	179	A Single Man (2009)	85%
58.	205	State of Play (2009)	84%
59.	200	"I Love You, Man (2009)"	84%
60.	138	The White Ribbon (Das weisse Band) (2009)	86%
61.	185	The Princess and the Frog (2009)	84%
62.	151	Me and Orson Welles (2009)	85%
63.	179	Whip It (2009)	84%
64.	91	Earth (Disneynature's Earth) (Planet Earth) (2009)	87%
65.	50	La Danse -- Le Ballet de l'Opera de Paris (2009)	88%
66.	136	Tyson (2009)	85%
67.	191	Paranormal Activity (2009)	83%
68.	70	Amreeka (2009)	87%
69.	94	The House of the Devil (2009)	86%
70.	62	Pranzo di Ferragosto (Mid-August Lunch) (2009)	87%
71.	61	Treeless Mountain (2009)	87%
72.	87	Big Fan (2009)	86%
73.	156	Bright Star (2009)	83%
74.	72	Soul Power (2009)	85%
75.	179	Michael Jackson's This Is It (2009)	81%
76.	62	Skin (2009)	85%
77.	59	Black Dynamite (2009)	85%
78.	111	The September Issue (2009)	83%
79.	225	The Hangover (2009)	79%
80.	224	Gran Torino (2009)	79%
81.	213	The Informant! (2009)	79%
82.	67	Panique au village (A Town Called Panic) (2009)	84%
83.	147	Broken Embraces (2009)	81%
84.	79	Pontypool (2009)	82%
85.	108	Bakjwi (Thirst) (2009)	81%
86.	47	No Impact Man: The Documentary (2009)	83%
87.	103	Okuribito (Departures) (2009)	81%
88.	98	Bandslam (2009)	81%
89.	231	Invictus (2009)	76%
90.	109	It Might Get Loud (2009)	80%
91.	131	Humpday (2009)	79%
92.	47	We Live in Public (2009)	81%
93.	211	Julie & Julia (2009)	75%
94.	203	The Road (2009)	75%
95.	253	Where the Wild Things Are (2009)	73%
96.	178	Capitalism: A Love Story (2009)	75%
97.	145	The Young Victoria (2009)	76%
98.	52	The Yes Men Fix the World (2009)	79%
99.	73	"Politist, adj. (Police, Adjective) (2009)"	78%
100.	42	A Summer In Genoa (2009)	79%
1.	287	Toy Story 3 (2010)	99%
2.	288	The Social Network (2010)	96%
3.	200	How to Train Your Dragon (2010)	98%
4.	261	True Grit (2010)	96%
5.	265	The King's Speech (2010)	95%
6.	142	Inside Job (2010)	98%
7.	68	Waste Land (2010)	100%
8.	147	A Prophet (Un prophete) (2010)	97%
9.	52	Last Train Home (2010)	100%
10.	217	127 Hours (2010)	93%
11.	153	Animal Kingdom (2010)	95%
12.	214	The Town (2010)	93%
13.	58	Marwencol (2010)	98%
14.	209	The Kids Are All Right (2010)	93%
15.	111	Restrepo (2010)	96%
16.	108	Exit Through The Gift Shop (2010)	96%
17.	161	Winter's Bone (2010)	94%
18.	66	Ajami (2010)	97%
19.	62	A Film Unfinished (2010)	97%
20.	111	Mother (Madeo) (2010)	95%
21.	236	The Fighter (2010)	90%
22.	164	Another Year (2010)	92%
23.	63	Best Worst Movie (2010)	95%
24.	215	Tangled (2010)	90%
25.	58	No One Knows About Persian Cats (Les Chats Persans) (2010)	95%
26.	325	Inception (2010)	86%
27.	63	Carlos (2010)	94%
28.	84	The Tillman Story (2010)	93%
29.	48	Samson and Delilah (2010)	94%
30.	141	Fish Tank (2010)	91%
31.	132	The Secret in Their Eyes (El Secreto de Sus Ojos) (2010)	91%
32.	220	Let Me In (2010)	88%
33.	90	Vincere (2010)	92%
34.	275	Black Swan (2010)	86%
35.	42	Boxing Gym (2010)	93%
36.	40	Lourdes (2010)	93%
37.	101	Joan Rivers: A Piece Of Work (2010)	91%
38.	194	Blue Valentine (2010)	88%
39.	62	Dogtooth (Kynodontas) (2010)	92%
40.	121	The Illusionist (L'illusionniste) (2010)	90%
41.	79	The Secret of Kells (2010)	91%
42.	101	Lebanon (Levanon) (2010)	90%
43.	67	Client 9: The Rise and Fall of Eliot Spitzer (2010)	91%
44.	57	My Dog Tulip (2010)	91%
45.	55	The Father of My Children (Le pere de mes enfants) (2010)	91%
46.	115	Waiting for Superman (2010)	89%
47.	46	Alamar (To the Sea) (2010)	91%
48.	190	Rabbit Hole (2010)	86%
49.	96	Rare Exports: A Christmas Tale (2010)	89%
50.	186	Unstoppable (2010)	86%
51.	59	Winnebago Man (2010)	90%
52.	151	Buried (2010)	87%
53.	41	Cropsey (2010)	90%
54.	181	Easy A (2010)	85%
55.	81	White Material (2010)	88%
56.	45	Terribly Happy (Frygtelig lykkelig) (2010)	89%
57.	135	Please Give (2010)	86%
58.	245	Scott Pilgrim vs. the World (2010)	82%
59.	196	The Ghost Writer (2010)	83%
60.	83	The Square (2010)	86%
61.	141	Get Low (2010)	84%
62.	97	Looking for Eric (2010)	85%
63.	57	Red Riding Trilogy (2010)	86%
64.	75	Farewell (L'affaire Farewell) (2010)	85%
65.	192	Despicable Me (2010)	81%
66.	60	The Art Of The Steal (2010)	85%
67.	52	Kisses (2010)	85%
68.	260	Harry Potter and the Deathly Hallows - Part 1 (2010)	78%
69.	64	"The Good, the Bad, and the Weird (2010)"	84%
70.	126	Four Lions (2010)	82%
71.	55	North Face (Nordwand) (2010)	84%
72.	64	Casino Jack And The United States Of Money (2010)	83%
73.	92	The Disappearance of Alice Creed (2010)	82%
74.	152	Cyrus (2010)	80%
75.	85	Mesrine: Public Enemy #1 (2010)	82%
76.	52	Mademoiselle Chambon (2010)	83%
77.	145	Catfish (2010)	80%
78.	170	Fair Game (2010)	79%
79.	198	The Other Guys (2010)	78%
80.	99	City Island (2010)	81%
81.	94	Solitary Man (2010)	81%
82.	124	Made in Dagenham (2010)	80%
83.	123	I Am Love (2010)	80%
84.	244	Kick-Ass (2010)	76%
85.	77	Cairo Time (2010)	81%
86.	75	Oceans (Disneynature's Oceans) (2010)	81%
87.	136	Nowhere Boy (2010)	79%
88.	69	Mesrine: Killer Instinct (L'instinct de mort) (2010)	81%
89.	86	Countdown to Zero (2010)	80%
90.	52	Night Catches Us (2010)	81%
91.	95	Tiny Furniture (2010)	79%
92.	119	Mother and Child (2010)	78%
93.	276	Iron Man 2 (2010)	72%
94.	58	The Girl on the Train (La Fille du RER) (2010)	79%
95.	43	How I Ended This Summer (2010)	79%
96.	161	Greenberg (2010)	75%
97.	64	Red Hill (2010)	78%
98.	184	Splice (2010)	74%
99.	50	OSS 117: Rio ne r¨¦pond plus (Lost in Rio) (2010)	78%
100.	116	Nanny McPhee Returns (2010)	75%
1.	308	Harry Potter and the Deathly Hallows - Part 2 (2011)	96%
2.	275	The Artist (2011)	97%
3.	150	A Separation (2011)	99%
4.	207	The Muppets (2011)	96%
5.	133	Project Nim (2011)	98%
6.	61	Poetry (2011)	100%
7.	239	Moneyball (2011)	94%
8.	85	The Interrupters (2011)	99%
9.	85	Le Havre (2011)	99%
10.	43	Everyday Sunshine: The Story of Fishbone (2011)	100%
11.	42	Nostalgia for the Light (2011)	100%
12.	41	We Were Here (2011)	100%
13.	67	Bill Cunningham New York (2011)	99%
14.	205	Hugo (2011)	94%
15.	230	Mission: Impossible Ghost Protocol (2011)	93%
16.	128	Cave of Forgotten Dreams (2011)	96%
17.	185	50/50 (2011)	94%
18.	244	Source Code (2011)	92%
19.	119	13 Assassins (2011)	96%
20.	207	Midnight in Paris (2011)	93%
21.	237	Drive (2011)	92%
22.	49	Born To Be Wild (2011)	98%
23.	169	Win Win (2011)	94%
24.	62	Tomboy (2011)	97%
25.	265	Bridesmaids (2011)	90%
26.	125	The Guard (2011)	94%
27.	93	Pina (2011)	95%
28.	78	Weekend (2011)	95%
29.	46	The Arbor (2011)	96%
30.	135	Coriolanus (2011)	93%
31.	73	Being Elmo: A Puppeteer's Journey (2011)	95%
32.	157	Arthur Christmas (2011)	92%
33.	237	The Descendants (2011)	89%
34.	112	Of Gods and Men (2011)	93%
35.	44	Silent Souls (2011)	95%
36.	103	Pariah (2011)	93%
37.	194	Martha Marcy May Marlene (2011)	90%
38.	42	Knuckle (2011)	95%
39.	152	Take Shelter (2011)	91%
40.	119	Incendies (2011)	92%
41.	270	X-Men: First Class (2011)	87%
42.	117	Senna (2011)	92%
43.	106	Into The Abyss (2011)	92%
44.	157	Attack the Block (2011)	90%
45.	115	Tabloid (2011)	91%
46.	54	The Four Times (Le Quattro Volte) (2011)	93%
47.	113	The Lion King (2011)	91%
48.	44	King of Devil's Island (2011)	93%
49.	42	Elite Squad: The Enemy Within (2011)	93%
50.	126	Winnie the Pooh (2011)	90%
51.	213	Rango (2011)	87%
52.	51	Armadillo (2011)	92%
53.	49	Corman's World: Exploits Of A Hollywood Rebel (2011)	92%
54.	79	Point Blank (2011)	91%
55.	224	The Girl with the Dragon Tattoo (2011)	86%
56.	155	Margin Call (2011)	88%
57.	47	City of Life and Death (2011)	91%
58.	46	The Black Power Mixtape 1967-1975 (2011)	91%
59.	255	The Tree of Life (2011)	84%
60.	99	Buck (2011)	89%
61.	97	The Trip (2011)	89%
62.	218	The Ides of March (2011)	85%
63.	121	Certified Copy (Copie Conforme) (2011)	88%
64.	58	Beats Rhymes & Life: The Travels of a Tribe Called Quest (2011)	90%
65.	237	Contagion (2011)	84%
66.	159	Cedar Rapids (2011)	86%
67.	92	Uncle Boonmee Who Can Recall His Past Lives (2011)	88%
68.	269	Super 8 (2011)	82%
69.	145	Submarine (2011)	86%
70.	67	The Hedgehog (2011)	88%
71.	248	Rise of the Planet of the Apes (2011)	82%
72.	59	Even the Rain (Meme La Pluie) (2011)	88%
73.	207	Tinker Tailor Soldier Spy (2011)	83%
74.	124	Meek's Cutoff (2011)	85%
75.	92	Terri (2011)	86%
76.	149	Beginners (2011)	84%
77.	148	Jane Eyre (2011)	84%
78.	142	Puss in Boots (2011)	84%
79.	45	Carancho (2011)	87%
80.	45	Bobby Fischer Against The World (2011)	87%
81.	166	The Lincoln Lawyer (2011)	83%
82.	104	A Better Life (2011)	85%
83.	163	My Week with Marilyn (2011)	83%
84.	56	Viva Riva! (2011)	86%
85.	177	Warrior (2011)	82%
86.	73	Circumstance (2011)	85%
87.	98	Tucker & Dale vs Evil (2011)	84%
88.	241	Captain America: The First Avenger (2011)	79%
89.	113	Potiche (2011)	83%
90.	47	"Happy, Happy (2011)"	85%
91.	167	Kung Fu Panda 2 (2011)	81%
92.	163	The Skin I Live In (2011)	81%
93.	63	La princesse de Montpensier (The Princess of Montpensier) (2011)	84%
94.	180	Young Adult (2011)	80%
95.	57	La t¨ºte en friche (My Afternoons with Margueritte) (2011)	84%
96.	266	Thor (2011)	77%
97.	49	Mysteries of Lisbon (2011)	84%
98.	106	Dolphin Tale (2011)	82%
99.	197	Shame (2011)	79%
100.	75	Tyrannosaur (2011)	83%
1.	303	Argo (2012)	96%
2.	341	Skyfall (2012)	93%
3.	314	Marvel's The Avengers (2012)	92%
4.	247	Looper (2012)	93%
5.	88	Jiro Dreams of Sushi (2012)	99%
6.	229	Moonrise Kingdom (2012)	93%
7.	253	The Cabin in the Woods (2012)	92%
8.	46	Wake in Fright (2012)	100%
9.	70	How to Survive a Plague (2012)	99%
10.	89	This Is Not a Film (2012)	98%
11.	112	Monsieur Lazhar (2012)	97%
12.	228	Silver Linings Playbook (2012)	92%
13.	196	Amour (2012)	93%
14.	119	The Kid with a Bike (2012)	96%
15.	66	The Invisible War (2012)	98%
16.	139	The Secret World of Arrietty (2012)	95%
17.	188	The Sessions (2012)	93%
18.	60	"Oslo, August 31st (2012)"	98%
19.	76	Ai Weiwei: Never Sorry (2012)	97%
20.	328	The Dark Knight Rises (2012)	87%
21.	251	Lincoln (2012)	90%
22.	48	Beware Of Mr. Baker (2012)	98%
23.	48	Mea Maxima Culpa: Silence In The House Of God (2012)	98%
24.	46	The Island President (2012)	98%
25.	45	The Loved Ones (2012)	98%
26.	94	Undefeated (2012)	96%
27.	111	West of Memphis (2012)	95%
28.	108	The Imposter (2012)	95%
29.	101	Marley (2012)	95%
30.	68	Chasing Ice (2012)	96%
31.	118	Searching for Sugar Man (2012)	94%
32.	106	The Queen of Versailles (2012)	94%
33.	52	Brooklyn Castle (2012)	96%
34.	248	Django Unchained (2012)	88%
35.	66	Sister (2012)	95%
36.	43	5 Broken Cameras (2012)	95%
37.	43	Marina Abramovic: The Artist Is Present (2012)	95%
38.	68	I Wish (2012)	94%
39.	66	Diana Vreeland: The Eye Has To Travel (2012)	94%
40.	139	Holy Motors (2012)	91%
41.	62	The House I Live In (2012)	94%
42.	75	Barbara (2012)	93%
43.	148	Bernie (2012)	90%
44.	70	First Position (2012)	93%
45.	69	The Central Park Five (2012)	93%
46.	93	Headhunters (2012)	92%
47.	138	Safety Not Guaranteed (2012)	90%
48.	60	Elena (2012)	93%
49.	228	Life of Pi (2012)	86%
50.	76	"Farewell, My Queen (2012)"	92%
51.	278	The Hunger Games (2012)	84%
52.	199	Frankenweenie (2012)	87%
53.	72	Once Upon a Time in Anatolia (2012)	92%
54.	43	"Turn Me On, Dammit! (2012)"	93%
55.	40	"Electric Boogaloo: The Wild, Untold Story of Cannon Films (2012)"	93%
56.	65	Side by Side (2012)	92%
57.	131	Compliance (2012)	89%
58.	225	The Master (2012)	85%
59.	165	ParaNorman (2012)	87%
60.	87	Footnote (2012)	90%
61.	184	Beasts of the Southern Wild (2012)	86%
62.	209	21 Jump Street (2012)	85%
63.	151	Arbitrage (2012)	87%
64.	100	A Royal Affair (2012)	89%
65.	168	Wreck-it Ralph (2012)	86%
66.	61	Keep the Lights On (2012)	90%
67.	104	In Darkness (2012)	88%
68.	144	The Pirates! Band of Misfits (2012)	86%
69.	169	End of Watch (2012)	85%
70.	166	Chronicle (2012)	85%
71.	151	The Perks of Being a Wallflower (2012)	85%
72.	200	Seven Psychopaths (2012)	83%
73.	123	Robot & Frank (2012)	86%
74.	144	The Raid: Redemption (2012)	85%
75.	58	Neil Young Journeys (2012)	88%
76.	77	Polisse (2012)	87%
77.	51	The Turin Horse (2012)	88%
78.	43	Starlet (2012)	88%
79.	41	The Big Picture (2012)	88%
80.	53	Tabu (2012)	87%
81.	128	Bully (2012)	84%
82.	46	Middle of Nowhere (2012)	87%
83.	66	Boy (2012)	86%
84.	65	Chico & Rita (2012)	86%
85.	64	Miss Bala (2012)	86%
86.	134	Your Sister's Sister (2012)	83%
87.	184	The Impossible (2012)	81%
88.	155	De rouille et d'os (Rust and Bone) (2012)	82%
89.	102	Smashed (2012)	84%
90.	42	Declaration of War (2012)	86%
91.	67	Snabba cash (Easy Money) (2012)	85%
92.	67	Rundskop (Bullhead) (2012)	85%
93.	192	Magic Mike (2012)	80%
94.	109	Sleepwalk With Me (2012)	83%
95.	182	Haywire (2012)	80%
96.	225	Brave (2012)	78%
97.	140	Pitch Perfect (2012)	81%
98.	64	The Forgiveness of Blood (2012)	84%
99.	190	The Grey (2012)	79%
100.	104	Goon (2012)	82%
1.	306	Gravity (2013)	97%
2.	299	12 Years a Slave (2013)	96%
3.	180	Before Midnight (2013)	98%
4.	152	Short Term 12 (2013)	99%
5.	169	Mud (2013)	98%
6.	235	Her (2013)	94%
7.	233	Dallas Buyers Club (2013)	94%
8.	110	20 Feet From Stardom (2013)	99%
9.	255	Zero Dark Thirty (2013)	93%
10.	251	American Hustle (2013)	93%
11.	102	Wadjda (2013)	99%
12.	121	Blackfish (2013)	98%
13.	216	All Is Lost (2013)	94%
14.	239	Inside Llewyn Davis (2013)	93%
15.	239	Captain Phillips (2013)	93%
16.	166	Enough Said (2013)	96%
17.	59	The Square (2013)	100%
18.	42	Sound City (2013)	100%
19.	187	Fruitvale Station (2013)	94%
20.	134	The Act Of Killing (2013)	96%
21.	65	56 Up (2013)	98%
22.	74	The Selfish Giant (2013)	97%
23.	219	Nebraska (2013)	91%
24.	42	Call Me Kuchu (2013)	98%
25.	162	Frances Ha (2013)	93%
26.	41	Let The Fire Burn (2013)	98%
27.	253	The Hunger Games: Catching Fire (2013)	89%
28.	106	A Hijacking (2013)	95%
29.	80	Muscle Shoals (2013)	96%
30.	127	Stories We Tell (2013)	94%
31.	199	Blue Jasmine (2013)	91%
