Number,Rank,Title,Studio,Worldwide,Domestic ,Overseas ,Year,release_date,genre,runtime,mpaa,budget,opening_weekend,duration,director,actors,theater,rating
93,93,Thor: The Dark World,BV,644.6,206.4,438.2,2013,"November 8, 2013",Action / Adventure, 2 hrs. 0 min.,PG-13,170 ,85737841,161 days / 23 weeks,Alan Taylor,Chris HemsworthNatalie PortmanTom HiddlestonAnthony HopkinsIdris ElbaStellan SkarsgardChristopher EcclestonKat DenningsRay StevensonZachary LeviJaimie AlexanderChris O'DowdRene RussoChris Evans*,3841,7.1
94,94,Kung Fu Panda,P/DW,631.7,215.4,416.3,2008,"June 6, 2008",Animation, 1 hrs. 31 min.,PG,130 ,631744560,,,,,7.6
95,95,The Incredibles,BV,631.4,261.4,370.0,2004,"November 5, 2004",Animation, 1 hrs. 55 min.,PG,92 ,70467623,161 days / 23 weeks,Brad Bird,Craig T. Nelson (Voice)Holly Hunter (Voice)Samuel L. Jackson (Voice)Brad Bird* (Voice),3933,8.0
96,96,Fast Five,Uni.,626.1,209.8,416.3,2011,"April 29, 2011",Action, 2 hrs. 10 min.,PG-13,125 ,86198765,105 days / 15 weeks,Justin Lin,Vin DieselPaul WalkerDwayne JohnsonJordana BrewsterChris 'Ludacris' BridgesTyrese Gibson,3793,7.3
97,97,Hancock,Sony,624.4,227.9,396.4,2008,"July 2, 2008",Fantasy Drama, 1 hrs. 32 min.,PG-13,150 ,62603879,72 days / 10.3 weeks,Peter Berg,Ian Bryce (executive)Akiva GoldsmanJames LassiterWill Smith,3965,6.4
98,98,MIB 3,Sony,624.0,179,445.0,2012,"May 25, 2012",Sci-Fi Comedy, 1 hrs. 46 min.,PG-13,108 ,624030738,,,,,6.8
99,99,Iron Man 2,Par.,623.9,312.4,311.5,2010,"May 7, 2010",Action / Adventure, 2 hrs. 5 min.,PG-13,225 ,54592779,108 days / 15.4 weeks,Barry Sonnenfeld,Will SmithJosh BrolinTommy Lee JonesAlice EveEmma ThompsonMichael StuhlbargJemaine ClementBill Hader*,4248,7.0
100,100,Ratatouille,BV,623.7,206.4,417.3,2007,"June 29, 2007",Animation, 1 hrs. 51 min.,PG-13,200 ,128122480,Jon Favreau,"Robert Downey, Jr.Don CheadleScarlett JohanssonGwyneth PaltrowSam RockwellMickey RourkeSamuel L. JacksonClark GreggJohn SlatteryGarry ShandlingPaul Bettany* (Voice)Kate Mara*Jon Favreau*",John Debney,4390,8.0
101,101,How to Train Your Dragon 2,Fox,621.5,177,444.5,2014,"June 13, 2014",Animation, 1 hrs. 45 min.,G,150 ,47027395,168 days / 24 weeks,Brad Bird,Patton Oswalt (Voice)Ian Holm* (Voice)Brian Dennehy* (Voice)Peter Sohn* (Voice)Peter O'Toole (Voice)Brad Garrett* (Voice)Will Arnett* (Voice)Janeane Garofalo* (Voice)James Remar* (Voice)John Ratzenberger* (Voice)Brad Bird* (Voice),3940,7.9
102,102,The Martian,Fox,619.7,228.3,391.4,2015,"October 2, 2015",Sci-Fi, 2 hrs. 21 min.,PG,145 ,49451322,182 days / 26 weeks,Dean DeBlois,Jay Baruchel (Voice)Gerard Butler (Voice)Craig Ferguson (Voice)America Ferrera (Voice)Jonah Hill (Voice)Christopher Mintz-Plasse (Voice)TJ Miller (Voice)Kristen Wiig (Voice)Kit Harington (Voice)Cate Blanchett (Voice)Djimon Hounsou (Voice),4268,8.1
103,103,The Lost World: Jurassic Park,Uni.,618.6,229.1,389.6,1997,"May 23, 1997",Sci-Fi Horror, 2 hrs. 9 min.,PG-13,73 ,72132785,Steven Spielberg,David Koepp,Kathleen Kennedy (executive)Gerald R. MolenColin Wilson,3565,6.5
104,104,The Passion of the Christ,NM,611.9,370.8,241.1,2004^,"February 25, 2004",Historical Drama, 2 hrs. 6 min.,R,30 ,83848082,156 days / 22.3 weeks,Mel Gibson,John Debney,3408,7.1
105,105,Mamma Mia!,Uni.,609.8,144.1,465.7,2008,"July 18, 2008",Musical, 1 hrs. 48 min.,PG-13,52 ,27751240,,,,,6.3
106,106,Life of Pi,Fox,609.0,125,484.0,2012,"November 21, 2012",Adventure, 2 hrs. 6 min.,R,58 ,132434639,Tim Miller,Rhett ReesePaul Wernick,Lauren Schuler DonnerSimon KinbergRyan Reynolds,3856,8.0
107,107,Madagascar: Escape 2 Africa,P/DW,603.9,180,423.9,2008,"November 7, 2008",Animation, 1 hrs. 29 min.,PG,120 ,22451514,247 days / 35.3 weeks,Ang Lee,Suraj SharmaIrrfan Khan,2946,6.7
108,108,Casino Royale,Sony,599.0,167.4,431.6,2006,"November 17, 2006",Action, 2 hrs. 24 min.,PG,150 ,63106589,112 days / 16 weeks,Eric DarnellTom McGrath,Ben Stiller (Voice)Chris Rock (Voice)David Schwimmer (Voice)Jada Pinkett-Smith (Voice)Sacha Baron Cohen (Voice)Cedric the Entertainer (Voice)Andy Richter (Voice)Bernie Mac (Voice)Alec Baldwin (Voice)Tom McGrath* (Voice)Zachary Gordon* (Voice),4065,8.0
109,109,Tangled,BV,591.8,200.8,391.0,2010,"November 24, 2010",Animation, 1 hrs. 40 min.,PG-13,150 ,40833156,122 days / 17.4 weeks,Martin Campbell,Daniel CraigJudi DenchEva GreenJeffrey WrightMads MikkelsenCaterina Murino,3443,7.8
110,110,War of the Worlds,Par.,591.7,234.3,357.5,2005,"June 29, 2005",Sci-Fi Horror, 1 hrs. 57 min.,PG,260 ,48767052,191 days / 27.3 weeks,Nathan GrenoByron Howard,Mandy Moore (Voice)Zachary Levi (Voice)Donna Murphy (Voice)Ron Perlman (Voice)Jeffrey Tambor (Voice)Brad Garrett (Voice),3603,6.5
111,111,Men in Black,Sony,589.4,250.7,338.7,1997,"July 2, 1997",Sci-Fi Comedy, 1 hrs. 37 min.,PG-13,132 ,64878725,149 days / 21.3 weeks,Steven Spielberg,Amy Ryan*Tom CruiseDakota FanningTim Robbins,3910,7.3
112,112,The Croods,Fox,587.2,187.2,400.0,2013,"March 22, 2013",Animation, 1 hrs. 38 min.,PG-13,90 ,51068455,Ed Solomon,Tommy Lee JonesWill Smith,Danny Elfman,3180,7.3
113,113,The Hangover Part II,WB,586.8,254.5,332.3,2011,"May 26, 2011",Comedy, 1 hrs. 42 min.,PG,135 ,43639736,182 days / 26 weeks,Kirk De MiccoChris Sanders,Nicolas Cage (Voice)Emma Stone (Voice)Ryan Reynolds (Voice)Catherine Keener (Voice)Cloris Leachman (Voice)Clark Duke (Voice),4065,6.5
114,114,Quantum of Solace,Sony,586.1,168.4,417.7,2008,"November 14, 2008",Action, 1 hrs. 46 min.,R,80 ,85946294,113 days / 16.1 weeks,Todd Phillips,Bradley CooperEd HelmsZach GalifianakisJustin BarthaKen JeongPaul GiamattiMike TysonJeffrey TamborJamie Chung,3675,6.7
115,115,I Am Legend,WB,585.3,256.4,329.0,2007,"December 14, 2007",Sci-Fi Horror, 1 hrs. 40 min.,PG-13,200 ,67528882,77 days / 11 weeks,Marc Forster,Mathieu AmalricDaniel CraigOlga KurylenkoJudi DenchGemma ArtertonJeffrey Wright,3501,7.2
116,116,Iron Man,Par.,585.2,318.4,266.8,2008,"May 2, 2008",Action / Adventure, 2 hrs. 6 min.,PG-13,150 ,77211321,119 days / 17 weeks,Francis Lawrence,Will Smith,3648,7.9
117,117,Night at the Museum,Fox,574.5,250.9,323.6,2006,"December 22, 2006",Family Adventure, 1 hrs. 48 min.,PG-13,140 ,98618668,Jon Favreau,Mark FergusHawk Ostby,Avi AradPeter Billingsley (executive)Louis D'Esposito (executive)Jon Favreau (executive)Kevin FeigeStan Lee (executive)David Maisel (executive),4154,6.4
118,118,Fifty Shades of Grey,Uni.,571.0,166.2,404.8,2015,"February 13, 2015",Romance, 2 hrs. 5 min.,PG,,574480841,,,,,4.1
119,119,The Smurfs,Sony,563.7,142.6,421.1,2011,"July 29, 2011",Family Comedy, 1 hrs. 26 min.,R,40 ,85171450,84 days / 12 weeks,Sam Taylor-Johnson,Dakota JohnsonJamie DornanJennifer EhleMarcia Gay Harden,3655,5.5
120,120,Monsters Inc.,BV,562.8,289.9,272.9,2001^,"November 2, 2001",Animation, 1 hrs. 30 min.,PG,110 ,35611637,140 days / 20 weeks,Raja Gosnell,Neil Patrick HarrisJayma MaysHank AzariaKaty Perry (Voice)Alan Cumming (Voice)George Lopez (Voice)Paul Reubens (Voice)Anton Yelchin (Voice),3427,8.1
121,121,Cars 2,BV,559.9,191.5,368.4,2011,"June 24, 2011",Animation, 1 hrs. 53 min.,G,115 ,62577067,329 days / 47 weeks,Pete DocterDavid Silverman (co-director)Lee Unkrich,Billy Crystal (Voice)John Goodman (Voice)Bonnie Hunt* (Voice),3649,6.3
122,122,Puss in Boots,P/DW,555.0,149.3,405.7,2011,"October 28, 2011",Animation, 1 hrs. 30 min.,G,200 ,66135507,175 days / 25 weeks,John LasseterBrad Lewis (co-director),Owen Wilson (Voice)Larry the Cable Guy (Voice)Michael Caine (Voice)Emily Mortimer (Voice)Bonnie Hunt (Voice)Tony Shalhoub (Voice)Cheech Marin (Voice)Jason Isaacs* (Voice)Joe Mantegna* (Voice),4115,6.7
123,123,Armageddon,BV,553.7,201.6,352.1,1998,"July 1, 1998",Sci-Fi Action, 2 hrs. 24 min.,PG,130 ,34077439,126 days / 18 weeks,Chris Miller,Antonio Banderas (Voice)Salma Hayek (Voice)Zach Galifianakis (Voice)Billy Bob Thornton (Voice)Amy Sedaris (Voice),3963,6.6
124,124,King Kong,Uni.,550.5,218.1,332.4,2005,"February 12, 2016",Action, 1 hrs. 46 min.,PG-13,140 ,36089972,J.J. AbramsTony Gilroy* (adaptation)Jonathan Hensleigh,Bruce WillisBen AffleckLiv TylerBilly Bob ThorntonWill PattonSteve BuscemiMichael Clarke DuncanWilliam FichtnerPeter StormareOwen Wilson*,Trevor Rabin,3184,7.2
125,125,Ted,Uni.,549.4,218.8,330.6,2012,"December 14, 2005",Period Adventure, 3 hrs. 7 min.,PG-13,207 ,50130145,114 days / 16.3 weeks,Peter Jackson,Naomi WattsJack BlackAdrien BrodyColin HanksAndy SerkisJamie BellKyle Chandler,3627,7.0
126,126,American Sniper,WB,547.4,350.1,197.3,2014,"June 29, 2012",Comedy, 1 hrs. 46 min.,R,50 ,54415205,Seth MacFarlane,Seth MacFarlaneAlec SulkinWellesley Wild,Jason ClarkJohn JacobsSeth MacFarlaneScott StuberWellesley Wild,3303,7.3
127,127,Mission: Impossible II,Par.,546.4,215.4,331.0,2000,"December 25, 2014",Drama, 2 hrs. 12 min.,R,58.8 ,"December 25 2014 (limited)
 January 16 2015 (wide)",,,,,6.1
128,128,Sherlock Holmes: A Game of Shadows,WB,545.4,186.8,358.6,2011,"May 24, 2000",Action, 2 hrs. 3 min.,PG-13,125 ,57845297,149 days / 21.3 weeks,John Woo,Tom CruisePaula Wagner,3669,7.5
129,129,The Day After Tomorrow,Fox,544.3,186.7,357.5,2004,"December 16, 2011",Adventure, 2 hrs. 8 min.,PG-13,,39637079,112 days / 16 weeks,Guy Ritchie,Robert Downey Jr.Jude LawNoomi RapaceJared HarrisStephen FryRachel McAdamsEddie Marsan*,3703,6.4
130,130,Despicable Me,Uni.,543.1,251.5,291.6,2010,"May 28, 2004",Action Drama, 2 hrs. 4 min.,PG-13,125 ,68743584,161 days / 23 weeks,Roland Emmerich,Mark Gordon,3444,7.7
131,131,Cinderella (2015),BV,542.7,201.2,341.5,2015,"July 9, 2010",Animation, 1 hrs. 35 min.,PG,69 ,543113985,,,,,7.0
132,132,World War Z,Par.,540.0,202.4,337.6,2013,"March 13, 2015",Fantasy, 1 hrs. 52 min.,PG,95 ,67877361,189 days / 27 weeks,Kenneth Branagh,Lily JamesRichard MaddenCate BlanchettHelena Bonham CarterStellan SkarsgardHayley Atwell,3848,7.0
133,133,Brave,BV,539.0,237.3,301.7,2012,"June 21, 2013",Action Horror, 1 hrs. 56 min.,PG-13,190 ,66411834,112 days / 16 weeks,Marc Forster,Brad PittMireille EnosDavid Morse,3607,7.2
134,134,The Empire Strikes Back,Fox,538.4,290.5,247.9,1980^,"June 22, 2012",Animation, 1 hrs. 40 min.,PG,185 ,66323594,210 days / 30 weeks,Mark AndrewsBrenda Chapman,Kelly Macdonald (Voice)Billy Connolly (Voice)Emma Thompson (Voice)Julie Walters (Voice)Robbie Coltrane (Voice)Craig Ferguson (Voice),4164,8.8
135,135,Madagascar,DW,532.7,193.6,339.1,2005,"May 21, 1980",Sci-Fi Fantasy, 2 hrs. 9 min.,PG,18 ,"May 21 1980 (limited)
 June 20 1980 (wide)",,,,,6.9
136,136,Deadpool,Fox,529.6,263.1,266.5,2016,"May 27, 2005",Animation, 1 hrs. 26 min.,PG,,47224594,Eric DarnellTom McGrath,Eric DarnellTom McGrath,Mireille Soria,4142,8.5
137,137,Godzilla (2014),WB,529.1,200.7,328.4,2014,"May 16, 2014",Sci-Fi Action, 2 hrs. 3 min.,PG-13,160 ,93188384,105 days / 15 weeks,Gareth Edwards,Aaron JohnsonKen WatanabeElizabeth OlsenJuliette BinocheSally HawkinsDavid StrathairnBryan Cranston,3952,6.0
138,138,The Simpsons Movie,Fox,527.1,183.1,343.9,2007,"July 27, 2007",Animation, 1 hrs. 27 min.,PG-13,75 ,74036787,147 days / 21 weeks,David Silverman,James L. BrooksMatt GroeningRichard Sakai,3926,7.4
139,139,Sherlock Holmes,WB,524.0,209,315.0,2009,"December 25, 2009",Adventure, 2 hrs. 14 min.,PG-13,90 ,62304277,126 days / 18 weeks,Guy Ritchie,Robert Downey Jr.Jude LawRachel McAdamsMark StrongEddie Marsan,3626,7.6
140,140,WALL-E,BV,521.3,223.8,297.5,2008,"June 27, 2008",Animation, 1 hrs. 37 min.,G,180 ,63087526,196 days / 28 weeks,Andrew Stanton,Fred Willard* (Voice)Jeff Garlin* (Voice)Sigourney Weaver* (Voice),3992,8.4
141,141,Terminator 2: Judgment Day,TriS,519.8,204.8,315.0,1991,"July 3, 1991",Sci-Fi Action, 2 hrs. 17 min.,R,102 ,31765506,,,,,8.5
142,142,Ant-Man,BV,519.3,180.2,339.0,2015,"July 17, 2015",Action / Adventure, 1 hrs. 57 min.,PG-13,130 ,519250779,,,,,7.4
143,143,Meet the Fockers,Uni.,516.6,279.3,237.4,2004,"December 22, 2004",Comedy, 1 hrs. 54 min.,PG-13,80 ,46120980,149 days / 21.3 weeks,Jay Roach,Randy Newman,3554,6.3
144,144,Ghost,Par.,505.7,217.6,288.1,1990,"July 13, 1990",Romance, 2 hrs. 8 min.,PG-13,22 ,12191540,,,,,7.0
145,145,Aladdin,BV,504.1,217.4,286.7,1992,"November 13, 1992",Animation, 1 hrs. 30 min.,G,28 ,504050219,,,,,8.0
146,146,Rio 2,Fox,500.1,131.5,368.6,2014,"April 11, 2014",Animation, 1 hrs. 41 min.,G,103 ,39327869,147 days / 21 weeks,Carlos Saldanha,Anne Hathaway (Voice)Jesse Eisenberg (Voice)Leslie Mann (Voice)Jemaine Clement (Voice)Jamie Foxx (Voice)Tracy Morgan (Voice)Kristin Chenoweth (Voice)Rodrigo Santoro (Voice)George Lopez (Voice)Bruno Mars (Voice)Janelle Monae (Voice),3975,6.4
147,147,Troy,WB,497.4,133.4,364.0,2004,"May 14, 2004",Historical Epic, 2 hrs. 43 min.,R,175 ,46865412,112 days / 16 weeks,Wolfgang Petersen,Brad PittEric BanaOrlando BloomBrian CoxSean BeanPeter O'TooleDiane KrugerBrendan GleesonRose ByrneGarrett Hedlund*,3411,7.2
148,148,How to Train Your Dragon,P/DW,494.9,217.6,277.3,2010,"March 26, 2010",Animation, 1 hrs. 38 min.,PG,165 ,43732319,119 days / 17 weeks,Dean DeBloisChris Sanders,Jay Baruchel (Voice)Gerard Butler (Voice)America Ferrera (Voice)Jonah Hill (Voice)TJ Miller (Voice)Kristen Wiig (Voice)Christopher Mintz-Plasse (Voice),4060,8.2
149,149,Twister,WB,494.5,241.7,252.8,1996,"May 10, 1996",Action Drama, 1 hrs. 53 min.,PG-13,92 ,41059405,,,,,6.3
150,150,Teenage Mutant Ninja Turtles (2014),Par.,493.3,191.2,302.1,2014,"August 8, 2014",Action / Adventure, 1 hrs. 41 min.,PG-13,125 ,65575105,105 days / 15 weeks,Jonathan Liebesman,Megan FoxWill ArnettWilliam FichtnerJohnny Knoxville (Voice)Whoopi Goldberg,3980,6.3
151,151,Oz The Great and Powerful,BV,493.3,234.9,258.4,2013,"March 8, 2013",Adventure, 2 hrs. 7 min.,PG,215 ,79110453,133 days / 19 weeks,Sam Raimi,Tony CoxJames FrancoMila KunisMichelle WilliamsRachel WeiszZach Braff (Voice)Joey King (Voice),3912,6.4
152,152,Clash of the Titans (2010),WB,493.2,163.2,330.0,2010,"April 2, 2010",Fantasy, 1 hrs. 58 min.,PG-13,125 ,61235105,112 days / 16 weeks,Louis Leterrier,Sam WorthingtonLiam NeesonRalph FiennesGemma ArtertonMads MikkelsenAlexa DavalosNicholas Hoult*,3802,5.8
153,153,Angels & Demons,Sony,485.9,133.4,352.6,2009,"May 15, 2009",Thriller, 2 hrs. 20 min.,PG-13,150 ,46204168,84 days / 12 weeks,Ron Howard,Tom HanksEwan McGregorStellan SkarsgardAyelet Zurer,3527,6.7
154,154,Toy Story 2,BV,485.0,245.9,239.2,1999^,"November 19, 1999",Animation, 1 hrs. 32 min.,G,90 ,"November 19 1999 (limited)
 November 24 1999 (wide)",,,,,7.9
155,155,Rio,Fox,484.6,143.6,341.0,2011,"April 15, 2011",Animation, 1 hrs. 36 min.,G,90 ,39225962,147 days / 21 weeks,Carlos Saldanha,Anne Hathaway (Voice)Jesse Eisenberg (Voice)Leslie Mann (Voice)Jamie Foxx (Voice)Rodrigo Santoro* (Voice)Jemaine Clement* (Voice)George Lopez* (Voice)Tracy Morgan* (Voice)Wanda Sykes* (Voice),3842,7.0
156,156,Bruce Almighty,Uni.,484.6,242.8,241.8,2003,"May 23, 2003",Fantasy Comedy, 1 hrs. 41 min.,PG-13,81 ,67953330,189 days / 27 weeks,Tom Shadyac,Jim CarreyMorgan FreemanJennifer AnistonSteve Carell,3549,6.7
157,157,Shrek,DW,484.4,267.7,216.7,2001,"May 16, 2001",Animation, 1 hrs. 30 min.,PG,60 ,42347760,205 days / 29.3 weeks,Andrew Adamson,Mike Myers (Voice)Cameron Diaz (Voice)Eddie Murphy (Voice),3715,7.9
158,158,Saving Private Ryan,DW,481.8,216.5,265.3,1998,"July 24, 1998",War, 2 hrs. 50 min.,R,70 ,30576104,,,,,8.6
159,159,Rise of the Planet of the Apes,Fox,481.8,176.8,305.0,2011,"August 5, 2011",Sci-Fi Action, 1 hrs. 50 min.,PG-13,93 ,54806191,Rupert Wyatt,Rick JaffaAmanda Silver,Peter CherninDylan ClarkThomas M. Hammel (executive)Rick JaffaAmanda Silver,3691,7.6
160,160,Mr. & Mrs. Smith,Fox,478.2,186.3,291.9,2005,"June 10, 2005",Action Comedy, 1 hrs. 55 min.,PG-13,110 ,50342878,189 days / 27 weeks,Doug Liman,Brad PittAngelina JolieVince VaughnAdam BrodyKerry WashingtonKeith DavidMichelle Monaghan*,3451,6.5
161,161,Home Alone,Fox,476.7,285.8,190.9,1990,"November 16, 1990",Family Comedy, 1 hrs. 45 min.,PG,18 ,17081997,John Hughes,Macaulay Culkin,John Williams,2173,7.5
162,162,Return of the Jedi,Fox,475.1,309.3,165.8,1983^,"May 25, 1983",Sci-Fi Fantasy, 2 hrs. 14 min.,PG,32.5 ,23019618,,,,,8.4
163,163,Charlie and the Chocolate Factory,WB,475.0,206.5,268.5,2005,"July 15, 2005",Family Adventure, 1 hrs. 46 min.,PG,150 ,474968763,,,,,6.7
164,164,Indiana Jones and the Last Crusade,Par.,474.2,197.2,277.0,1989,"May 24, 1989",Period Adventure, 2 hrs. 7 min.,PG-13,48 ,29355021,George Lucas (story),Sean ConneryHarrison Ford,John Williams,2327,8.3
165,165,San Andreas,WB,473.8,155.2,318.6,2015,"May 29, 2015",Action, 1 hrs. 54 min.,PG-13,110 ,473790832,,,,,6.1
166,166,Wreck-It Ralph,BV,471.2,189.4,281.8,2012,"November 2, 2012",Animation, 1 hrs. 48 min.,PG,165 ,49038712,182 days / 26 weeks,Rich Moore,John C. Reilly (Voice)Jack McBrayer (Voice)Sarah Silverman (Voice)Jane Lynch (Voice)Alan Tudyk* (Voice)Mindy Kaling* (Voice),3752,7.8
167,167,Jaws,Uni.,470.7,260,210.7,1975,"June 20, 1975",Horror Thriller, 2 hrs. 5 min.,PG,7 ,"June 20 1975 (limited)
 July 25 1975 (wide)",,,,,8.1
168,168,The LEGO Movie,WB,469.2,257.8,211.4,2014,"February 7, 2014",Animation, 1 hrs. 40 min.,PG,60 ,469160692,,,,,7.8
169,169,Hotel Transylvania 2,Sony,469.0,169.7,299.4,2015,"September 25, 2015",Animation, 1 hrs. 29 min.,PG,80 ,469034909,,,,,6.8
170,170,The Hangover,WB,467.5,277.3,190.2,2009,"June 5, 2009",Comedy, 1 hrs. 36 min.,R,35 ,44979319,196 days / 28 weeks,Todd Phillips,Bradley CooperEd HelmsZach GalifianakisJustin BarthaHeather GrahamJeffrey TamborKen JeongRachael HarrisRob Riggle*,3545,7.8
171,171,Star Trek Into Darkness,Par.,467.4,228.8,238.6,2013,"May 16, 2013",Sci-Fi Adventure, 2 hrs. 3 min.,PG-13,190 ,70165559,120 days / 17.1 weeks,J.J. Abrams,Leonard Nimoy*Chris PineZachary QuintoZoe SaldanaKarl UrbanSimon PeggJohn ChoAnton YelchinBruce GreenwoodBenedict CumberbatchAlice EvePeter Weller,3907,7.8
172,172,The Matrix,WB,463.5,171.5,292.0,1999,"March 31, 1999",Sci-Fi Action, 2 hrs. 16 min.,R,63 ,27788331,Andy & Lana Wachowski,Keanu ReevesCarrie-Anne MossLaurence FishburneHugo Weaving,Bill Pope,2903,8.7
173,173,Pretty Woman,BV,463.4,178.4,285.0,1990,"March 23, 1990",Romantic Comedy, 1 hrs. 59 min.,R,14 ,11280591,J.F. Lawton,Richard GereJulia Roberts,Charles Minsky,1811,6.9
174,174,Lucy,Uni.,463.4,126.7,336.7,2014,"July 25, 2014",Sci-Fi Action, 1 hrs. 30 min.,R,40 ,43899340,Luc Besson,Luc Besson,Virginie Silla,3202,6.4
175,175,Cars,BV,462.0,244.1,217.9,2006,"June 9, 2006",Animation, 1 hrs. 56 min.,G,120 ,60119509,133 days / 19 weeks,John Lasseter,Owen Wilson (Voice)Paul Newman (Voice)Bonnie Hunt (Voice)Larry the Cable Guy (Voice)Michael Keaton* (Voice),3988,7.2
176,176,X-Men: The Last Stand,Fox,459.4,234.4,225.0,2006,"May 26, 2006",Action / Adventure, 1 hrs. 44 min.,PG-13,210 ,102750665,126 days / 18 weeks,Brett Ratner,Hugh JackmanHalle BerryIan McKellenFamke JanssenAnna PaquinKelsey GrammerRebecca RomijnJames MarsdenBen Foster*Patrick StewartEllen Page*,3714,6.8
177,177,Mission: Impossible,Par.,457.7,181,276.7,1996,"May 22, 1996",Action, 1 hrs. 50 min.,PG-13,80 ,45436830,212 days / 30.3 weeks,Brian De Palma,Tom CruiseJon Voight,3012,7.1
178,178,Gladiator,DW,457.6,187.7,269.9,2000,"May 5, 2000",Historical Epic, 2 hrs. 35 min.,R,103 ,34819017,371 days / 53 weeks,Ridley Scott,Russell CroweJoaquin Phoenix,3188,8.5
179,179,National Treasure: Book of Secrets,BV,457.4,220,237.4,2007,"December 21, 2007",Adventure, 2 hrs. 4 min.,PG,,44783772,182 days / 26 weeks,Jon Turteltaub,Nicolas CageJustin BarthaDiane KrugerJon VoightHelen MirrenEd HarrisHarvey KeitelBruce GreenwoodTy Burrell*,3832,6.5
180,180,The Last Samurai,WB,456.8,111.1,345.6,2003,"December 5, 2003",War, 2 hrs. 34 min.,R,140 ,24271354,126 days / 18 weeks,Edward Zwick,Tom CruiseKen Watanabe,2938,7.7
181,181,,WB,456.1,210.6,245.5,2007,"March 9, 2007",Period Action, 1 hrs. 57 min.,R,65 ,456068181,,,,,7.7
182,182,Ocean's Eleven,WB,450.7,183.4,267.3,2001,"December 7, 2001",Crime Comedy, 1 hrs. 56 min.,PG-13,85 ,38107822,,,,,7.8
183,183,Thor,Par.,449.3,181,268.3,2011,"May 6, 2011",Action / Adventure, 1 hrs. 55 min.,PG-13,150 ,65723338,112 days / 16 weeks,Kenneth Branagh,Chris HemsworthNatalie PortmanKat DenningsAnthony HopkinsRay StevensonIdris ElbaStellan SkarsgardRene RussoColm FeoreClark GreggTom HiddlestonSamuel L. Jackson* (Cameo)Jeremy Renner* (Cameo),3963,7.0
184,184,Pearl Harbor,BV,449.2,198.5,250.7,2001,"May 25, 2001",War, 3 hrs. 3 min.,PG-13,140 ,59078912,Randall Wallace,"Ewen BremnerBen AffleckJosh HartnettKate BeckinsaleCuba Gooding, Jr.Jon VoightAlec BaldwinTom SizemoreJennifer Garner*",Klaus Badelt* (Additional music)Hans Zimmer,3255,6.0
185,185,Tarzan,BV,448.2,171.1,277.1,1999,"June 16, 1999",Animation, 1 hrs. 28 min.,G,130 ,34221968,,,,,7.2
186,186,Alvin and the Chipmunks: The Squeakquel,Fox,443.1,219.6,223.5,2009,"December 23, 2009",Family Comedy, 1 hrs. 28 min.,PG,75 ,48875415,149 days / 21.3 weeks,Betty Thomas,Christina Applegate (Voice)David CrossAnna Faris (Voice)Jason LeeZachary LeviJustin Long (Voice)Amy Poehler (Voice),3747,4.5
187,187,The Bourne Ultimatum,Uni.,442.8,227.5,215.4,2007,"August 3, 2007",Action Thriller, 1 hrs. 51 min.,PG-13,110 ,69283690,119 days / 17 weeks,Paul Greengrass,Matt DamonJulia StilesDavid StrathairnScott GlennPaddy Considine*Albert FinneyJoan Allen,3701,8.1
188,188,Men in Black II,Sony,441.8,190.4,251.4,2002,"July 3, 2002",Sci-Fi Comedy, 1 hrs. 28 min.,PG-13,140 ,52148751,62 days / 8.9 weeks,Barry Sonnenfeld,Steven Spielberg (executive),3641,6.1
189,189,Les Miserables (2012),Uni.,441.8,148.8,293.0,2012,"December 25, 2012",Musical, 2 hrs. 37 min.,PG-13,61 ,27281735,101 days / 14.4 weeks,Tom Hooper,Hugh JackmanRussell CroweAnne HathawayAmanda SeyfriedSacha Baron CohenHelena Bonham CarterEddie Redmayne,2927,7.6
190,190,The Exorcist,WB,441.3,232.9,208.4,1973^,"December 26, 1973",Horror, 2 hrs. 2 min.,R,,,,,,,8.0
191,191,Mrs. Doubtfire,Fox,441.3,219.2,222.1,1993,"November 24, 1993",Family Comedy, 2 hrs. 5 min.,PG-13,25 ,20468847,,,,,6.9
192,192,Terminator: Genisys,Par.,440.6,89.8,350.8,2015,"July 1, 2015",Action, 2 hrs. 6 min.,PG-13,155 ,27018486,79 days / 11.3 weeks,Alan Taylor,Arnold SchwarzeneggerJason ClarkeEmilia ClarkeJai CourtneyJ.K. Simmons,3783,6.6
193,193,Terminator 3: Rise of the Machines,WB,433.4,150.4,283.0,2003,"July 2, 2003",Sci-Fi Action, 1 hrs. 49 min.,R,200 ,44041440,121 days / 17.3 weeks,Arnold SchwarzeneggerNick StahlClaire DanesKristanna Loken,Don Burgess (director of photography),3504,6.4
194,194,The Mummy Returns,Uni.,433.0,202,231.0,2001,"May 4, 2001",Period Adventure, 2 hrs. 10 min.,PG-13,98 ,68139035,Stephen Sommers,Stephen Sommers,Alan Silvestri,3553,6.3
195,195,Die Another Day,MGM,432.0,160.9,271.0,2002,"November 22, 2002",Action, 2 hrs. 3 min.,PG-13,142 ,47072040,Lee Tamahori,Neal PurvisRobert Wade,Barbara BroccoliMichael G. Wilson,3377,6.1
196,196,Cast Away,Fox,429.6,233.6,196.0,2000,"December 22, 2000",Drama, 2 hrs. 23 min.,PG-13,90 ,28883406,Tom HanksHelen Hunt,Tom Hanks,Alan Silvestri,3061,7.7
