Number,Rank,Title,Studio,Worldwide,Domestic ,Overseas ,Year,release_date,genre,runtime,mpaa,budget,opening_weekend,duration,director,actors,theater,rating
50,50,Spider-Man,Sony,821.7,403.7,418.0,2002,"May 3, 2002",Action / Adventure, 2 hrs. 1 min.,PG-13,139 ,114844116,108 days / 15.4 weeks,Sam Raimi,Tobey MaguireWillem DafoeKirsten DunstJames FrancoElizabeth Banks*,3876,7.3
51,51,Independence Day,Fox,817.4,306.2,511.2,1996^,"July 3, 1996",Sci-Fi Action, 2 hrs. 33 min.,PG-13,75 ,50228264,Roland Emmerich,Dean Devlin,Dean Devlin,2977,6.9
52,52,Shrek the Third,P/DW,799.0,322.7,476.2,2007,"May 18, 2007",Animation, 1 hrs. 32 min.,PG,160 ,121629270,Chris Miller,Chris Miller,Harry Gregson-Williams,4172,6.1
53,53,Harry Potter and the Prisoner of Azkaban,WB,796.7,249.5,547.1,2004,"June 4, 2004",Fantasy, 2 hrs. 22 min.,PG,130 ,93687367,178 days / 25.4 weeks,Alfonso Cuaron,Warwick DavisDaniel RadcliffeEmma WatsonRupert GrintAlan Rickman*Gary OldmanEmma Thompson*,3855,7.8
54,54,E.T.: The Extra-Terrestrial,Uni.,792.9,435.1,357.8,1982^,"June 11, 1982",Family Adventure, 1 hrs. 57 min.,PG,10.5 ,792910554,,,,,7.8
55,55,Fast & Furious 6,Uni.,788.7,238.7,550.0,2013,"May 24, 2013",Action, 2 hrs. 10 min.,PG-13,160 ,97375245,105 days / 15 weeks,Justin Lin,Vin DieselPaul WalkerDwayne JohnsonMichelle RodriguezTyrese GibsonChris 'Ludacris' BridgesJordana BrewsterLuke EvansGina Carano,3771,7.2
56,56,Indiana Jones and the Kingdom of the Crystal Skull,Par.,786.6,317.1,469.5,2008,"May 22, 2008",Period Adventure, 2 hrs. 0 min.,PG-13,185 ,100137835,Steven Spielberg,David KoeppGeorge Lucas (story)Jeff Nathanson (story),George Lucas (Executive)Frank Marshall,4264,6.2
57,57,Spider-Man 2,Sony,783.8,373.6,410.2,2004,"June 30, 2004",Action / Adventure, 2 hrs. 7 min.,PG-13,200 ,88156227,159 days / 22.7 weeks,Sam Raimi,Tobey MaguireKirsten DunstJames FrancoAlfred MolinaJ.K. SimmonsElizabeth Banks*Willem Dafoe* (Cameo),4166,7.3
58,58,Star Wars,Fox,775.4,461,314.4,1977^,"May 25, 1977",Sci-Fi Fantasy, 2 hrs. 1 min.,PG,11 ,775398007,,,,,8.7
59,59,Guardians of the Galaxy,BV,773.3,333.2,440.1,2014,"August 1, 2014",Action / Adventure, 2 hrs. 1 min.,PG-13,170 ,94320883,175 days / 25 weeks,James Gunn,Chris PrattZoe SaldanaDave BautistaVin Diesel (Voice)Bradley Cooper (Voice)Lee PaceKaren GillanDjimon HounsouJohn C. ReillyGlenn CloseBenicio Del ToroJosh Brolin*,4088,8.1
60,60,,Sony,769.7,166.1,603.6,2009,"November 13, 2009",Action Drama, 2 hrs. 38 min.,PG-13,200 ,65237614,101 days / 14.4 weeks,Roland Emmerich,Larry J. FrancoMark GordonHarald Kloser,3444,5.8
61,61,Maleficent,BV,758.5,241.4,517.1,2014,"May 30, 2014",Fantasy, 1 hrs. 37 min.,PG,180 ,69431298,189 days / 27 weeks,Robert Stromberg,Angelina JolieSharlto CopleyElle FanningSam RileyImelda StauntonJuno TempleLesley ManvilleBrenton ThwaitesMiranda Richardson,3948,7.0
