"number" "rank" "title" "studio" "worldwide" "domestic" "overseas" "release_date" "release_year" "genre" "mpaa" "theater" "rating" "genre1" "genre2" "ow" "runt" "weeks" "director1" "director2" "star1" "star2" "budget" "per" "title1" "sh" "shb" "series" "rn" "to_rating" "bb" "price" "adjusted" "adow" "adbudget" "dir_win" "dir_nomi" "st1_win" "st2_win" "st1_nomi" "st2_nomi"
"143" 143 143 "Meet the Fockers" "Uni." 516.6 279.3 237.4 "December 22" 2004 "Comedy" "PG-13" 3554 6.3 "Comedy" "" 46.1 114 21.3 "Jay Roach" "" "Robert De Niro" "Ben Stiller" 80 "hs" "meetthefockers" 0 0 0 NA NA 3.49 "6.21" 391.29 64.58 112.08 9 5 48 13 82 52
"144" 144 144 "Ghost" "Par." 505.7 217.6 288.1 "July 13" 1990 "Romance" "PG-13" NA 7 "Romance" "" NA 128 NA "Jerry Zucker" "" "Patrick Swayze" "Demi Moore" 22 "ss" "ghost" 0 0 0 66 62 9.89 "4.23" 447.55 NA 45.25 6 6 5 12 7 28
"145" 145 145 "Aladdin" "BV" 504.1 217.4 286.7 "November 13" 1992 "Animation" "G" NA 8 "Animation" "" NA 90 NA "Ron Clements" "John Musker" "Scott Weinger" "Robin Williams" 28 "ns" "aladdin" 0 0 0 68 83 7.76 "4.15" 455.75 NA 58.7 7 8 1 63 2 80
"146" 146 146 "Rio 2" "Fox" 500.1 131.5 368.6 "April 11" 2014 "Animation" "G" 3975 6.4 "Animation" "" 39.3 101 21 "Carlos Saldanha" "" "Jake T. Austin" "Carlinhos Brown" 103 "ns" "rio2" 0 0 1 NA NA 1.28 "8.17" 140.03 41.85 109.68 2 12 1 2 15 6
"147" 147 147 "Troy" "WB" 497.4 133.4 364 "May 14" 2004 "Historical Epic" "R" 3411 7.2 "Historical" "Epic" 46.9 163 16 "Wolfgang Petersen" "" "Julian Glover" "Brian Cox" 175 "ns" "troy" 0 0 0 NA NA 0.76 "6.21" 186.89 65.71 245.17 10 8 1 9 3 22
"148" 148 148 "How to Train Your Dragon" "P/DW" 494.9 217.6 277.3 "March 26" 2010 "Animation" "PG" 4060 8.2 "Animation" "" 43.7 98 17 "Dean DeBlois" "Chris Sanders" "Jay Baruchel" "Gerard Butler" 165 "ns" "howtotrainyourdragon" 0 0 0 200 87 1.32 "7.89" 239.94 48.19 181.94 7 22 5 2 10 12
"149" 149 149 "Twister" "WB" 494.5 241.7 252.8 "May 10" 1996 "Action Drama" "PG-13" NA 6.3 "Action" "Drama" NA 113 NA "Jan de Bont" "" "Helen Hunt" "Bill Paxton" 92 "ns" "twister" 0 0 0 53 45 2.63 "4.42" 475.74 NA 181.09 0 7 47 6 65 22
"150" 150 150 "Teenage Mutant Ninja Turtles" "Par." 493.3 191.2 302.1 "August 8" 2014 "AA" "PG-13" 3980 6.3 "AA" "" 65.6 101 15 "Kevin Munroe" "" "Chris Evans" "Sarah Michelle Gellar" 125 "ss" "teenagemutantninjaturtles" 0 0 0 50 29 1.53 "8.17" 203.6 69.86 133.11 0 1 4 17 26 29
"151" 151 151 "Oz The Great and Powerful" "BV" 493.3 234.9 258.4 "March 8" 2013 "Adventure" "PG" 3912 6.4 "Adventure" "" 79.1 127 19 "Sam Raimi" "" "James Franco" "Mila Kunis" 215 "ns" "ozthegreatandpowerful" 0 0 0 NA NA 1.09 "8.13" 251.37 84.65 230.07 10 16 31 12 90 49
"152" 152 152 "Clash of the Titans" "WB" 493.2 163.2 330 "April 2" 2010 "Fantasy" "PG-13" 3802 5.8 "Fantasy" "" 61.2 118 16 "Jonathan Liebesman" "" "Sam Worthington" "Liam Neeson" 125 "ns" "clashofthetitans" 0 0 0 NA NA 1.31 "7.89" 179.95 67.48 137.83 2 2 6 15 14 35
"153" 153 153 "Angels & Demons" "Sony" 485.9 133.4 352.6 "May 15" 2009 "Thriller" "PG-13" 3527 6.7 "Thriller" "" 46.2 140 12 "Ron Howard" "" "Tom Hanks" "Ewan McGregor" 150 "ns" "angels&demons" 0 0 0 NA NA 0.89 "7.50" 154.74 53.59 174 38 65 76 24 115 38
"154" 154 154 "Toy Story 2" "BV" 485 245.9 239.2 "November 19" 1999 "Animation" "G" NA 7.9 "Animation" "" NA 92 NA "John Lasseter" "Ash Brannon" "Tom Hanks" "Tim Allen" 90 "ns" "toystory2" 0 0 1 163 2 2.73 "5.08" 421.13 NA 154.13 36 26 76 23 115 32
"155" 155 155 "Rio" "Fox" 484.6 143.6 341 "April 15" 2011 "Animation" "G" 3842 7 "Animation" "" 39.2 96 21 "Carlos Saldanha" "" "Karen Disher" "Jason Fricchione" 90 "ns" "rio" 0 0 0 134 49 1.6 "7.93" 157.54 43.01 98.74 2 12 NA NA NA NA
"156" 156 156 "Bruce Almighty" "Uni." 484.6 242.8 241.8 "May 23" 2003 "Fantasy Comedy" "PG-13" 3549 6.7 "Fantasy" "Comedy" 68 101 27 "Tom Shadyac" "" "Jim Carrey" "Morgan Freeman" 81 "ss" "brucealmighty" 0 0 0 NA NA 3 "6.03" 350.31 98.11 116.87 1 0 45 56 88 69
"157" 157 157 "Shrek" "DW" 484.4 267.7 216.7 "May 16" 2001 "Animation" "PG" 3715 7.9 "Animation" "" 42.3 90 29.3 "Andrew Adamson" "Vicky Jenson" "Mike Myers" "Eddie Murphy" 60 "ns" "shrek" 0 0 0 200 77 4.46 "5.66" 411.48 65.02 92.23 7 19 28 30 38 67
"158" 158 158 "Saving Private Ryan" "DW" 481.8 216.5 265.3 "July 24" 1998 "War" "R" NA 8.6 "War" "" NA 170 NA "Steven Spielberg" "" "Tom Hanks" "Tom Sizemore" 70 "ss" "savingprivateryan" 0 0 0 130 81 3.09 "4.69" 401.61 NA 129.85 175 168 76 5 115 7
"159" 159 159 "Rise of the Planet of the Apes" "Fox" 481.8 176.8 305 "August 5" 2011 "Sci-Fi Action" "PG-13" 3691 7.6 "Sci-Fi" "Action" NA 110 NA "Rupert Wyatt" "" "Andy Serkis" "Karin Konoval" 93 "ss" "riseoftheplanetoftheapes" 0 0 0 248 71 1.9 "7.93" 193.97 NA 102.03 1 7 30 NA 42 NA
"160" 160 160 "Mr. & Mrs. Smith" "Fox" 478.2 186.3 291.9 "June 10" 2005 "Action Comedy" "PG-13" 3451 6.5 "Action" "Comedy" 50.3 115 27 "Doug Liman" "" "Brad Pitt" "Angelina Jolie" 110 "ss" "mr.&mrs.smith" 0 0 0 NA NA 1.69 "6.41" 252.86 68.27 149.3 2 6 64 47 136 93
"161" 161 161 "Home Alone" "Fox" 476.7 285.8 190.9 "November 16" 1990 "Family Comedy" "PG" 2173 7.5 "Family" "Comedy" NA 105 NA "Chris Columbus" "" "Macaulay Culkin" "Joe Pesci" 18 "ns" "homealone" 0 0 0 42 43 15.88 "4.23" 587.82 NA 37.02 6 18 4 13 7 11
"162" 162 162 "Return of the Jedi" "Fox" 475.1 309.3 165.8 "May 25" 1983 "Sci-Fi Fantasy" "PG" NA 8.4 "Sci-Fi" "Fantasy" NA 134 NA "Richard Marquand" "" "Mark Hamill" "Harrison Ford" 32.5 "ss" "returnofthejedi" 0 0 0 NA NA 9.52 "3.15" 854.26 NA 89.76 2 3 11 32 13 36
"163" 163 163 "Charlie and the Chocolate Factory" "WB" 475 206.5 268.5 "July 15" 2005 "Family Adventure" "PG" NA 6.7 "Family" "Adventure" NA 106 NA "Tim Burton" "" "Johnny Depp" "Freddie Highmore" 150 "ss" "charlieandthechocolatefactory" 0 0 0 221 72 1.38 "6.41" 280.27 NA 203.59 20 58 65 12 115 22
"164" 164 164 "Indiana Jones and the Last Crusade" "Par." 474.2 197.2 277 "May 24" 1989 "Period Adventure" "PG-13" 2327 8.3 "Period" "Adventure" NA 127 NA "Steven Spielberg" "" "Harrison Ford" "Sean Connery" 48 "ss" "indianajonesandthelastcrusade" 0 0 0 68 77 4.11 "3.97" 432.15 NA 105.19 175 168 32 37 36 27
"165" 165 165 "San Andreas" "WB" 473.8 155.2 318.6 "May 29" 2015 "Action" "PG-13" NA 6.1 "Action" "" NA 114 NA "Brad Peyton" "" "Dwayne Johnson" "Carla Gugino" 110 "ss" "sanandreas" 0 0 0 NA NA 1.41 "8.43" 160.17 NA 113.52 0 2 3 1 28 8
"166" 166 166 "Wreck-It Ralph" "BV" 471.2 189.4 281.8 "November 2" 2012 "Animation" "PG" 3752 7.8 "Animation" "" 49 108 26 "Rich Moore" "" "John C. Reilly" "Sarah Silverman" 165 "ns" "wreckitralph" 0 0 0 168 75 1.15 "7.96" 207.01 53.56 180.34 0 1 17 5 42 14
"167" 167 167 "Jaws" "Uni." 470.7 260 210.7 "June 20" 1975 "Horror Thriller" "PG" NA 8.1 "Horror" "Thriller" NA 125 NA "Steven Spielberg" "" "Roy Scheider" "Robert Shaw" 7 "ss" "jaws" 0 0 0 NA NA 37.14 "2.05" 1103.41 NA 29.71 175 168 2 2 9 4
"168" 168 168 "The LEGO Movie" "WB" 469.2 257.8 211.4 "February 7" 2014 "Animation" "PG" NA 7.8 "Animation" "" NA 100 NA "Phil Lord" "Christopher Miller" "Will Arnett" "Elizabeth Banks" 60 "ns" "thelegomovie" 0 0 0 222 85 4.3 "8.17" 274.52 NA 63.89 11 12 5 11 20 32
"169" 169 169 "Hotel Transylvania 2" "Sony" 469 169.7 299.4 "September 25" 2015 "Animation" "PG" NA 6.8 "Animation" "" NA 89 NA "Genndy Tartakovsky" "" "Adam Sandler" "Andy Samberg" 80 "ns" "hoteltransylvania2" 0 0 1 NA NA 2.12 "8.43" 175.14 NA 82.56 6 15 50 5 68 24
"170" 170 170 "The Hangover" "WB" 467.5 277.3 190.2 "June 5" 2009 "Comedy" "R" 3545 7.8 "Comedy" "" 45 96 28 "Todd Phillips" "" "Bradley Cooper" "Ed Helms" 35 "ss" "thehangover" 0 0 0 225 67 7.92 "7.50" 321.67 52.2 40.6 5 4 29 4 65 12
"171" 171 171 "Star Trek Into Darkness" "Par." 467.4 228.8 238.6 "May 16" 2013 "Sci-Fi Adventure" "PG-13" 3907 7.8 "Sci-Fi" "Adventure" 70.2 123 17.1 "J.J. Abrams" "" "Chris Pine" "Zachary Quinto" 190 "ns" "startrekintodarkness" 0 0 0 250 76 1.2 "8.13" 244.84 75.12 203.32 18 41 6 9 15 20
"172" 172 172 "The Matrix" "WB" 463.5 171.5 292 "March 31" 1999 "Sci-Fi Action" "R" 2903 8.7 "Sci-Fi" "Action" NA 136 NA "Lana Wachowski" "Lilly Wachowski" "Keanu Reeves" "Laurence Fishburne" 63 "ns" "thematrix" 0 0 0 141 76 2.72 "5.08" 293.71 NA 107.89 10 22 11 21 20 45
"173" 173 173 "Pretty Woman" "BV" 463.4 178.4 285 "March 23" 1990 "Romantic Comedy" "R" 1811 6.9 "Romantic" "Comedy" NA 119 NA "Garry Marshall" "" "Richard Gere" "Julia Roberts" 14 "ns" "prettywoman" 0 0 0 55 50 12.74 "4.23" 366.92 NA 28.79 13 14 20 51 26 86
"174" 174 174 "Lucy" "Uni." 463.4 126.7 336.7 "July 25" 2014 "Sci-Fi Action" "R" 3202 6.4 "Sci-Fi" "Action" NA 90 NA "Luc Besson" "" "Scarlett Johansson" "Morgan Freeman" 40 "ss" "lucy" 0 0 0 177 74 3.17 "8.17" 134.92 NA 42.59 24 22 34 56 119 69
"175" 175 175 "Cars" "BV" 462 244.1 217.9 "June 9" 2006 "Animation" "G" 3988 7.2 "Animation" "" 60.1 116 19 "John Lasseter" "Joe Ranft" "Owen Wilson" "Paul Newman" 120 "ss" "cars" 0 0 0 196 62 2.03 "6.55" 324.22 79.83 159.39 36 26 14 37 45 64
"176" 176 176 "X-Men: The Last Stand" "Fox" 459.4 234.4 225 "May 26" 2006 "AA" "PG-13" 3714 6.8 "AA" "" 102.8 104 18 "Brett Ratner" "" "Hugh Jackman" "Halle Berry" 210 "ss" "xmen:thelaststand" 4 1 1 NA NA 1.12 "6.55" 311.34 136.54 278.93 3 4 20 41 71 79
"177" 177 177 "Mission: Impossible" "Par." 457.7 181 276.7 "May 22" 1996 "Action" "PG-13" 3012 7.1 "Action" "" 45.4 110 30.3 "Brian De Palma" "" "Tom Cruise" "Jon Voight" 80 "ss" "mission:impossible" 0 0 1 51 51 2.26 "4.42" 356.27 89.36 157.47 10 21 39 24 76 30
"178" 178 178 "Gladiator" "DW" 457.6 187.7 269.9 "May 5" 2000 "Historical Epic" "R" 3188 8.5 "Historical" "Epic" 34.8 155 53 "Ridley Scott" "" "Russell Crowe" "Joaquin Phoenix" 103 "ns" "gladiator" 0 0 0 186 64 1.82 "5.39" 302.97 56.17 166.25 31 87 36 30 66 110
"179" 179 179 "National Treasure: Book of Secrets" "BV" 457.4 220 237.4 "December 21" 2007 "Adventure" "PG" 3832 6.5 "Adventure" "" 44.8 124 26 "Jon Turteltaub" "" "Nicolas Cage" "Justin Bartha" NA "hs" "nationaltreasure:bookofsecrets" 0 0 1 NA NA NA "6.88" 278.2 56.65 NA 0 2 40 0 60 2
"180" 180 180 "The Last Samurai" "WB" 456.8 111.1 345.6 "December 5" 2003 "War" "R" 2938 7.7 "War" "" 24.3 154 18 "Edward Zwick" "" "Ken Watanabe" "Tom Cruise" 140 "hs" "thelastsamurai" 0 0 0 NA NA 0.79 "6.03" 160.29 35.06 201.99 23 21 9 39 19 76
"181" 181 181 NA "WB" 456.1 210.6 245.5 "March 9" 2007 "Period Action" "R" NA 7.7 "Period" "Action" NA 117 NA "Zack Snyder" "" "Gerard Butler" "Lena Headey" 65 "ns" NA 0 0 NA NA NA 3.24 "6.88" 266.31 NA 82.19 3 7 2 3 12 28
"182" 182 182 "Ocean's Eleven" "WB" 450.7 183.4 267.3 "December 7" 2001 "Crime Comedy" "PG-13" NA 7.8 "Crime" "Comedy" NA 116 NA "Steven Soderbergh" "" "George Clooney" "Cecelia Ann Birt" 85 "hs" "ocean'seleven" 0 0 0 168 71 2.16 "5.66" 281.9 NA 130.65 29 74 NA NA NA NA
"183" 183 183 "Thor" "Par." 449.3 181 268.3 "May 6" 2011 "AA" "PG-13" 3963 7 "AA" "" 65.7 115 16 "Kenneth Branagh" "" "Chris Hemsworth" "Natalie Portman" 150 "ns" "thor" 6 1 0 88 69 1.21 "7.93" 198.58 72.08 164.56 29 60 9 58 21 85
"184" 184 184 "Pearl Harbor" "BV" 449.2 198.5 250.7 "May 25" 2001 "War" "PG-13" 3255 6 "War" "" NA 183 NA "Michael Bay" "" "Ben Affleck" "Josh Hartnett" 140 "ss" "pearlharbor" 0 0 0 NA NA 1.42 "5.66" 305.11 NA 215.19 7 10 67 2 95 16
"185" 185 185 "Tarzan" "BV" 448.2 171.1 277.1 "June 16" 1999 "Animation" "G" NA 7.2 "Animation" "" NA 88 NA "Chris Buck" "Kevin Lima" "Brian Blessed" "Glenn Close" 130 "ss" "tarzan" 0 0 0 104 77 1.32 "5.08" 293.03 NA 222.64 9 10 1 49 1 91
"186" 186 186 "Alvin and the Chipmunks: The Squeakquel" "Fox" 443.1 219.6 223.5 "December 23" 2009 "Family Comedy" "PG" 3747 4.5 "Family" "Comedy" 48.9 88 21.3 "Betty Thomas" "" "Zachary Levi" "David Cross" 75 "hs" "alvinandthechipmunks:thesqueakquel" 0 0 1 NA NA 2.93 "7.50" 254.74 56.72 87 8 13 2 7 13 15
"187" 187 187 "The Bourne Ultimatum" "Uni." 442.8 227.5 215.4 "August 3" 2007 "Action Thriller" "PG-13" 3701 8.1 "Action" "Thriller" 69.3 111 17 "Paul Greengrass" "" "Matt Damon" "Julia Stiles" 110 "ss" "thebourneultimatum" 0 0 0 257 82 2.07 "6.88" 287.68 87.63 139.1 34 62 34 13 122 17
"188" 188 188 "Men in Black II" "Sony" 441.8 190.4 251.4 "July 3" 2002 "Sci-Fi Comedy" "PG-13" 3641 6.1 "Sci-Fi" "Comedy" 52.1 88 8.9 "Barry Sonnenfeld" "" "Tommy Lee Jones" "Will Smith" 140 "ss" "meninblackii" 0 0 0 NA NA 1.36 "5.81" 285.11 78.02 209.64 7 7 40 56 89 106
"189" 189 189 "Les Miserables" "Uni." 441.8 148.8 293 "December 25" 2012 "Musical" "PG-13" 2927 7.6 "Musical" "" 27.3 157 14.4 "Tom Hooper" "" "Hugh Jackman" "Russell Crowe" 61 "hs" "lesmiserables" 0 0 0 43 62 2.44 "7.96" 162.63 29.84 66.67 28 47 20 36 71 66
"190" 190 190 "The Exorcist" "WB" 441.3 232.9 208.4 "December 26" 1973 "Horror" "R" NA 8 "Horror" "" NA 122 NA "William Friedkin" "" "Ellen Burstyn" "Max von Sydow" NA "hs" "theexorcist" 0 0 0 NA NA NA "1.77" 1144.76 NA NA 19 14 32 21 49 22
"191" 191 191 "Mrs. Doubtfire" "Fox" 441.3 219.2 222.1 "November 24" 1993 "Family Comedy" "PG-13" NA 6.9 "Family" "Comedy" NA 125 NA "Chris Columbus" "" "Robin Williams" "Sally Field" 25 "hs" "mrs.doubtfire" 0 0 0 49 59 8.77 "4.14" 460.64 NA 52.54 6 18 63 43 80 70
"192" 192 192 "Terminator: Genisys" "Par." 440.6 89.8 350.8 "July 1" 2015 "Action" "PG-13" 3783 6.6 "Action" "" 27 126 11.3 "Alan Taylor" "" "Arnold Schwarzenegger" "Jason Clarke" 155 "ss" "terminator:genisys" 0 0 1 NA NA 0.58 "8.43" 92.68 27.86 159.96 6 8 23 0 31 4
"193" 193 193 "Terminator 3: Rise of the Machines" "WB" 433.4 150.4 283 "July 2" 2003 "Sci-Fi Action" "R" 3504 6.4 "Sci-Fi" "Action" 44 109 17.3 "Jonathan Mostow" "" "Arnold Schwarzenegger" "Nick Stahl" 200 "ss" "terminator3:riseofthemachines" 0 0 1 NA NA 0.75 "6.03" 217 63.48 288.56 1 1 23 1 31 9
"194" 194 194 "The Mummy Returns" "Uni." 433 202 231 "May 4" 2001 "Period Adventure" "PG-13" 3553 6.3 "Period" "Adventure" NA 130 NA "Stephen Sommers" "" "Brendan Fraser" "Rachel Weisz" 98 "ns" "themummyreturns" 0 0 0 NA NA 2.06 "5.66" 310.49 NA 150.64 1 3 8 15 10 30
"195" 195 195 "Die Another Day" "MGM" 432 160.9 271 "November 22" 2002 "Action" "PG-13" 3377 6.1 "Action" "" NA 123 NA "Lee Tamahori" "" "Pierce Brosnan" "Halle Berry" 142 "hs" "dieanotherday" 0 0 0 NA NA 1.13 "5.81" 240.93 NA 212.63 11 1 17 41 20 79
"196" 196 196 "Cast Away" "Fox" 429.6 233.6 196 "December 22" 2000 "Drama" "PG-13" 3061 7.7 "Drama" "" NA 143 NA "Robert Zemeckis" "" "Paul Sanchez" "Lari White" 90 "hs" "castaway" 0 0 0 154 79 2.6 "5.39" 377.05 NA 145.27 33 33 NA NA NA NA
"197" 197 197 "The Matrix Revolutions" "WB" 427.3 139.3 288 "November 5" 2003 "Sci-Fi Action" "R" 3502 6.7 "Sci-Fi" "Action" NA 135 NA "Lana Wachowski" "Lilly Wachowski" "Mary Alice" "Tanveer K. Atwal" 150 "ns" "thematrixrevolutions" 0 0 0 NA NA 0.93 "6.03" 200.98 NA 216.42 10 22 NA NA NA NA
"198" 198 198 "The Intouchables" "Wein." 426.6 10.2 416.4 "May 25" 2012 "Foreign" "R" NA 5.8 "Foreign" "" NA 112 NA "Lana Wachowski" "" "Prime Video
Unlimited Streamingof Movies & TV" "Tanveer K. Atwal" NA "ss" "theintouchables" 0 0 0 NA NA NA "7.96" 11.15 NA NA 10 22 NA NA NA NA
"199" 199 199 "Django Unchained" "Wein." 425.4 162.8 262.6 "December 25" 2012 "Western" "R" 3012 8.5 "Western" "" 30.1 165 20.4 "Quentin Tarantino" "" "Jamie Foxx" "Christoph Waltz" 100 "hs" "djangounchained" 0 0 0 248 77 1.63 "7.96" 177.93 32.9 109.3 120 163 45 81 74 37
"200" 200 200 "Beauty and the Beast" "BV" 425 219 206 "November 15" 1991 "Animation" "G" NA 8 "Animation" "" NA 84 NA "Gary Trousdale" "Kirk Wise" "Robby Benson" "Jesse Corti" 25 "ns" "beautyandthebeast" 0 0 0 103 82 8.76 "4.21" 452.57 NA 51.66 1 5 3 1 7 1
"201" 201 201 "Dances with Wolves" "Orion" 424.2 184.2 240 "November 9" 1990 "Western" "PG-13" NA 8 "Western" "" NA 183 NA "Kevin Costner" "" "Kevin Costner" "Mary McDonnell" 22 "ns" "danceswithwolves" 0 0 0 66 71 8.37 "4.23" 378.85 NA 45.25 46 49 46 3 49 13
"202" 202 202 "The Chronicles of Narnia: Prince Caspian" "BV" 419.7 141.6 278 "May 16" 2008 "Fantasy" "PG" 3929 6.6 "Fantasy" "" 55 140 16 "Andrew Adamson" "" "Ben Barnes" "Georgie Henley" 225 "ns" "thechroniclesofnarnia:princecaspian" 0 0 1 NA NA 0.63 "7.18" 171.58 66.64 272.63 7 19 0 3 4 10
"203" 203 203 "The Mummy" "Uni." 415.9 155.4 260.5 "May 7" 1999 "Period Adventure" "PG-13" NA 7 "Period" "Adventure" NA 124 NA "Stephen Sommers" "" "Brendan Fraser" "Rachel Weisz" 80 "ns" "themummy" 0 0 0 83 43 1.94 "5.08" 266.14 NA 137.01 1 3 8 15 10 30
"204" 204 204 "The Chronicles of Narnia: The Voyage of the Dawn Treader" "Fox" 415.7 104.4 311.3 "December 10" 2010 "Fantasy" "PG" 3555 6.3 "Fantasy" "" 24 112 18 "Michael Apted" "" "Georgie Henley" "Skandar Keynes" 155 "hs" "thechroniclesofnarnia:thevoyageofthedawntreader" 0 0 1 NA NA 0.67 "7.89" 115.12 26.46 170.91 20 15 3 1 10 3
"205" 205 205 "Sex and the City" "WB (NL)" 415.3 152.6 262.6 "May 30" 2008 "Romantic Comedy" "R" 3325 6.9 "Romantic" "Comedy" 57 135 16 "Darren Star" "" "Sarah Jessica Parker" "Kim Cattrall" 65 "ss" "sexandthecity" 0 0 0 NA NA 2.35 "7.18" 184.91 69.07 78.76 2 2 28 9 43 24
"206" 206 206 "The Wolverine" "Fox" 414.8 132.6 282.3 "July 26" 2013 "Action" "PG-13" 3924 6.7 "Action" "" 53.1 126 19 "James Mangold" "" "Hugh Jackman" "Tao Okamoto" 120 "ss" "thewolverine" 0 0 0 NA NA 1.1 "8.13" 141.9 56.82 128.41 5 4 20 NA 71 NA
"207" 207 207 "Kingsman: The Secret Service" "Fox" 414.4 128.3 286.1 "February 13" 2015 "AA" "R" 3282 7.8 "AA" "" 36.2 129 21 "Matthew Vaughn" "" "Adrian Quinton" "Colin Firth" 81 "ns" "kingsman:thesecretservice" 0 0 1 NA NA 1.58 "8.43" 132.41 37.36 83.59 5 16 NA 64 NA 52
"208" 208 208 "The King's Speech" "Wein." 414.2 138.8 275.4 "November 26" 2010 "Historical Drama" "R" NA 8 "Historical" "Drama" NA 118 NA "Tom Hooper" "" "Colin Firth" "Helena Bonham Carter" 15 "hs" "theking'sspeech" 0 0 0 265 84 9.25 "7.89" 153.05 NA 16.54 28 47 64 42 52 80
"209" 209 209 "Night at the Museum: Battle of the Smithsonian" "Fox" 413.1 177.2 235.9 "May 22" 2009 "Family Adventure" "PG" 4101 5.9 "Family" "Adventure" 54.2 105 24 "Shawn Levy" "" "Ben Stiller" "Amy Adams" 150 "ss" "nightatthemuseum:battleofthesmithsonian" 0 0 1 NA NA 1.18 "7.50" 205.55 62.87 174 3 1 13 54 52 146
"210" 210 210 "Batman" "WB" 411.3 251.2 160.2 "June 23" 1989 "AA" "PG-13" 2201 7.6 "AA" "" 40.5 126 25 "Tim Burton" "" "Michael Keaton" "Jack Nicholson" 35 "ss" "batman" 2 1 0 68 60 7.18 "3.97" 550.49 88.75 76.7 20 58 58 84 36 95
"211" 211 211 "The Bodyguard" "WB" 411 122 289 "November 25" 1992 "Romance" "R" 1806 6.1 "Romance" "" NA 130 NA "Mick Jackson" "" "Kevin Costner" "Whitney Houston" NA "hs" "thebodyguard" 0 0 0 NA NA NA "4.15" 255.76 NA NA 14 9 46 9 49 27
"212" 212 212 "Pacific Rim" "WB" 411 101.8 309.2 "July 12" 2013 "Sci-Fi Action" "PG-13" 3285 7 "Sci-Fi" "Action" 37.3 131 14 "Guillermo del Toro" "" "Charlie Hunnam" "Diego Klattenhoff" 190 "ss" "pacificrim" 0 0 0 NA NA 0.54 "8.13" 108.94 39.92 203.32 49 48 1 0 4 1
"213" 213 213 "Signs" "BV" 408.2 228 180.3 "August 2" 2002 "Sci-Fi Horror" "PG-13" 3453 6.7 "Sci-Fi" "Horror" 60.1 107 27 "M. Night Shyamalan" "" "Mel Gibson" "Joaquin Phoenix" 72 "ss" "signs" 0 0 0 228 62 3.17 "5.81" 341.41 89.99 107.81 12 36 32 30 30 110
"214" 214 214 "X2: X-Men United" "Fox" 407.7 214.9 192.8 "May 2" 2003 "AA" "PG-13" 3749 7.5 "AA" "" 85.6 134 21 "Bryan Singer" "" "Patrick Stewart" "Hugh Jackman" 110 "ns" "x2:xmenunited" 4 1 1 235 75 1.95 "6.03" 310.05 123.5 158.71 14 20 9 20 36 71
"215" 215 215 "Prometheus" "Fox" 403.4 126.5 276.9 "June 8" 2012 "Sci-Fi Action" "R" NA 7 "Sci-Fi" "Action" NA 124 NA "Ridley Scott" "" "Noomi Rapace" "Michael Fassbender" 135 "ss" "prometheus" 0 0 0 NA NA 0.94 "7.96" 138.26 NA 147.55 31 87 13 70 17 131
"216" 216 216 "The Mummy: Tomb of the Dragon Emperor" "Uni." 401.1 102.5 298.6 "August 1" 2008 "Period Adventure" "R" 3442 5.2 "Period" "Adventure" 51.1 114 15 "Rob Cohen" "" "Brendan Fraser" "Jet Li" 130 "ss" "themummy:tombofthedragonemperor" 0 0 1 NA NA 0.79 "7.18" 124.2 61.92 157.52 3 1 8 4 10 15
"217" 217 217 "Gone with the Wind" "MGM" 400.2 198.7 201.5 "December 15" 1939 "Historical Epic" "PG-13" 3778 8.2 "Historical" "Epic" NA 238 NA "Victor Fleming" "George Cukor" "Thomas Mitchell" "Barbara O'Neil" 145 "hs" "gonewiththewind" 0 0 0 NA NA 1.37 "0.23" 7516.04 NA 5484.78 2 4 4 0 4 1
"218" 218 218 "Tron Legacy" "BV" 400.1 172.1 228 "December 17" 2010 "Sci-Fi Action" "G" NA 6.8 "Sci-Fi" "Action" NA 125 NA "Joseph Kosinski" "" "Jeff Bridges" "Garrett Hedlund" NA "hs" "tronlegacy" 0 0 0 NA NA NA "7.89" 189.77 NA NA NA NA 31 1 67 3
"219" 219 219 "Mission: Impossible III" "Par." 397.9 134 263.8 "May 5" 2006 "Action" "PG" 3451 6.9 "Action" "" 44 126 17 "J.J. Abrams" "" "Tom Cruise" "Philip Seymour Hoffman" 170 "ns" "mission:impossibleiii" 0 0 1 NA NA 0.79 "6.55" 177.98 58.44 225.8 18 41 39 89 76 98
"220" 220 220 "Snow White and the Huntsman" "Uni." 396.6 155.3 241.3 "June 1" 2012 "Adventure" "PG-13" 4059 6.1 "Adventure" "" NA 127 NA "Rupert Sanders" "" "Kristen Stewart" "Chris Hemsworth" 150 "ss" "snowwhiteandthehuntsman" 0 0 0 NA NA 1.04 "7.96" 169.74 NA 163.94 1 2 41 9 53 21
"221" 221 221 "Grease" "Par." 395 188.8 206.2 "June 16" 1978 "Musical" "PG-13" 3777 7.2 "Musical" "" NA 110 NA "Randal Kleiser" "" "John Travolta" "Olivia Newton-John" 170 "ss" "grease" 0 0 0 NA NA 1.11 "2.34" 701.95 NA 632.05 1 3 40 6 49 7
"222" 222 222 "Twilight" "Sum." 393.6 192.8 200.8 "November 21" 2008 "Romance" "PG" NA 5.2 "Romance" "" NA 120 NA "Catherine Hardwicke" "" "Kristen Stewart" "Sarah Clarke" 6 "hs" "twilight" 0 0 0 54 47 32.13 "7.18" 233.62 NA 7.27 8 12 41 1 53 2
