"number" "rank" "title" "studio" "worldwide" "domestic" "overseas" "release_date" "release_year" "genre" "mpaa" "theater" "rating" "genre1" "genre2" "ow" "runt" "weeks" "director1" "director2" "star1" "star2" "budget" "per" "title1" "sh" "shb" "series" "rn" "to_rating" "bb" "price" "adjusted" "adow" "adbudget" "dir_win" "dir_nomi" "st1_win" "st2_win" "st1_nomi" "st2_nomi"
"27" 27 27 "Despicable Me 2" "Uni." 970.8 368.1 602.7 "July 3" 2013 "Animation" "PG" 4003 7.5 "Animation" "" NA 98 NA "Pierre Coffin" "Chris Renaud" "Steve Carell" "Kristen Wiig" 76 "ss" "despicableme2" 0 0 1 NA NA 4.84 "8.13" 393.91 NA 81.33 0 18 32 8 115 55
"28" 28 28 "Pirates of the Caribbean: At World's End" "BV" 963.4 309.4 654 "May 25" 2007 "Period Adventure" "PG-13" 4362 7.1 "Period" "Adventure" 114.7 168 19 "Gore Verbinski" "" "Johnny Depp" "Geoffrey Rush" 300 "ss" "piratesofthecaribbean:atworld'send" 0 0 1 NA NA 1.03 "6.88" 391.25 145.04 379.36 7 10 65 43 115 75
"29" 29 29 "Harry Potter and the Deathly Hallows Part 1" "WB" 960.3 296 664.3 "November 19" 2010 "Fantasy" "PG-13" 4125 7.7 "Fantasy" "" NA 150 NA "David Yates" "" "Bill Nighy" "Emma Watson" NA "ns" "harrypotterandthedeathlyhallowspart1" 0 0 1 260 66 NA "7.89" 326.39 NA NA 14 15 15 16 25 45
"30" 30 30 "The Hobbit: The Desolation of Smaug" "WB (NL)" 958.4 258.4 700 "December 13" 2013 "Fantasy" "PG-13" 3928 7.9 "Fantasy" "" 73.6 161 18 "Peter Jackson" "" "Ian McKellen" "Martin Freeman" NA "hs" "thehobbit:thedesolationofsmaug" 0 0 1 NA NA NA "8.13" 276.52 78.76 NA 129 120 46 7 57 26
"31" 31 31 "The Hobbit: The Battle of the Five Armies" "WB (NL)" 956 255.1 700.9 "December 17" 2014 "Fantasy" "PG-13" 3875 7.5 "Fantasy" "" 54.7 144 15.3 "Peter Jackson" "" "Ian McKellen" "Martin Freeman" NA "hs" "thehobbit:thebattleofthefivearmies" 0 0 1 NA NA NA "8.17" 271.65 58.25 NA 129 120 46 7 57 26
"32" 32 32 "Harry Potter and the Order of the Phoenix" "WB" 939.9 292 647.9 "July 11" 2007 "Fantasy" "PG-13" 4285 7.5 "Fantasy" "" 77.1 139 22.3 "David Yates" "" "Daniel Radcliffe" "Harry Melling" 150 "ss" "harrypotterandtheorderofthephoenix" 0 0 0 242 67 1.95 "6.88" 369.24 97.5 189.68 14 15 13 NA 38 NA
"33" 33 33 "Finding Nemo" "BV" 936.7 380.8 555.9 "May 30" 2003 "Animation" "G" 3425 8.1 "Animation" "" 70.3 104 29 "Andrew Stanton" "Lee Unkrich" "Albert Brooks" "Ellen DeGeneres" 94 "ss" "findingnemo" 0 0 0 253 88 4.05 "6.03" 549.41 101.43 135.62 32 50 26 72 29 64
"34" 34 34 "Harry Potter and the Half-Blood Prince" "WB" 934.4 302 632.5 "July 15" 2009 "Fantasy" "PG" 4455 7.5 "Fantasy" "" 77.8 153 22.3 "David Yates" "" "Daniel Radcliffe" "Michael Gambon" 250 "ss" "harrypotterandthehalfbloodprince" 0 0 0 266 72 1.21 "7.50" 350.32 90.25 290 14 15 13 18 38 16
"35" 35 35 "The Lord of the Rings: The Two Towers" "NL" 926 342.6 583.5 "December 18" 2002 "Fantasy" "PG-13" NA 8.7 "Fantasy" "" NA 179 NA "Peter Jackson" "" "Bruce Allpress" "Sean Astin" 94 "hs" "thelordoftherings:thetwotowers" 0 0 1 248 85 3.64 "5.81" 513.02 NA 140.76 129 120 1 18 0 19
"36" 36 36 "Shrek 2" "DW" 919.8 441.2 478.6 "May 19" 2004 "Animation" "PG" 4223 7.2 "Animation" "" 108 93 21.3 "Andrew Adamson" "Kelly Asbury" "Mike Myers" "Eddie Murphy" 150 "ns" "shrek2" 0 0 1 233 77 2.94 "6.21" 618.11 151.3 210.14 7 19 28 30 38 67
"37" 37 37 "Harry Potter and the Goblet of Fire" "WB" 896.9 290 606.9 "November 18" 2005 "Fantasy" "PG-13" 3858 7.6 "Fantasy" "" 102.7 153 20 "Mike Newell" "" "Eric Sykes" "Timothy Spall" 150 "ns" "harrypotterandthegobletoffire" 0 0 0 246 77 1.93 "6.41" 393.6 139.39 203.59 13 10 1 14 0 27
"38" 38 38 "Spider-Man 3" "Sony" 890.9 336.5 554.3 "May 4" 2007 "AA" "PG-13" 4324 6.2 "AA" "" 151.1 140 16 "Sam Raimi" "" "Tobey Maguire" "Kirsten Dunst" 258 "ns" "spiderman3" 3 1 1 NA NA 1.3 "6.88" 425.52 191.07 326.25 10 16 7 28 30 56
"39" 39 39 "Ice Age: Dawn of the Dinosaurs" "Fox" 886.7 196.6 690.1 "July 1" 2009 "Animation" "PG" 4102 7 "Animation" "" 41.7 87 21.3 "Carlos Saldanha" "Mike Thurmeier" "Eunice Cho" "Karen Disher" 90 "ss" "iceage:dawnofthedinosaurs" 0 0 1 NA NA 2.18 "7.50" 228.06 48.37 104.4 2 12 NA NA NA NA
"40" 40 40 "Spectre" "Sony" 879.5 199.8 679.7 "November 6" 2015 "Action" "PG-13" NA 6.9 "Action" "" NA 148 NA "Sam Mendes" "" "Daniel Craig" "Christoph Waltz" 245 "ns" "spectre" 0 0 0 NA NA 0.82 "8.43" 206.2 NA 252.85 39 25 13 81 27 37
"41" 41 41 "Harry Potter and the Chamber of Secrets" "WB" 879 262 617 "November 15" 2002 "Fantasy" "PG" 3682 7.4 "Fantasy" "" 88.4 161 24.4 "Chris Columbus" "" "Daniel Radcliffe" "Rupert Grint" 100 "ns" "harrypotterandthechamberofsecrets" 0 0 0 230 71 2.62 "5.81" 392.32 132.37 149.74 6 18 13 3 38 11
"42" 42 42 "Ice Age: Continental Drift" "Fox" 877.2 161.3 715.9 "July 13" 2012 "Animation" "PG" 3886 6.7 "Animation" "" 46.6 94 30 "Steve Martino" "Mike Thurmeier" "Aziz Ansari" "Joy Behar" 95 "ss" "iceage:continentaldrift" 0 0 1 NA NA 1.7 "7.96" 176.3 50.93 103.83 22 39 0 5 11 24
"43" 43 43 "The Lord of the Rings: The Fellowship of the Ring" "NL" 871.5 315.5 556 "December 19" 2001 "Fantasy" "PG-13" NA 8.8 "Fantasy" "" NA 178 NA "Peter Jackson" "" "Alan Howard" "Noel Appleby" 93 "hs" "thelordoftherings:thefellowshipofthering" 0 0 1 225 80 3.39 "5.66" 484.96 NA 142.95 129 120 0 1 1 0
