Number	Rank	Title	Studio	Worldwide	Domestic 	Dome_perc	Overseas 	Over_perc	Year	Rating	Imdb_id	star1	star2	director1	director2
92	92	Star Wars: Episode II - Attack of the Clones	Fox	649.4	310.7	0.478	338.7	0.522	2002^	6.7	tt0121765	Ewan McGregor	Natalie Portman	George Lucas	
93	93	Thor: The Dark World	BV	644.6	206.4	0.32	438.2	0.68	2013	7.1	tt1981115	Chris Hemsworth	Natalie Portman	Alan Taylor	
94	94	Kung Fu Panda	P/DW	631.7	215.4	0.341	416.3	0.659	2008	7.6	tt0441773	Jack Black	Dustin Hoffman	Mark Osborne	John Stevenson
95	95	The Incredibles	BV	631.4	261.4	0.414	370	0.586	2004	8	tt0317705	Craig T. Nelson	Holly Hunter	Brad Bird	
96	96	Fast Five	Uni.	626.1	209.8	0.335	416.3	0.665	2011	7.3	tt1596343	Vin Diesel	Paul Walker	Justin Lin	
97	97	Hancock	Sony	624.4	227.9	0.365	396.4	0.635	2008	6.4	tt0448157	Will Smith	Charlize Theron	Peter Berg	
98	98	MIB 3	Sony	624	179	0.287	445	0.713	2012	6.8	tt1409024	Will Smith	Tommy Lee Jones	Barry Sonnenfeld	
99	99	Iron Man 2	Par.	623.9	312.4	0.501	311.5	0.499	2010	7	tt1228705	Robert Downey Jr.	Gwyneth Paltrow	Jon Favreau	
100	100	Ratatouille	BV	623.7	206.4	0.331	417.3	0.669	2007	8	tt0382932	Patton Oswalt	Ian Holm	Brad Bird	Jan Pinkava
101	101	How to Train Your Dragon 2	Fox	621.5	177	0.285	444.5	0.715	2014	7.9	tt1646971	Jay Baruchel	Cate Blanchett	Dean DeBlois	
102	102	The Martian	Fox	619.7	228.3	0.368	391.4	0.632	2015	8.1	tt3659388	Matt Damon	Jessica Chastain	Ridley Scott	
103	103	The Lost World: Jurassic Park	Uni.	618.6	229.1	0.37	389.6	0.63	1997	6.5	tt0119567	Jeff Goldblum	Julianne Moore	Steven Spielberg	
104	104	The Passion of the Christ	NM	611.9	370.8	0.606	241.1	0.394	2004^	7.1	tt0335345	Jim Caviezel	Maia Morgenstern	Mel Gibson	
105	105	Mamma Mia!	Uni.	609.8	144.1	0.236	465.7	0.764	2008	6.3	tt0795421	Amanda Seyfried	Stellan Skarsg_rd	Phyllida Lloyd	
106	106	Life of Pi	Fox	609	125	0.205	484	0.795	2012	8	tt0454876	Suraj Sharma	Irrfan Khan	Ang Lee	
107	107	Madagascar: Escape 2 Africa	P/DW	603.9	180	0.298	423.9	0.702	2008	6.7	tt0479952	Ben Stiller	Chris Rock	Eric Darnell	Tom McGrath
