Number	Rank	Title	Studio	Worldwide	Domestic 	Dome_perc	Overseas 	Over_perc	Year	Rating	Imdb_id	star1	star2	director1	director2
355	355	A Good Day to Die Hard	Fox	304.7	67.3	0.221	237.3	0.779	2013	5.3	tt1606378	Bruce Willis	Jai Courtney	John Moore	
356	356	Mulan	BV	304.3	120.6	0.396	183.7	0.604	1998	7.5	tt0120762	Ming-Na Wen	Lea Salonga	Tony Bancroft	Barry Cook
357	357	Close Encounters of the Third Kind	Col.	303.8	132.1	0.435	171.7	0.565	1977^	7.7	tt0075860	Richard Dreyfuss	Fran_ois Truffaut	Steven Spielberg	
358	358	Battleship	Uni.	303	65.4	0.216	237.6	0.784	2012	5.9	tt1440129	Taylor Kitsch	Alexander Skarsg_rd	Peter Berg	
359	359	Liar Liar	Uni.	302.7	181.4	0.599	121.3	0.401	1997	6.8	tt0119528	Jim Carrey	Maura Tierney	Tom Shadyac	
360	360	G.I. Joe: The Rise of Cobra	Par.	302.5	150.2	0.497	152.3	0.503	2009	5.8	tt1046173	Adewale Akinnuoye-Agbaje	Christopher Eccleston	Stephen Sommers	
361	361	Hook	TriS	300.9	119.7	0.398	181.2	0.602	1991	6.7	tt0102057	Dustin Hoffman	Robin Williams	Steven Spielberg	
362	362	Rocky IV	UA	300.5	127.9	0.426	172.6	0.574	1985	6.7	tt0089927	Sylvester Stallone	Talia Shire	Sylvester Stallone	
363	363	Rambo: First Blood Part II	TriS	300.4	150.4	0.501	150	0.499	1985	6.4	tt0089880	Sylvester Stallone	Richard Crenna	George P. Cosmatos	
364	364	Van Helsing	Uni.	300.3	120.2	0.4	180.1	0.6	2004	6	tt0338526	Hugh Jackman	Kate Beckinsale	Stephen Sommers	
365	365	Superman	WB	300.2	134.2	0.447	166	0.553	1978	7.3	tt0078346	Marlon Brando	Gene Hackman	Richard Donner	
366	366	Stuart Little	Sony	300.1	140	0.467	160.1	0.533	1999	5.9	tt0164912	Michael J. Fox	Geena Davis	Rob Minkoff	
367	367	Beverly Hills Cop II	Par.	300	153.7	0.512	146.3	0.488	1987	6.4	tt0092644	Eddie Murphy	Judge Reinhold	Tony Scott	
368	368	Kung Fu Panda 3	Fox	299.6	121.4	0.405	178.2	0.595	2016	7.8	tt2267968	Jack Black	Bryan Cranston	Alessandro Carloni	Jennifer Yuh Nelson
369	369	My Best Friend's Wedding	Sony	299.3	127.1	0.425	172.2	0.575	1997	6.3	tt0119738	Julia Roberts	Dermot Mulroney	P.J. Hogan	
370	370	Real Steel	BV	299.3	85.5	0.286	213.8	0.714	2011	7.1	tt0433035	Hugh Jackman	Dakota Goyo	Shawn Levy	
371	371	The Divergent Series: Insurgent	LG/S	297.3	130.2	0.438	167.1	0.562	2015	6.3	tt2908446	Kate Winslet	Jai Courtney	Robert Schwentke	
372	372	Dr. Seuss' Horton Hears a Who!	Fox	297.1	154.5	0.52	142.6	0.48	2008	6.9	tt0451079	Jim Carrey	Steve Carell	Jimmy Hayward	Steve Martino
373	373	Look Who's Talking	TriS	297	140.1	0.472	156.9	0.528	1989	5.8	tt0097778	John Travolta	Kirstie Alley	Amy Heckerling	
374	374	Austin Powers in Goldmember	NL	296.7	213.3	0.719	83.3	0.281	2002	6.2	tt0295178	Mike Myers	Beyonc¨¦ Knowles	Jay Roach	
375	375	X-Men	Fox	296.3	157.3	0.531	139	0.469	2000	7.4	tt0120903	Hugh Jackman	Patrick Stewart	Bryan Singer	
376	376	Resident Evil: Afterlife	SGem	296.2	60.1	0.203	236.1	0.797	2010	6.3	tt0432021	Milla Jovovich	Oded Fehr	Russell Mulcahy	
377	377	Ghostbusters	Col.	295.2	242.2	0.82	53	0.18	1984^	7.8	tt0087332	Bill Murray	Dan Aykroyd	Ivan Reitman	
378	378	Shutter Island	Par.	294.8	128	0.434	166.8	0.566	2010	8.1	tt1130884	Leonardo DiCaprio	Mark Ruffalo	Martin Scorsese	
379	379	Doctor Dolittle	Fox	294.5	144.2	0.49	150.3	0.51	1998	5.3	tt0118998	Eddie Murphy	Ossie Davis	Betty Thomas	
380	380	Salt	Sony	293.5	118.3	0.403	175.2	0.597	2010	6.4	tt0944835	Angelina Jolie	Liev Schreiber	Phillip Noyce	
381	381	G-Force	BV	292.8	119.4	0.408	173.4	0.592	2009	5.1	tt0436339	Bill Nighy	Will Arnett	Hoyt Yeatman	
382	382	What Lies Beneath	DW	291.4	155.5	0.533	136	0.467	2000	6.6	tt0161081	Michelle Pfeiffer	Katharine Towne	Robert Zemeckis	
383	383	The Departed	WB	289.8	132.4	0.457	157.5	0.543	2006	8.5	tt0407887	Leonardo DiCaprio	Matt Damon	Martin Scorsese	
384	384	Shakespeare in Love	Mira.	289.3	100.3	0.347	189	0.653	1998	7.2	tt0138097	Geoffrey Rush	Tom Wilkinson	John Madden	
385	385	Fantastic Four: Rise of the Silver Surfer	Fox	289	131.9	0.456	157.1	0.544	2007	5.6	tt0486576	Ioan Gruffudd	Jessica Alba	Tim Story	
386	386	Divergent	LG/S	288.9	150.9	0.523	137.9	0.477	2014	6.8	tt1840309	Shailene Woodley	Theo James	Neil Burger	
387	387	Coming to America	Par.	288.8	128.2	0.444	160.6	0.556	1988	6.9	tt0094898	Eddie Murphy	Arsenio Hall	John Landis	
388	388	The Bourne Supremacy	Uni.	288.5	176.2	0.611	112.3	0.389	2004	7.8	tt0372183	Matt Damon	Franka Potente	Paul Greengrass	
389	389	Bridesmaids	Uni.	288.4	169.1	0.586	119.3	0.414	2011	6.8	tt1478338	Kristen Wiig	Terry Crews	Paul Feig	
390	390	Sex and the City 2	WB (NL)	288.3	95.3	0.331	193	0.669	2010	4.3	tt1261945	Sarah Jessica Parker	Kristin Davis	Michael Patrick King	
391	391	Casper	Uni.	287.9	100.3	0.348	187.6	0.652	1995	6	tt0112642	Chauncey Leopardi	Spencer Vrooman	Brad Silberling	
392	392	Bee Movie	P/DW	287.6	126.6	0.44	161	0.56	2007	6.2	tt0389790	Jerry Seinfeld	Ren¨¦e Zellweger	Steve Hickner	Simon J. Smith
393	393	American Pie 2	Uni.	287.6	145.1	0.505	142.5	0.495	2001	6.4	tt0252866	Jason Biggs	Shannon Elizabeth	J.B. Rogers	
394	394	Pitch Perfect 2	Uni.	287.5	184.3	0.641	103.2	0.359	2015	6.5	tt2848292	Anna Kendrick	Rebel Wilson	Elizabeth Banks	
395	395	The Green Mile	WB	286.8	136.8	0.477	150	0.523	1999	8.5	tt0120689	Tom Hanks	David Morse	Frank Darabont	
396	396	Oblivion	Uni.	286.2	89.1	0.311	197.1	0.689	2013	7	tt1483013	Tom Cruise	Morgan Freeman	Joseph Kosinski	
397	397	Elysium	TriS	286.1	93.1	0.325	193.1	0.675	2013	6.6	tt1535108	Matt Damon	Jodie Foster	Neill Blomkamp	
398	398	Lethal Weapon 4	WB	285.4	130.4	0.457	155	0.543	1998	6.6	tt0122151	Mel Gibson	Danny Glover	Richard Donner	
399	399	Wedding Crashers	NL	285.2	209.3	0.734	75.9	0.266	2005	7	tt0396269	Owen Wilson	Vince Vaughn	David Dobkin	
400	400	John Carter	BV	284.1	73.1	0.257	211.1	0.743	2012	6.6	tt0401729	Taylor Kitsch	Lynn Collins	Andrew Stanton	
401	401	Turbo	Fox	282.6	83	0.294	199.5	0.706	2013	6.5	tt1860353	Ryan Reynolds	Paul Giamatti	David Soren	
402	402	Bridget Jones's Diary	Mira.	281.9	71.5	0.254	210.4	0.746	2001	6.7	tt0243155	Ren¨¦e Zellweger	Gemma Jones	Sharon Maguire	
403	403	The Tourist	Sony	278.3	67.6	0.243	210.7	0.757	2010	6	tt1243957	Johnny Depp	Angelina Jolie	Florian Henckel von Donnersmarck	
404	404	Scary Movie	Mira.	278	157	0.565	121	0.435	2000	7.2	tt0117571	Drew Barrymore	Roger Jackson	Wes Craven	
405	405	XXX	SonR	277.4	142.1	0.512	135.3	0.488	2002	5.8	tt0295701	Vin Diesel	Asia Argento	Rob Cohen	
406	406	The Bourne Legacy	Uni.	276.1	113.2	0.41	162.9	0.59	2012	6.7	tt1194173	Jeremy Renner	Scott Glenn	Tony Gilroy	
407	407	Mr. Peabody & Sherman	Fox	275.7	111.5	0.404	164.2	0.596	2014	6.9	tt0864835	Ty Burrell	Max Charles	Rob Minkoff	
408	408	Scooby-Doo	WB	275.7	153.3	0.556	122.4	0.444	2002	4.9	tt0267913	Freddie Prinze Jr.	Sarah Michelle Gellar	Raja Gosnell	
409	409	Lincoln	BV	275.3	182.2	0.662	93.1	0.338	2012	7.4	tt0443272	Daniel Day-Lewis	Sally Field	Steven Spielberg	
410	410	Spirited Away	BV	274.9	10.1	0.037	264.9	0.963	2002	8.6	tt0245429	Rumi Hiiragi	Miyu Irino	Hayao Miyazaki	
411	411	Lara Croft: Tomb Raider	Par.	274.7	131.2	0.477	143.5	0.523	2001	5.7	tt0146316	Angelina Jolie	Jon Voight	Simon West	
412	412	The Expendables	LGF	274.5	103.1	0.376	171.4	0.624	2010	6.5	tt1320253	Sylvester Stallone	Jason Statham	Sylvester Stallone	
413	413	Cloudy with a Chance of Meatballs 2	Sony	274.3	119.8	0.437	154.5	0.563	2013	6.5	tt1985966	Bill Hader	Anna Faris	Cody Cameron	Kris Pearn
414	414	The Nutty Professor (1996)	Uni.	274	128.8	0.47	145.1	0.53	1996	5.6	tt0117218	Eddie Murphy	Jada Pinkett Smith	Tom Shadyac	
415	415	Jerry Maguire	Sony	273.6	154	0.563	119.6	0.437	1996	7.3	tt0116695	Tom Cruise	Cuba Gooding Jr.	Cameron Crowe	
416	416	Bad Boys II	Sony	273.3	138.6	0.507	134.7	0.493	2003	6.6	tt0172156	Martin Lawrence	Will Smith	Michael Bay	
417	417	Lilo & Stitch	BV	273.1	145.8	0.534	127.3	0.466	2002	7.2	tt0275847	Daveigh Chase	Chris Sanders	Dean DeBlois	Chris Sanders
418	418	The Silence of the Lambs	Orion	272.7	130.7	0.479	142	0.521	1991	8.6	tt0102926	Jodie Foster	Lawrence A. Bonney	Jonathan Demme	
419	419	Grown Ups	Sony	271.4	162	0.597	109.4	0.403	2010	6	tt1375670	Adam Sandler	Kevin James	Dennis Dugan	
420	420	Neighbors	Uni.	270.7	150.2	0.555	120.5	0.445	2014	6.4	tt2004420	Seth Rogen	Rose Byrne	Nicholas Stoller	
421	421	The Firm	Par.	270.2	158.3	0.586	111.9	0.414	1993	6.8	tt0106918	Tom Cruise	Jeanne Tripplehorn	Sydney Pollack	
422	422	We're the Millers	WB (NL)	270	150.4	0.557	119.6	0.443	2013	7	tt1723121	Jennifer Aniston	Jason Sudeikis	Rawson Marshall Thurber	
423	423	Gran Torino	WB	270	148.1	0.549	121.9	0.451	2008	8.2	tt1205489	Clint Eastwood	Christopher Carley	Clint Eastwood	
424	424	"10,000 B.C."	WB	269.8	94.8	0.351	175	0.649	2008	5.1	tt0443649	Steven Strait	Camilla Belle	Roland Emmerich	
425	425	Epic	Fox	268.4	107.5	0.401	160.9	0.599	2013	6.7	tt0848537	Blake Anderson	Aziz Ansari	Chris Wedge	
426	426	Exodus: Gods and Kings	Fox	268.2	65	0.242	203.2	0.758	2014	6.1	tt1528100	Christian Bale	Joel Edgerton	Ridley Scott	
427	427	Bambi	RKO	267.4	102.2	0.382	165.2	0.618	1942^	7.4	tt0034492	Hardie Albright	Stan Alexander	James Algar	Samuel Armstrong
428	428	The Princess and the Frog	BV	267	104.4	0.391	162.6	0.609	2009	7.2	tt0780521	Anika Noni Rose	Bruno Campos	Ron Clements	John Musker
429	429	Batman Returns	WB	266.8	162.8	0.61	104	0.39	1992	7	tt0103776	Michael Keaton	Danny DeVito	Tim Burton	
430	430	Something's Gotta Give	Sony	266.7	124.7	0.468	142	0.532	2003	6.7	tt0337741	Jack Nicholson	Diane Keaton	Nancy Meyers	
431	431	Indecent Proposal	Par.	266.6	106.6	0.4	160	0.6	1993	5.8	tt0107211	Robert Redford	Demi Moore	Adrian Lyne	
432	432	American Gangster	Uni.	266.5	130.2	0.488	136.3	0.512	2007	7.8	tt0765429	Denzel Washington	Russell Crowe	Ridley Scott	
433	433	Waterworld	Uni.	264.2	88.2	0.334	176	0.666	1995	6.1	tt0114898	Kevin Costner	Chaim Jeraffi	Kevin Reynolds	
434	434	The Truman Show	Par.	264.1	125.6	0.476	138.5	0.524	1998	8.1	tt0120382	Jim Carrey	Laura Linney	Peter Weir	
435	435	Charlie's Angels	Sony	264.1	125.3	0.474	138.8	0.526	2000	5.5	tt0160127	Cameron Diaz	Drew Barrymore	McG	
436	436	The Fifth Element	Sony	263.9	63.8	0.242	200.1	0.758	1997	7.6	tt0119116	Bruce Willis	Gary Oldman	Luc Besson	
437	437	The Incredible Hulk	Uni.	263.4	134.8	0.512	128.6	0.488	2008	6.8	tt0800080	Edward Norton	Liv Tyler	Louis Leterrier	
438	438	Jumanji	Sony	262.8	100.5	0.382	162.3	0.618	1995	6.9	tt0113497	Robin Williams	Jonathan Hyde	Joe Johnston	
439	439	Bridget Jones: The Edge of Reason	Uni.	262.5	40.2	0.153	222.3	0.847	2004	5.9	tt0317198	Ren¨¦e Zellweger	Gemma Jones	Beeban Kidron	
440	440	Knight & Day	Fox	261.9	76.4	0.292	185.5	0.708	2010	6.3	tt1013743	Tom Cruise	Cameron Diaz	James Mangold	
441	441	Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan	Fox	261.6	128.5	0.491	133.1	0.509	2006	7.3	tt0443453	Sacha Baron Cohen	Ken Davitian	Larry Charles	
442	442	Total Recall	Sony	261.3	119.4	0.457	141.9	0.543	1990^	7.5	tt0100802	Arnold Schwarzenegger	Rachel Ticotin	Paul Verhoeven	
443	443	Michael Jackson's This Is It	Sony	261.2	72.1	0.276	189.1	0.724	2009	7.3	tt1477715	Michael Jackson	Rachel Ticotin	Kenny Ortega	
444	444	Robots	Fox	260.7	128.2	0.492	132.5	0.508	2005	6.3	tt0358082	Paula Abdul	Halle Berry	Chris Wedge	Carlos Saldanha
445	445	The Lone Ranger	BV	260.5	89.3	0.343	171.2	0.657	2013	6.5	tt1210819	Johnny Depp	Armie Hammer	Gore Verbinski	
446	446	Super 8	Par.	260.1	127	0.488	133.1	0.512	2011	7.1	tt1650062	Joel Courtney	Jessica Tuck	J.J. Abrams	
447	447	Paddington	W/Dim.	259.6	76.3	0.294	183.3	0.706	2015	7.2	tt1109624	Tim Downie	Madeleine Worrall	Paul King	
448	448	Charlie's Angels: Full Throttle	Sony	259.2	100.8	0.389	158.3	0.611	2003	4.8	tt0305357	Cameron Diaz	Drew Barrymore	McG	
449	449	Rush Hour 3	NL	258	140.1	0.543	117.9	0.457	2007	6.2	tt0293564	Chris Tucker	Jackie Chan	Brett Ratner	
450	450	The Full Monty	FoxS	257.9	46	0.178	212	0.822	1997	7.2	tt0119164	Robert Carlyle	Mark Addy	Peter Cattaneo	
451	451	Annabelle	WB (NL)	256.9	84.3	0.328	172.6	0.672	2014	5.4	tt3322940	Annabelle Wallis	Ward Horton	John R. Leonetti	
452	452	The Village	BV	256.7	114.2	0.445	142.5	0.555	2004	6.5	tt0368447	Bryce Dallas Howard	Joaquin Phoenix	M. Night Shyamalan	
453	453	Erin Brockovich	Uni.	256.3	125.6	0.49	130.7	0.51	2000	7.3	tt0195685	Julia Roberts	David Brisbin	Steven Soderbergh	
454	454	Cliffhanger	TriS	255	84	0.33	171	0.67	1993	6.4	tt0106582	Sylvester Stallone	John Lithgow	Renny Harlin	
455	455	Babe	Uni.	254.1	63.7	0.25	190.5	0.75	1995	6.8	tt0112431	Christine Cavanaugh	Miriam Margolyes	Chris Noonan	
456	456	Wild Hogs	BV	253.6	168.3	0.663	85.4	0.337	2007	5.9	tt0486946	Tim Allen	John Travolta	Walt Becker	
457	457	High School Musical 3: Senior Year	BV	252.9	90.6	0.358	162.3	0.642	2008	4.4	tt0962726	Zac Efron	Vanessa Hudgens	Kenny Ortega	
458	458	Hercules	BV	252.7	99.1	0.392	153.6	0.608	1997	7.2	tt0119282	Tate Donovan	Josh Keaton	Ron Clements	John Musker
459	459	True Grit	Par.	252.3	171.2	0.679	81	0.321	2010	7.7	tt1403865	Jeff Bridges	Hailee Steinfeld	Ethan Coen	Joel Coen
460	460	Bean	Gram.	251.2	45.3	0.18	205.9	0.82	1997	6.3	tt0118689	Rowan Atkinson	Peter MacNicol	Mel Smith	
461	461	American Hustle	Sony	251.2	150.1	0.598	101.1	0.402	2013	7.3	tt1800241	Christian Bale	Bradley Cooper	David O. Russell	
462	462	You've Got Mail	WB	250.8	115.8	0.462	135	0.538	1998	6.5	tt0128853	Tom Hanks	Meg Ryan	Nora Ephron	
463	463	Enemy of the State	BV	250.6	111.5	0.445	139.1	0.555	1998	7.3	tt0120660	Will Smith	Gene Hackman	Tony Scott	
464	464	Brother Bear	BV	250.4	85.3	0.341	165.1	0.659	2003	6.8	tt0328880	Joaquin Phoenix	Jeremy Suarez	Aaron Blaise	Robert Walker
465	465	The Mask of Zorro	Sony	250.3	94.1	0.376	156.2	0.624	1998	6.7	tt0120746	Jos¨¦ Mar¨ªa de Tavira	Diego Sieres	Martin Campbell	
466	466	Eragon	Fox	249.5	75	0.301	174.5	0.699	2006	5.1	tt0449010	Ed Speleers	Jeremy Irons	Stefen Fangmeier	
467	467	The Ring	DW	249.3	129.1	0.518	120.2	0.482	2002	7.1	tt0298130	Naomi Watts	Martin Henderson	Gore Verbinski	
468	468	The Blair Witch Project	Art.	248.6	140.5	0.565	108.1	0.435	1999	6.4	tt0185937	Heather Donahue	Joshua Leonard	Daniel Myrick	Eduardo S¨¢nchez
469	469	Unbreakable	BV	248.1	95	0.383	153.1	0.617	2000	7.2	tt0217869	Bruce Willis	Samuel L. Jackson	M. Night Shyamalan	
470	470	Dumb and Dumber	NL	247.3	127.2	0.514	120.1	0.486	1994	7.3	tt0109686	Jim Carrey	Jeff Daniels	Peter Farrelly	Bobby Farrelly
471	471	Grown Ups 2	Sony	247	133.7	0.541	113.3	0.459	2013	5.4	tt2191701	Adam Sandler	Kevin James	Dennis Dugan	
472	472	Love Actually	Uni.	246.9	59.7	0.242	187.2	0.758	2003	7.7	tt0314331	Bill Nighy	Gregor Fisher	Richard Curtis	
473	473	Rango	Par.	245.7	123.5	0.503	122.2	0.497	2011	7.2	tt1192628	Johnny Depp	Isla Fisher	Gore Verbinski	
474	474	Four Weddings and a Funeral	Gram.	245.7	52.7	0.214	193	0.786	1994	7.1	tt0109831	Hugh Grant	James Fleet	Mike Newell	
475	475	Face/Off	Par.	245.7	112.3	0.457	133.4	0.543	1997	7.3	tt0119094	John Travolta	Nicolas Cage	John Woo	
476	476	The Peanuts Movie	Fox	245.7	130.1	0.53	115.5	0.47	2015	7.3	tt2452042	Trombone Shorty	Rebecca Bloom	Steve Martino	
477	477	Dark Shadows	WB	245.5	79.7	0.325	165.8	0.675	2012	8.1	tt0059978	Jonathan Frid	Grayson Hall	Dan Curtis	
478	478	Hulk	Uni.	245.4	132.2	0.539	113.2	0.461	2003	5.7	tt0286716	Eric Bana	Jennifer Connelly	Ang Lee	
479	479	Bienvenue chez les Ch'tis		245.1	n/a	0	245.1	1	0	7.1	tt1064932	Kad Merad	Dany Boon	Dany Boon	
480	480	The Godfather	Par.	245.1	135	0.551	110.1	0.449	1972^	9.2	tt0068646	Marlon Brando	Al Pacino	Francis Ford Coppola	
481	481	Hercules (2014)	Par.	244.8	72.7	0.297	172.1	0.703	2014	7.2	tt0119282	Tate Donovan	Josh Keaton	Ron Clements	John Musker
482	482	Back to the Future Part III	Uni.	244.5	87.7	0.359	156.8	0.641	1990	7.4	tt0099088	Michael J. Fox	Christopher Lloyd	Robert Zemeckis	
483	483	Rush Hour	NL	244.4	141.2	0.578	103.2	0.422	1998	6.9	tt0120812	Ken Leung	Jackie Chan	Brett Ratner	
484	484	After Earth	Sony	243.8	60.5	0.248	183.3	0.752	2013	4.9	tt1815862	Jaden Smith	Will Smith	M. Night Shyamalan	
485	485	Pixels	Sony	243.5	78.7	0.323	164.7	0.677	2015	5.7	tt2120120	Adam Sandler	Kevin James	Chris Columbus	
486	486	A Few Good Men	Col.	243.2	141.3	0.581	101.9	0.419	1992	7.6	tt0104257	Tom Cruise	Jack Nicholson	Rob Reiner	
487	487	Cloudy with a Chance of Meatballs	Sony	243	124.9	0.514	118.1	0.486	2009	7	tt0844471	Bill Hader	Anna Faris	Phil Lord	Christopher Miller
488	488	8 Mile	Uni.	242.9	116.8	0.481	126.1	0.519	2002	7	tt0298203	Eminem	Kim Basinger	Curtis Hanson	
489	489	Marley and Me	Fox	242.7	143.2	0.59	99.6	0.41	2008	7.1	tt0822832	Owen Wilson	Jennifer Aniston	David Frankel	
490	490	RoboCop (2014)	Sony	242.7	58.6	0.241	184.1	0.759	2014	5.7	tt0100502	Belinda Bauer	John Glover	Irvin Kershner	
491	491	Eraser	WB	242.3	101.3	0.418	141	0.582	1996	6.1	tt0116213	Arnold Schwarzenegger	James Caan	Chuck Russell	
492	492	Journey to the Center of the Earth	WB (NL)	242	101.7	0.42	140.3	0.58	2008	5.8	tt0373051	Brendan Fraser	Josh Hutcherson	Eric Brevig	
493	493	Resident Evil: Retribution	SGem	240.2	42.3	0.176	197.8	0.824	2012	5.4	tt1855325	Milla Jovovich	Sienna Guillory	Paul W.S. Anderson	
494	494	Die Hard 2: Die Harder	Fox	240	117.5	0.49	122.5	0.51	1990	7.1	tt0099423	Bruce Willis	Bonnie Bedelia	Renny Harlin	
495	495	Crocodile Dundee II	Par.	239.6	109.3	0.456	130.3	0.544	1988	5.5	tt0092493	Paul Hogan	Linda Kozlowski	John Cornell	
496	496	Planes	BV	239.3	90.3	0.377	149	0.623	2013	5.8	tt1691917	Dane Cook	Stacy Keach	Klay Hall	
497	497	Batman and Robin	WB	238.2	107.3	0.451	130.9	0.549	1997	3.7	tt0118688	Arnold Schwarzenegger	George Clooney	Joel Schumacher	
498	498	Click	SonR	237.7	137.4	0.578	100.3	0.422	2006	6.4	tt0389860	Adam Sandler	Kate Beckinsale	Frank Coraci	
499	499	Gulliver's Travels	Fox	237.4	42.8	0.18	194.6	0.82	2010	4.9	tt1320261	Jack Black	Jason Segel	Rob Letterman	
500	500	Gone in 60 Seconds	BV	237.2	101.6	0.429	135.6	0.571	2000	6.5	tt0187078	Nicolas Cage	Giovanni Ribisi	Dominic Sena	
501	501	Saturday Night Fever	Par.	237.1	94.2	0.397	142.9	0.603	1977	6.8	tt0076666	John Travolta	Karen Lynn Gorney	John Badham	
502	502	Silver Linings Playbook	Wein.	236.4	132.1	0.559	104.3	0.441	2012	7.8	tt1045658	Bradley Cooper	Jennifer Lawrence	David O. Russell	
503	503	2 Fast 2 Furious	Uni.	236.4	127.2	0.538	109.2	0.462	2003	5.8	tt0322259	Paul Walker	Tyrese Gibson	John Singleton	
504	504	A.I. Artificial Intelligence	WB	235.9	78.6	0.333	157.3	0.667	2001	7.1	tt0212720	Haley Joel Osment	Frances O'Connor	Steven Spielberg	
505	505	Dead Poets Society	BV	235.9	95.9	0.406	140	0.594	1989	8	tt0097165	Robin Williams	Robert Sean Leonard	Peter Weir	
506	506	Spy	Fox	235.7	110.8	0.47	124.8	0.53	2015	7.1	tt3079380	Jude Law	Raad Rawi	Paul Feig	
507	507	American Pie	Uni.	235.5	102.6	0.436	132.9	0.564	1999	7	tt0163651	Jason Biggs	Chris Klein	Paul Weitz	Chris Weitz
508	508	Howl's Moving Castle	BV	235.2	4.7	0.02	230.5	0.98	2005	8.2	tt0347149	Chieko Baish_	Takuya Kimura	Hayao Miyazaki	
509	509	American Reunion	Uni.	235	57	0.243	178	0.757	2012	6.7	tt1605630	Jason Biggs	Alyson Hannigan	Jon Hurwitz	Hayden Schlossberg
510	510	Big Daddy	Sony	234.8	163.5	0.696	71.3	0.304	1999	6.4	tt0142342	Adam Sandler	Joey Lauren Adams	Dennis Dugan	
511	511	Daddy's Home	Par.	234.7	148	0.631	86.7	0.369	2015	5.8	tt0097778	John Travolta	Kirstie Alley	Amy Heckerling	
512	512	The Day the Earth Stood Still (2008)	Fox	233.1	79.4	0.34	153.7	0.66	2008	5.5	tt0970416	Keanu Reeves	Jennifer Connelly	Scott Derrickson	
513	513	The Girl with the Dragon Tattoo (2011)	Sony	232.6	102.5	0.441	130.1	0.559	2011	2.6	tt2417650	Ashley Martin	Austin Michael Scott	Craig Moss	
514	514	Argo	WB	232.3	136	0.585	96.3	0.415	2012	7.8	tt1024648	Ben Affleck	Bryan Cranston	Ben Affleck	
515	515	The English Patient	Mira.	232	78.7	0.339	153.3	0.661	1996	7.4	tt0116209	Ralph Fiennes	Juliette Binoche	Anthony Minghella	
516	516	Sister Act	BV	231.6	139.6	0.603	92	0.397	1992	6.2	tt0105417	Whoopi Goldberg	Maggie Smith	Emile Ardolino	
517	517	American Wedding	Uni.	231.4	104.6	0.452	126.9	0.548	2003	6.3	tt0328828	Jason Biggs	Seann William Scott	Jesse Dylan	
518	518	Juno	FoxS	231.4	143.5	0.62	87.9	0.38	2007	7.5	tt0467406	Ellen Page	Michael Cera	Jason Reitman	
519	519	Constantine	WB	230.9	76	0.329	154.9	0.671	2005	6.9	tt0360486	Keanu Reeves	Rachel Weisz	Francis Lawrence	
520	520	Get Smart	WB	230.7	130.3	0.565	100.4	0.435	2008	6.5	tt0425061	Steve Carell	Anne Hathaway	Peter Segal	
521	521	Space Jam	WB	230.4	90.4	0.392	140	0.608	1996	6.3	tt0117705	Michael Jordan	Wayne Knight	Joe Pytka	
522	522	The Heat	Fox	229.9	159.6	0.694	70.3	0.306	2013	6.6	tt2404463	Sandra Bullock	Melissa McCarthy	Paul Feig	
523	523	Mr. Bean's Holiday	Uni.	229.7	33.3	0.145	196.4	0.855	2007	6.3	tt0453451	Rowan Atkinson	Steve Pemberton	Steve Bendelack	
524	524	Life Is Beautiful	Mira.	229.2	57.6	0.251	171.6	0.749	1998^	8.6	tt0118799	Roberto Benigni	Nicoletta Braschi	Roberto Benigni	
525	525	Ghost Rider	Sony	228.7	115.8	0.506	112.9	0.494	2007	5.2	tt0259324	Matt Long	Raquel Alessi	Mark Steven Johnson	
526	526	Lethal Weapon 2	WB	227.9	147.3	0.646	80.6	0.354	1989	7.2	tt0097733	Mel Gibson	Danny Glover	Richard Donner	
527	527	The Green Hornet	Sony	227.8	98.8	0.434	129	0.566	2011	5.9	tt0990407	Seth Rogen	Jay Chou	Michel Gondry	
528	528	Sleepless in Seattle	TriS	227.8	126.7	0.556	101.1	0.444	1993	6.8	tt0108160	Tom Hanks	Ross Malinger	Nora Ephron	
529	529	The Imitation Game	Wein.	227.8	91.1	0.4	136.6	0.6	2014	8.1	tt2084970	Benedict Cumberbatch	Keira Knightley	Morten Tyldum	
530	530	Immortals	Rela.	226.9	83.5	0.368	143.4	0.632	2011	6.1	tt1253864	Henry Cavill	Mickey Rourke	Tarsem Singh	
531	531	Taken	Fox	226.8	145	0.639	81.8	0.361	2009	7.9	tt0936501	Liam Neeson	Maggie Grace	Pierre Morel	
532	532	Percy Jackson & The Olympians: The Lightning Thief	Fox	226.5	88.8	0.392	137.7	0.608	2010	5.9	tt0814255	Logan Lerman	Brandon T. Jackson	Chris Columbus	
533	533	Hansel and Gretel: Witch Hunters	Par.	226.3	55.7	0.246	170.6	0.754	2013	6.1	tt1428538	Jeremy Renner	Gemma Arterton	Tommy Wirkola	
534	534	Good Will Hunting	Mira.	225.9	138.4	0.613	87.5	0.387	1997	8.3	tt0119217	Matt Damon	Robin Williams	Gus Van Sant	
535	535	The Social Network	Sony	224.9	97	0.431	128	0.569	2010	7.7	tt1285016	Jesse Eisenberg	Rooney Mara	David Fincher	
536	536	Chicken Run	DW	224.8	106.8	0.475	118	0.525	2000	7	tt0120630	Phil Daniels	Lynn Ferguson	Peter Lord	Nick Park
