"rank"	"reviewnum"	"title"	"tomato_rating"	"year"	"title1"
"715"	14	130	"Y Tu Mama Tambien "	"92%"	"2001"	"ytumamatambien"
"716"	15	98	"No Man's Land "	"93%"	"2001"	"noman'sland"
"717"	16	70	"Sous le sable Under the Sand) "	"94%"	"2001"	"souslesableunderthesand)"
"718"	17	70	"Last Resort "	"94%"	"2001"	"lastresort"
"719"	18	117	"The Devil's Backbone El Espinazo del diablo) "	"92%"	"2001"	"thedevil'sbackboneelespinazodeldiablo)"
"720"	19	111	"Amores Perros "	"92%"	"2001"	"amoresperros"
"721"	20	81	"Apocalypse Now Redux "	"93%"	"2001"	"apocalypsenowredux"
"722"	21	106	"Hedwig and the Angry Inch "	"92%"	"2001"	"hedwigandtheangryinch"
"723"	22	95	"Dogtown and Z-Boys "	"92%"	"2001"	"dogtownandz-boys"
"724"	23	177	"Amü¾Ž†„¼ü¾¦„¼lie "	"89%"	"2001"	"amü¾Ž†„¼ü¾¦„¼lie"
"725"	24	93	"Startup.com "	"92%"	"2001"	"startup.com"
"726"	25	200	"Shrek "	"88%"	"2001"	"shrek"
"727"	26	60	"The Circle Dayereh) "	"93%"	"2001"	"thecircledayereh)"
"728"	27	85	"Mostly Martha Bella Martha) "	"92%"	"2001"	"mostlymarthabellamartha)"
"729"	28	119	"In the Mood for Love "	"90%"	"2001"	"inthemoodforlove"
"730"	29	52	"Millennium Actress Sennen joy_) "	"92%"	"2001"	"millenniumactresssennenjoy_)"
"731"	30	91	"Iron Monkey "	"90%"	"2001"	"ironmonkey"
"732"	31	79	"Together "	"90%"	"2001"	"together"
"733"	32	44	"Dinner Rush "	"91%"	"2001"	"dinnerrush"
"734"	33	96	"Kandahar: Le soleil derriü¾Ž†„¼ü¾Ž†„¼re la lune "	"89%"	"2001"	"kandahar:lesoleilderriü¾Ž†„¼ü¾Ž†„¼relalune"
"735"	34	61	"Divided We Fall "	"90%"	"2001"	"dividedwefall"
"736"	35	80	"The Road Home Wo de fu qin mu qin) "	"89%"	"2001"	"theroadhomewodefuqinmuqin)"
"737"	36	52	"Our Song "	"90%"	"2001"	"oursong"
"738"	37	42	"Eureka "	"90%"	"2001"	"eureka"
"739"	38	42	"Life And Debt "	"90%"	"2001"	"lifeanddebt"
"740"	39	152	"Gosford Park "	"86%"	"2001"	"gosfordpark"
"741"	40	61	"Trembling Before G-d "	"89%"	"2001"	"tremblingbeforeg-d"
"742"	41	83	"Italian for Beginners "	"88%"	"2001"	"italianforbeginners"
"743"	42	55	"Ginger Snaps "	"89%"	"2001"	"gingersnaps"
"744"	43	46	"101 Reykjavik "	"89%"	"2001"	"101reykjavik"
"745"	44	44	"Comment j'ai tuü¾Ž†„¼ü¾¦„¼ mon pü¾Ž†„¼ü¾Ž†„¼re My Father and I) "	"89%"	"2001"	"commentj'aituü¾Ž†„¼ü¾¦„¼monpü¾Ž†„¼ü¾Ž†„¼remyfatherandi)"
"746"	45	121	"Lovely & Amazing "	"86%"	"2001"	"lovely&amazing"
"747"	46	57	"Roozi ke zan shodam The Day I Became a Woman) "	"88%"	"2001"	"roozikezanshodamthedayibecameawoman)"
"748"	47	108	"Donnie Darko "	"85%"	"2001"	"donniedarko"
"749"	48	79	"The Closet Le Placard) "	"86%"	"2001"	"theclosetleplacard)"
"750"	49	77	"Va Savoir "	"86%"	"2001"	"vasavoir"
"751"	50	47	"Calle 54 "	"87%"	"2001"	"calle54"
"752"	51	46	"Akira "	"87%"	"2001"	"akira"
"753"	52	98	"Nowhere in Africa Nirgendwo in Afrika) "	"85%"	"2001"	"nowhereinafricanirgendwoinafrika)"
"754"	53	69	"Faithless "	"86%"	"2001"	"faithless"
"755"	54	148	"The Others "	"83%"	"2001"	"theothers"
"756"	55	168	"Ocean's Eleven "	"82%"	"2001"	"ocean'seleven"
"757"	56	159	"Mulholland Drive "	"82%"	"2001"	"mulhollanddrive"
"758"	57	59	"Rain "	"85%"	"2001"	"rain"
"759"	58	113	"Thirteen Conversations About One Thing "	"83%"	"2001"	"thirteenconversationsaboutonething"
"760"	59	194	"Harry Potter and the Sorcerer's Stone "	"80%"	"2001"	"harrypotterandthesorcerer'sstone"
"761"	60	156	"The Man Who Wasn't There "	"81%"	"2001"	"themanwhowasn'tthere"
"762"	61	154	"Bridget Jones's Diary "	"81%"	"2001"	"bridgetjones'sdiary"
"763"	62	116	"The Deep End "	"82%"	"2001"	"thedeepend"
"764"	63	82	"L.I.E. "	"83%"	"2001"	"l.i.e."
"765"	64	50	"Ni na bian ji dian What Time Is It Over There?) "	"84%"	"2001"	"ninabianjidianwhattimeisitoverthere?)"
"766"	65	43	"Little Otik "	"84%"	"2001"	"littleotik"
"767"	66	141	"Waking Life "	"80%"	"2001"	"wakinglife"
"768"	67	74	"Innocence "	"82%"	"2001"	"innocence"
"769"	68	91	"The Business of Strangers "	"80%"	"2001"	"thebusinessofstrangers"
"770"	69	63	"Diamond Men "	"81%"	"2001"	"diamondmen"
"771"	70	57	"Lumumba "	"81%"	"2001"	"lumumba"
"772"	71	192	"Moulin Rouge! "	"76%"	"2001"	"moulinrouge!"
"773"	72	54	"Jump Tomorrow "	"81%"	"2001"	"jumptomorrow"
"774"	73	109	"Iris "	"79%"	"2001"	"iris"
"775"	74	204	"A Beautiful Mind "	"75%"	"2001"	"abeautifulmind"
"776"	75	121	"The Pledge "	"78%"	"2001"	"thepledge"
"777"	76	172	"Black Hawk Down "	"76%"	"2001"	"blackhawkdown"
"778"	77	98	"Tape "	"78%"	"2001"	"tape"
"779"	78	116	"The Tailor of Panama "	"77%"	"2001"	"thetailorofpanama"
"780"	79	190	"A.I. Artificial Intelligence "	"73%"	"2001"	"a.i.artificialintelligence"
"781"	80	124	"The Cat's Meow "	"75%"	"2001"	"thecat'smeow"
"782"	81	61	"Our Lady of the Assassins "	"77%"	"2001"	"ourladyoftheassassins"
"783"	82	139	"Snatch "	"73%"	"2001"	"snatch"
"784"	83	75	"Jimmy Neutron - Boy Genius "	"75%"	"2001"	"jimmyneutron-boygenius"
"785"	84	128	"The Score "	"73%"	"2001"	"thescore"
"786"	85	155	"Training Day "	"72%"	"2001"	"trainingday"
"787"	86	88	"Songcatcher "	"74%"	"2001"	"songcatcher"
"788"	87	114	"Buffalo Soldiers "	"73%"	"2001"	"buffalosoldiers"
"789"	88	113	"Joy Ride "	"73%"	"2001"	"joyride"
"790"	89	55	"Me You Them "	"75%"	"2001"	"meyouthem"
"791"	90	72	"Tortilla Soup "	"74%"	"2001"	"tortillasoup"
"792"	91	98	"Before Night Falls "	"73%"	"2001"	"beforenightfalls"
"793"	92	119	"Brotherhood of the Wolf "	"72%"	"2001"	"brotherhoodofthewolf"
"794"	93	81	"The Piano Teacher La Pianiste) "	"73%"	"2001"	"thepianoteacherlapianiste)"
"795"	94	46	"Behind the Sun "	"74%"	"2001"	"behindthesun"
"796"	95	83	"Fat Girl "	"72%"	"2001"	"fatgirl"
"797"	96	107	"Made "	"71%"	"2001"	"made"
"798"	97	67	"Chopper "	"72%"	"2001"	"chopper"
"799"	98	65	"Das Experiment The Experiment) "	"72%"	"2001"	"dasexperimenttheexperiment)"
"800"	99	92	"Baby Boy "	"71%"	"2001"	"babyboy"
"801"	100	61	"Happy Accidents "	"72%"	"2001"	"happyaccidents"
"802"	1	248	"The Lord of the Rings: The Two Towers "	"96%"	"2002"	"thelordoftherings:thetwotowers"
"803"	2	137	"Spellbound "	"98%"	"2002"	"spellbound"
"804"	3	195	"Catch Me If You Can "	"96%"	"2002"	"catchmeifyoucan"
"805"	4	178	"The Pianist "	"96%"	"2002"	"thepianist"
"806"	5	71	"Rivers and Tides: Andy Goldsworthy Working With Time "	"99%"	"2002"	"riversandtides:andygoldsworthyworkingwithtime"
"807"	6	163	"Bowling for Columbine "	"96%"	"2002"	"bowlingforcolumbine"
"808"	7	94	"The Man Without a Past "	"98%"	"2002"	"themanwithoutapast"
"809"	8	95	"Read My Lips "	"97%"	"2002"	"readmylips"
"810"	9	185	"About a Boy "	"94%"	"2002"	"aboutaboy"
"811"	10	44	"The Last Waltz "	"98%"	"2002"	"thelastwaltz"
"812"	11	119	"Monsoon Wedding "	"95%"	"2002"	"monsoonwedding"
"813"	12	200	"Insomnia "	"92%"	"2002"	"insomnia"
"814"	13	56	"Elsker Dig For Evigt "	"96%"	"2002"	"elskerdigforevigt"
"815"	14	240	"Minority Report "	"90%"	"2002"	"minorityreport"
"816"	15	47	"Promises "	"96%"	"2002"	"promises"
"817"	16	200	"Adaptation "	"91%"	"2002"	"adaptation"
"818"	17	61	"Mou gaan dou Infernal Affairs) "	"95%"	"2002"	"mougaandouinfernalaffairs)"
"819"	18	58	"The Trials of Henry Kissinger "	"95%"	"2002"	"thetrialsofhenrykissinger"
"820"	19	236	"Spider-Man "	"89%"	"2002"	"spider-man"
"821"	20	128	"Talk to Her "	"92%"	"2002"	"talktoher"
"822"	21	110	"The Kid Stays in the Picture "	"92%"	"2002"	"thekidstaysinthepicture"
"823"	22	104	"Bloody Sunday "	"92%"	"2002"	"bloodysunday"
"824"	23	67	"Knafayim Shvurot Broken Wings) "	"93%"	"2002"	"knafayimshvurotbrokenwings)"
"825"	24	93	"Nine Queens Nueve reinas) "	"92%"	"2002"	"ninequeensnuevereinas)"
"826"	25	90	"Standing in the Shadows of Motown "	"92%"	"2002"	"standingintheshadowsofmotown"
"827"	26	46	"Scratch "	"93%"	"2002"	"scratch"
"828"	27	244	"Chicago "	"86%"	"2002"	"chicago"
"829"	28	51	"Betty Fisher and Other Stories "	"92%"	"2002"	"bettyfisherandotherstories"
"830"	29	103	"Lantana "	"90%"	"2002"	"lantana"
"831"	30	94	"Atanarjuat "	"90%"	"2002"	"atanarjuat"
"832"	31	57	"The Weather Underground "	"91%"	"2002"	"theweatherunderground"
"833"	32	53	"Murderous Maids "	"91%"	"2002"	"murderousmaids"
"834"	33	140	"Rabbit-Proof Fence "	"88%"	"2002"	"rabbit-prooffence"
"835"	34	99	"Russian Ark "	"89%"	"2002"	"russianark"
"836"	35	122	"Roger Dodger "	"88%"	"2002"	"rogerdodger"
"837"	36	201	"About Schmidt "	"85%"	"2002"	"aboutschmidt"
"838"	37	42	"The Girl From Paris "	"90%"	"2002"	"thegirlfromparis"
"839"	38	62	"Baran "	"89%"	"2002"	"baran"
"840"	39	145	"Lilo & Stitch "	"86%"	"2002"	"lilo&stitch"
"841"	40	64	"Late Marriage "	"88%"	"2002"	"latemarriage"
"842"	41	59	"I Am Trying to Break Your Heart "	"88%"	"2002"	"iamtryingtobreakyourheart"
"843"	42	142	"Monster's Ball "	"85%"	"2002"	"monster'sball"
"844"	43	42	"Springtime in a Small Town Xiao cheng zhi chun) "	"88%"	"2002"	"springtimeinasmalltownxiaochengzhichun)"
"845"	44	230	"Harry Potter and the Chamber of Secrets "	"82%"	"2002"	"harrypotterandthechamberofsecrets"
"846"	45	99	"24 Hour Party People "	"86%"	"2002"	"24hourpartypeople"
"847"	46	130	"Spider "	"85%"	"2002"	"spider"
"848"	47	60	"Metropolis "	"87%"	"2002"	"metropolis"
"849"	48	185	"The Bourne Identity "	"83%"	"2002"	"thebourneidentity"
"850"	49	156	"Narc "	"83%"	"2002"	"narc"
"851"	50	57	"Son of the Bride "	"86%"	"2002"	"sonofthebride"
"852"	51	151	"The Rookie "	"83%"	"2002"	"therookie"
"853"	52	119	"Kissing Jessica Stein "	"84%"	"2002"	"kissingjessicastein"
"854"	53	211	"Road to Perdition "	"81%"	"2002"	"roadtoperdition"
"855"	54	51	"Lawless Heart "	"86%"	"2002"	"lawlessheart"
"856"	55	82	"Blind Spot: Hitler's Secretary "	"85%"	"2002"	"blindspot:hitler'ssecretary"
"857"	56	194	"One Hour Photo "	"81%"	"2002"	"onehourphoto"
"858"	57	187	"The Hours "	"81%"	"2002"	"thehours"
"859"	58	82	"La Stanza del Figlio The Son's Room) "	"84%"	"2002"	"lastanzadelfigliotheson'sroom)"
"860"	59	76	"Voyage de Morvern Callar "	"84%"	"2002"	"voyagedemorverncallar"
"861"	60	201	"The Royal Tenenbaums "	"80%"	"2002"	"theroyaltenenbaums"
"862"	61	68	"Margaret Cho - Notorious C.H.O. "	"84%"	"2002"	"margaretcho-notoriousc.h.o."
"863"	62	156	"The Good Girl "	"81%"	"2002"	"thegoodgirl"
"864"	63	124	"Barbershop "	"82%"	"2002"	"barbershop"
"865"	64	58	"Elling "	"84%"	"2002"	"elling"
"866"	65	89	"All or Nothing "	"83%"	"2002"	"allornothing"
"867"	66	84	"Real Women Have Curves "	"83%"	"2002"	"realwomenhavecurves"
"868"	67	122	"Stuart Little 2 "	"81%"	"2002"	"stuartlittle2"
"869"	68	90	"The Believer "	"82%"	"2002"	"thebeliever"
"870"	69	184	"Punch-Drunk Love "	"79%"	"2002"	"punch-drunklove"
"871"	70	53	"Pauline & Paulette "	"83%"	"2002"	"pauline&paulette"
"872"	71	83	"Drumline "	"82%"	"2002"	"drumline"
"873"	72	47	"Satin Rouge "	"83%"	"2002"	"satinrouge"
"874"	73	103	"Better Luck Tomorrow "	"81%"	"2002"	"betterlucktomorrow"
"875"	74	57	"Secret Ballot "	"82%"	"2002"	"secretballot"
"876"	75	148	"Antwone Fisher "	"79%"	"2002"	"antwonefisher"
"877"	76	45	"Gigantic "	"82%"	"2002"	"gigantic"
"878"	77	108	"Sunshine State "	"80%"	"2002"	"sunshinestate"
"879"	78	44	"Ghetto "	"82%"	"2002"	"ghetto"
"880"	79	124	"8 Women 8 Femmes) "	"79%"	"2002"	"8women8femmes)"
"881"	80	88	"The Wild Thornberrys Movie "	"80%"	"2002"	"thewildthornberrysmovie"
"882"	81	52	"Tully "	"81%"	"2002"	"tully"
"883"	82	206	"8 Mile "	"76%"	"2002"	"8mile"
"884"	83	47	"Biggie and Tupac "	"81%"	"2002"	"biggieandtupac"
"885"	84	165	"Ice Age "	"77%"	"2002"	"iceage"
"886"	85	89	"Last Orders "	"79%"	"2002"	"lastorders"
"887"	86	151	"Changing Lanes "	"77%"	"2002"	"changinglanes"
"888"	87	182	"Panic Room "	"76%"	"2002"	"panicroom"
"889"	88	202	"Gangs of New York "	"75%"	"2002"	"gangsofnewyork"
"890"	89	107	"Tadpole "	"78%"	"2002"	"tadpole"
"891"	90	228	"Signs "	"74%"	"2002"	"signs"
"892"	91	130	"Undercover Brother "	"77%"	"2002"	"undercoverbrother"
"893"	92	123	"Nicholas Nickleby "	"77%"	"2002"	"nicholasnickleby"
"894"	93	151	"Frida "	"76%"	"2002"	"frida"
"895"	94	110	"The Dangerous Lives of Altar Boys "	"77%"	"2002"	"thedangerouslivesofaltarboys"
"896"	95	42	"Akai Hashi No Shita Noo Nurui Mizu "	"79%"	"2002"	"akaihashinoshitanoonuruimizu"
"897"	96	129	"My Big Fat Greek Wedding "	"76%"	"2002"	"mybigfatgreekwedding"
"898"	97	128	"Igby Goes Down "	"76%"	"2002"	"igbygoesdown"
"899"	98	58	"11'09''01 - September 11 "	"78%"	"2002"	"11'09''01-september11"
"900"	99	146	"Secretary "	"75%"	"2002"	"secretary"
"901"	100	88	"Comedian "	"76%"	"2002"	"comedian"
"902"	1	253	"Finding Nemo "	"99%"	"2003"	"findingnemo"
"903"	2	262	"The Lord of the Rings: The Return of the King "	"95%"	"2003"	"thelordoftherings:thereturnoftheking"
"904"	3	138	"The Fog of War: Eleven Lessons from the Life of Robert S. McNamara "	"98%"	"2003"	"thefogofwar:elevenlessonsfromthelifeofroberts.mcnamara"
"905"	4	223	"Lost In Translation "	"95%"	"2003"	"lostintranslation"
"906"	5	147	"Capturing the Friedmans "	"97%"	"2003"	"capturingthefriedmans"
"907"	6	76	"Bus 174 _nibus 174) "	"99%"	"2003"	"bus174_nibus174)"
"908"	7	132	"Winged Migration "	"96%"	"2003"	"wingedmigration"
"909"	8	153	"The Station Agent "	"95%"	"2003"	"thestationagent"
"910"	9	87	"Sweet Sixteen "	"97%"	"2003"	"sweetsixteen"
"911"	10	181	"American Splendor "	"94%"	"2003"	"americansplendor"
"912"	11	48	"Chavez: Inside the Coup "	"98%"	"2003"	"chavez:insidethecoup"
"913"	12	107	"Raising Victor Vargas "	"96%"	"2003"	"raisingvictorvargas"
"914"	13	59	"To Be and to Have Etre et Avoir) "	"97%"	"2003"	"tobeandtohaveetreetavoir)"
"915"	14	79	"Festival Express "	"96%"	"2003"	"festivalexpress"
"916"	15	141	"The Triplets of Belleville "	"94%"	"2003"	"thetripletsofbelleville"
"917"	16	139	"Dirty Pretty Things "	"94%"	"2003"	"dirtyprettythings"
"918"	17	192	"School of Rock "	"92%"	"2003"	"schoolofrock"
"919"	18	95	"Spring, Summer, Fall, Winter...and Spring "	"95%"	"2003"	"spring,summer,fall,winter...andspring"
"920"	19	85	"The Return Vozvrashcheniye) "	"95%"	"2003"	"thereturnvozvrashcheniye)"
"921"	20	99	"Lost in La Mancha "	"94%"	"2003"	"lostinlamancha"
"922"	21	62	"The Best of Youth La meglio gioventü¾Ž†„¼ü¾†ˆ¼) "	"95%"	"2003"	"thebestofyouthlamegliogioventü¾Ž†„¼ü¾†ˆ¼)"
"923"	22	42	"Los Angeles Plays Itself "	"95%"	"2003"	"losangelesplaysitself"
"924"	23	166	"Shattered Glass "	"91%"	"2003"	"shatteredglass"
"925"	24	49	"Alien Saga "	"94%"	"2003"	"aliensaga"
"926"	25	111	"The Man on the Train "	"92%"	"2003"	"themanonthetrain"
"927"	26	156	"Cidade de Deus City of God) "	"90%"	"2003"	"cidadededeuscityofgod)"
"928"	27	147	"The Magdalene Sisters "	"90%"	"2003"	"themagdalenesisters"
"929"	28	146	"Whale Rider "	"90%"	"2003"	"whalerider"
"930"	29	83	"Saraband "	"92%"	"2003"	"saraband"
"931"	30	173	"In America "	"89%"	"2003"	"inamerica"
"932"	31	107	"Baadasssss! "	"91%"	"2003"	"baadasssss!"
"933"	32	219	"28 Days Later "	"87%"	"2003"	"28dayslater"
"934"	33	211	"Far From Heaven "	"87%"	"2003"	"farfromheaven"
"935"	34	173	"A Mighty Wind "	"88%"	"2003"	"amightywind"
"936"	35	235	"X2: X-Men United "	"86%"	"2003"	"x2:x-menunited"
"937"	36	75	"Stevie "	"91%"	"2003"	"stevie"
"938"	37	194	"Mystic River "	"87%"	"2003"	"mysticriver"
"939"	38	98	"Io non ho paura I'm Not Scared) "	"90%"	"2003"	"iononhopaurai'mnotscared)"
"940"	39	148	"Freaky Friday "	"88%"	"2003"	"freakyfriday"
"941"	40	225	"Kill Bill: Volume 1 "	"85%"	"2003"	"killbill:volume1"
"942"	41	151	"The Quiet American "	"87%"	"2003"	"thequietamerican"
"943"	42	210	"Master and Commander: The Far Side of the World "	"85%"	"2003"	"masterandcommander:thefarsideoftheworld"
"944"	43	65	"Tokyo Godfathers "	"89%"	"2003"	"tokyogodfathers"
"945"	44	63	"In This World "	"89%"	"2003"	"inthisworld"
"946"	45	188	"Elf "	"84%"	"2003"	"elf"
"947"	46	123	"Zat_ichi The Blind Swordsman: Zatoichi) "	"86%"	"2003"	"zat_ichitheblindswordsman:zatoichi)"
"948"	47	59	"The Five Obstructions "	"88%"	"2003"	"thefiveobstructions"
"949"	48	57	"The Son "	"88%"	"2003"	"theson"
"950"	49	150	"Bend It like Beckham "	"85%"	"2003"	"benditlikebeckham"
"951"	50	42	"Yossi & Jagger "	"88%"	"2003"	"yossi&jagger"
"952"	51	102	"Intimate Strangers "	"86%"	"2003"	"intimatestrangers"
"953"	52	67	"Lilja 4-ever "	"87%"	"2003"	"lilja4-ever"
"954"	53	63	"The Cuckoo "	"87%"	"2003"	"thecuckoo"
"955"	54	60	"Dracula: Pages From a Virgin's Diary "	"87%"	"2003"	"dracula:pagesfromavirgin'sdiary"
"956"	55	151	"Swimming Pool "	"84%"	"2003"	"swimmingpool"
"957"	56	53	"Noi the Albino Nü¾Ž†„¼ü¾™–„¼i albü¾Ž†„¼ü¾˜–„¼nü¾Ž†„¼ü¾™–„¼i) "	"87%"	"2003"	"noithealbinonü¾Ž†„¼ü¾™–„¼ialbü¾Ž†„¼ü¾˜–„¼nü¾Ž†„¼ü¾™–„¼i)"
"958"	57	147	"Pieces of April "	"84%"	"2003"	"piecesofapril"
"959"	58	52	"Ten "	"87%"	"2003"	"ten"
"960"	59	95	"The Secret Lives of Dentists "	"85%"	"2003"	"thesecretlivesofdentists"
"961"	60	182	"Matchstick Men "	"82%"	"2003"	"matchstickmen"
"962"	61	49	"Tibet: Cry of the Snow Lion "	"86%"	"2003"	"tibet:cryofthesnowlion"
"963"	62	80	"Monsieur Ibrahim et les fleurs du Coran Monsieur Ibrahim) "	"85%"	"2003"	"monsieuribrahimetlesfleursducoranmonsieuribrahim)"
"964"	63	59	"A Tale of Two Sisters "	"85%"	"2003"	"ataleoftwosisters"
"965"	64	52	"Chaos "	"85%"	"2003"	"chaos"
"966"	65	64	"Gloomy Sunday "	"84%"	"2003"	"gloomysunday"
"967"	66	150	"Thirteen "	"81%"	"2003"	"thirteen"
"968"	67	178	"21 Grams "	"80%"	"2003"	"21grams"
"969"	68	208	"Pirates of the Caribbean: The Curse of the Black Pearl "	"79%"	"2003"	"piratesofthecaribbean:thecurseoftheblackpearl"
"970"	69	130	"The Barbarian Invasions Les Invasions barbares) "	"81%"	"2003"	"thebarbarianinvasionslesinvasionsbarbares)"
"971"	70	213	"Bad Santa "	"78%"	"2003"	"badsanta"
"972"	71	179	"Open Range "	"79%"	"2003"	"openrange"
"973"	72	48	"Bukowski: Born into This "	"83%"	"2003"	"bukowski:bornintothis"
"974"	73	79	"Step Into Liquid "	"82%"	"2003"	"stepintoliquid"
"975"	74	40	"Chihwaseon "	"83%"	"2003"	"chihwaseon"
"976"	75	65	"Stone Reader "	"82%"	"2003"	"stonereader"
"977"	76	159	"Confessions of a Dangerous Mind "	"79%"	"2003"	"confessionsofadangerousmind"
"978"	77	61	"Amandla! A Revolution in Four-Part Harmony "	"82%"	"2003"	"amandla!arevolutioninfour-partharmony"
"979"	78	214	"Big Fish "	"77%"	"2003"	"bigfish"
"980"	79	85	"Blue Car "	"81%"	"2003"	"bluecar"
"981"	80	44	"Charlotte Sometimes "	"82%"	"2003"	"charlottesometimes"
"982"	81	201	"Seabiscuit "	"77%"	"2003"	"seabiscuit"
"983"	82	166	"25th Hour "	"78%"	"2003"	"25thhour"
"984"	83	100	"Ghosts of the Abyss "	"80%"	"2003"	"ghostsoftheabyss"
"985"	84	68	"Divine Intervention "	"81%"	"2003"	"divineintervention"
"986"	85	82	"I Capture the Castle "	"80%"	"2003"	"icapturethecastle"
"987"	86	143	"The Good Thief "	"78%"	"2003"	"thegoodthief"
"988"	87	171	"The Cooler "	"77%"	"2003"	"thecooler"
"989"	88	104	"Bubba Ho-Tep "	"79%"	"2003"	"bubbaho-tep"
"990"	89	69	"Mondays in the Sun Los Lunes al sol) "	"80%"	"2003"	"mondaysinthesunloslunesalsol)"
"991"	90	94	"Owning Mahowny "	"79%"	"2003"	"owningmahowny"
"992"	91	141	"Peter Pan "	"77%"	"2003"	"peterpan"
"993"	92	133	"Holes "	"77%"	"2003"	"holes"
"994"	93	88	"Tupac: Resurrection "	"78%"	"2003"	"tupac:resurrection"
"995"	94	180	"Intolerable Cruelty "	"75%"	"2003"	"intolerablecruelty"
"996"	95	53	"Friday Night "	"79%"	"2003"	"fridaynight"
"997"	96	177	"House of Sand and Fog "	"75%"	"2003"	"houseofsandandfog"
"998"	97	238	"The Matrix Reloaded "	"73%"	"2003"	"thematrixreloaded"
"999"	98	47	"Stoked: The Rise and Fall of Gator "	"79%"	"2003"	"stoked:theriseandfallofgator"
"1000"	99	90	"L'Auberge Espagnole "	"77%"	"2003"	"l'aubergeespagnole"
"1001"	100	60	"Une femme de mü¾Ž†„¼ü¾¦„¼nage "	"77%"	"2003"	"unefemmedemü¾Ž†„¼ü¾¦„¼nage"
"1002"	1	233	"The Incredibles "	"97%"	"2004"	"theincredibles"
"1003"	2	223	"Sideways "	"96%"	"2004"	"sideways"
"1004"	3	139	"Maria Full of Grace "	"97%"	"2004"	"mariafullofgrace"
"1005"	4	200	"Hero "	"95%"	"2004"	"hero"
"1006"	5	73	"Moolaadü¾Ž†„¼ü¾¦„¼ "	"99%"	"2004"	"moolaadü¾Ž†„¼ü¾¦„¼"
"1007"	6	261	"Spider-Man 2 "	"93%"	"2004"	"spider-man2"
"1008"	7	68	"The Twilight Samurai Tasogare Seibei) "	"99%"	"2004"	"thetwilightsamuraitasogareseibei)"
"1009"	8	171	"Before Sunset "	"95%"	"2004"	"beforesunset"
"1010"	9	233	"Eternal Sunshine Of The Spotless Mind "	"93%"	"2004"	"eternalsunshineofthespotlessmind"
"1011"	10	55	"Since Otar Left "	"98%"	"2004"	"sinceotarleft"
"1012"	11	53	"Les Parapluies de Cherbourg "	"98%"	"2004"	"lesparapluiesdecherbourg"
"1013"	12	109	"Control Room "	"96%"	"2004"	"controlroom"
"1014"	13	106	"Born Into Brothels "	"96%"	"2004"	"bornintobrothels"
"1015"	14	102	"Osama "	"96%"	"2004"	"osama"
"1016"	15	253	"Million Dollar Baby "	"91%"	"2004"	"milliondollarbaby"
"1017"	16	250	"Harry Potter and the Prisoner of Azkaban "	"91%"	"2004"	"harrypotterandtheprisonerofazkaban"
"1018"	17	170	"Super Size Me "	"93%"	"2004"	"supersizeme"
"1019"	18	201	"Shaun of the Dead "	"92%"	"2004"	"shaunofthedead"
"1020"	19	48	"Plagues & Pleasures on the Salton Sea "	"96%"	"2004"	"plagues&pleasuresonthesaltonsea"
"1021"	20	45	"Lost Boys of Sudan "	"96%"	"2004"	"lostboysofsudan"
"1022"	21	138	"Touching the Void "	"93%"	"2004"	"touchingthevoid"
"1023"	22	102	"The Story of the Weeping Camel "	"94%"	"2004"	"thestoryoftheweepingcamel"
"1024"	23	157	"Vera Drake "	"92%"	"2004"	"veradrake"
"1025"	24	62	"End of the Century: The Story of the Ramones "	"95%"	"2004"	"endofthecentury:thestoryoftheramones"
"1026"	25	71	"The Agronomist "	"94%"	"2004"	"theagronomist"
"1027"	26	194	"Kinsey "	"90%"	"2004"	"kinsey"
"1028"	27	95	"Riding Giants "	"93%"	"2004"	"ridinggiants"
"1029"	28	189	"Hotel Rwanda "	"90%"	"2004"	"hotelrwanda"
"1030"	29	92	"Nobody Knows Dare mo shiranai) "	"93%"	"2004"	"nobodyknowsdaremoshiranai)"
"1031"	30	91	"My Architect "	"93%"	"2004"	"myarchitect"
"1032"	31	233	"Shrek 2 "	"88%"	"2004"	"shrek2"
"1033"	32	136	"Downfall Der Untergang) "	"91%"	"2004"	"downfallderuntergang)"
"1034"	33	102	"Tarnation "	"92%"	"2004"	"tarnation"
"1035"	34	90	"Shaolin Soccer "	"91%"	"2004"	"shaolinsoccer"
"1036"	35	120	"Mean Creek "	"90%"	"2004"	"meancreek"
"1037"	36	213	"The Aviator "	"87%"	"2004"	"theaviator"
"1038"	37	51	"La demoiselle d'honneur The Bridesmaid) "	"92%"	"2004"	"lademoiselled'honneurthebridesmaid)"
"1039"	38	110	"The Corporation "	"90%"	"2004"	"thecorporation"
"1040"	39	107	"Good Bye, Lenin! "	"90%"	"2004"	"goodbye,lenin!"
"1041"	40	167	"House of Flying Daggers "	"88%"	"2004"	"houseofflyingdaggers"
"1042"	41	228	"Collateral "	"86%"	"2004"	"collateral"
"1043"	42	122	"Metallica: Some Kind of Monster "	"89%"	"2004"	"metallica:somekindofmonster"
"1044"	43	87	"My Summer of Love "	"90%"	"2004"	"mysummeroflove"
"1045"	44	43	"Donnie Darko: The Director's Cut "	"91%"	"2004"	"donniedarko:thedirector'scut"
"1046"	45	137	"Bad Education "	"88%"	"2004"	"badeducation"
"1047"	46	69	"Dig! "	"90%"	"2004"	"dig!"
