"rank"	"reviewnum"	"title"	"tomato_rating"	"year"	"title1"
"117"	25	47	"Chaplin "	"57%"	"1992"	"chaplin"
"118"	26	43	"Lethal Weapon 3 "	"56%"	"1992"	"lethalweapon3"
"119"	27	59	"Basic Instinct "	"54%"	"1992"	"basicinstinct"
"120"	28	45	"Alien3 "	"44%"	"1992"	"alien3"
"121"	29	40	"A Stranger Among Us "	"23%"	"1992"	"astrangeramongus"
"122"	30	45	"Cool World "	"4%"	"1992"	"coolworld"
"123"	1	40	"Three Colors: Blue Trois Couleurs: Bleu) "	"100%"	"1993"	"threecolors:bluetroiscouleurs:bleu)"
"124"	2	85	"Schindler's List "	"96%"	"1993"	"schindler'slist"
"125"	3	116	"Jurassic Park "	"93%"	"1993"	"jurassicpark"
"126"	4	72	"The Fugitive "	"96%"	"1993"	"thefugitive"
"127"	5	71	"Groundhog Day "	"96%"	"1993"	"groundhogday"
"128"	6	89	"The Nightmare Before Christmas "	"94%"	"1993"	"thenightmarebeforechristmas"
"129"	7	65	"In the Line of Fire "	"95%"	"1993"	"inthelineoffire"
"130"	8	51	"What's Love Got To Do With It? "	"96%"	"1993"	"what'slovegottodowithit?"
"131"	9	54	"Short Cuts "	"94%"	"1993"	"shortcuts"
"132"	10	54	"Dave "	"94%"	"1993"	"dave"
"133"	11	51	"Dazed and Confused "	"94%"	"1993"	"dazedandconfused"
"134"	12	49	"In the Name of the Father "	"94%"	"1993"	"inthenameofthefather"
"135"	13	51	"True Romance "	"92%"	"1993"	"trueromance"
"136"	14	44	"Much Ado About Nothing "	"91%"	"1993"	"muchadoaboutnothing"
"137"	15	49	"The Piano "	"90%"	"1993"	"thepiano"
"138"	16	45	"What's Eating Gilbert Grape "	"89%"	"1993"	"what'seatinggilbertgrape"
"139"	17	52	"Naked "	"88%"	"1993"	"naked"
"140"	18	40	"The Secret Garden "	"85%"	"1993"	"thesecretgarden"
"141"	19	45	"The Age of Innocence "	"80%"	"1993"	"theageofinnocence"
"142"	20	44	"Carlito's Way "	"80%"	"1993"	"carlito'sway"
"143"	21	50	"Philadelphia "	"78%"	"1993"	"philadelphia"
"144"	22	46	"Addams Family Values "	"78%"	"1993"	"addamsfamilyvalues"
"145"	23	52	"The Firm "	"75%"	"1993"	"thefirm"
"146"	24	49	"Falling Down "	"73%"	"1993"	"fallingdown"
"147"	25	45	"Tombstone "	"73%"	"1993"	"tombstone"
"148"	26	46	"Army of Darkness "	"72%"	"1993"	"armyofdarkness"
"149"	27	46	"Sleepless in Seattle "	"72%"	"1993"	"sleeplessinseattle"
"150"	28	49	"Mrs. Doubtfire "	"71%"	"1993"	"mrs.doubtfire"
"151"	29	49	"Cliffhanger "	"69%"	"1993"	"cliffhanger"
"152"	30	52	"Reality Bites "	"65%"	"1993"	"realitybites"
"153"	31	43	"Wayne's World 2 "	"60%"	"1993"	"wayne'sworld2"
"154"	32	44	"The Sandlot "	"57%"	"1993"	"thesandlot"
"155"	33	48	"The Pelican Brief "	"52%"	"1993"	"thepelicanbrief"
"156"	34	51	"Ace Ventura: Pet Detective "	"45%"	"1993"	"aceventura:petdetective"
"157"	35	43	"Last Action Hero "	"37%"	"1993"	"lastactionhero"
"158"	36	43	"Hocus Pocus "	"30%"	"1993"	"hocuspocus"
"159"	1	48	"Three Colors: Red Trois couleurs: Rouge) "	"100%"	"1994"	"threecolors:redtroiscouleurs:rouge)"
"160"	2	50	"Hoop Dreams "	"98%"	"1994"	"hoopdreams"
"161"	3	57	"Bullets Over Broadway "	"96%"	"1994"	"bulletsoverbroadway"
"162"	4	53	"Quiz Show "	"96%"	"1994"	"quizshow"
"163"	5	77	"Pulp Fiction "	"94%"	"1994"	"pulpfiction"
"164"	6	63	"Four Weddings and a Funeral "	"95%"	"1994"	"fourweddingsandafuneral"
"165"	7	49	"The Last Seduction "	"94%"	"1994"	"thelastseduction"
"166"	8	60	"Speed "	"93%"	"1994"	"speed"
"167"	9	60	"Ed Wood "	"92%"	"1994"	"edwood"
"168"	10	44	"Eat Drink Man Woman Yin shi nan nu) "	"93%"	"1994"	"eatdrinkmanwomanyinshinannu)"
"169"	11	43	"The Madness of King George "	"93%"	"1994"	"themadnessofkinggeorge"
"170"	12	66	"The Shawshank Redemption "	"91%"	"1994"	"theshawshankredemption"
"171"	13	49	"Heavenly Creatures "	"92%"	"1994"	"heavenlycreatures"
"172"	14	54	"Nobody's Fool "	"91%"	"1994"	"nobody'sfool"
"173"	15	41	"Three Colors: White Trzy kolory: Bialy) Trois Couleurs: Blanc) "	"90%"	"1994"	"threecolors:whitetrzykolory:bialy)troiscouleurs:blanc)"
"174"	16	47	"Cronos "	"89%"	"1994"	"cronos"
"175"	17	49	"Clerks "	"88%"	"1994"	"clerks"
"176"	18	75	"The Legend of Drunken Master Jui kuen II) Drunken Fist II) "	"83%"	"1994"	"thelegendofdrunkenmasterjuikuenii)drunkenfistii)"
"177"	19	50	"The Crow "	"82%"	"1994"	"thecrow"
"178"	20	52	"The Mask "	"77%"	"1994"	"themask"
"179"	21	52	"The Santa Clause "	"75%"	"1994"	"thesantaclause"
"180"	22	83	"Forrest Gump "	"72%"	"1994"	"forrestgump"
"181"	23	47	"True Lies "	"72%"	"1994"	"truelies"
