Number	Rank	Title	Studio	Worldwide	Domestic 	Dome_perc	Overseas 	Over_perc	Year	Rating	star1	star2	director1	dir_win	dir_nomi	st1_won	st1_nomi	st2_won	st2_nomi
57	57	Spider-Man 2	Sony	783.8	373.6	0.477	410.2	0.523	2004	7.3	Tobey Maguire	Kirsten Dunst	Sam Raimi	10	16	7	30	28	56
58	58	Star Wars	Fox	775.4	461	0.595	314.4	0.405	1977^	8.7	Mark Hamill	Harrison Ford	George Lucas	40	31	11	13	32	36
59	59	Guardians of the Galaxy	BV	773.3	333.2	0.431	440.1	0.569	2014	8.1	Chris Pratt	Zoe Saldana	James Gunn	12	8	10	25	12	46
60	60	2012	Sony	769.7	166.1	0.216	603.6	0.784	2009	5.8	John Cusack	Amanda Peet	Roland Emmerich	13	14	7	17	2	7
61	61	Maleficent	BV	758.5	241.4	0.318	517.1	0.682	2014	7	Angelina Jolie	Elle Fanning	Robert Stromberg	17	27	47	93	10	34
62	62	The Da Vinci Code	Sony	758.2	217.5	0.287	540.7	0.713	2006	6.5	Tom Hanks	Audrey Tautou	Ron Howard	38	65	76	115	10	18
63	63	The Amazing Spider-Man	Sony	757.9	262	0.346	495.9	0.654	2012	7.3	Tobey Maguire	Kirsten Dunst	Sam Raimi	10	16	7	30	28	56
64	64	The Hunger Games: Mockingjay - Part 1	LGF	755.4	337.1	0.446	418.2	0.554	2014	6.7	Jennifer Lawrence	Josh Hutcherson	Francis Lawrence	3	5	106	157	16	20
65	65	Shrek Forever After	P/DW	752.6	238.7	0.317	513.9	0.683	2010	6.4	Mike Myers	Eddie Murphy	Mike Mitchell	6	6	28	38	30	67
66	66	X-Men: Days of Future Past	Fox	747.9	233.9	0.313	513.9	0.687	2014	8	Hugh Jackman	James McAvoy	Bryan Singer	14	20	20	71	11	25
67	67	Madagascar 3: Europe's Most Wanted	P/DW	746.9	216.4	0.29	530.5	0.71	2012	6.9	Ben Stiller	Chris Rock	Eric Darnell	0	2	13	52	18	60
68	68	"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe"	BV	745	291.7	0.392	453.3	0.608	2005	6.9	Georgie Henley	Skandar Keynes	Andrew Adamson	7	19	3	10	1	3
69	69	Monsters University	BV	743.6	268.5	0.361	475.1	0.639	2013	7.4	Billy Crystal	John Goodman	Dan Scanlon	 	 	30	47	20	62
70	70	The Matrix Reloaded	WB	742.1	281.6	0.379	460.6	0.621	2003	7.2	Ray Anthony	Christine Anu	Lana Wachowski	10	22	0	1	12	36
71	71	Up	BV	731.3	293	0.401	438.3	0.599	2009	8.3	Edward Asner	Christopher Plummer	Pete Docter	41	56	24	24	43	53
72	72	Gravity	WB	723.2	274.1	0.379	449.1	0.621	2013	7.9	Sandra Bullock	George Clooney	Alfonso Cuar¨®n	100	89	72	102	87	193
73	73	Captain America: The Winter Soldier	BV	714.4	259.8	0.364	454.7	0.636	2014	7.8	Chris Evans	Samuel L. Jackson	Anthony Russo	2	26	4	26	31	76
74	74	The Twilight Saga: Breaking Dawn Part 1	Sum.	712.2	281.3	0.395	430.9	0.605	2011	4.9	Taylor Lautner	Gil Birmingham	Bill Condon	19	40	18	28	1	0
75	75	Dawn of the Planet of the Apes	Fox	710.6	208.5	0.293	502.1	0.707	2014	7.6	Andy Serkis	Jason Clarke	Matt Reeves	2	6	30	42	0	4
76	76	The Twilight Saga: New Moon	Sum.	709.7	296.6	0.418	413.1	0.582	2009	4.6	Kristen Stewart	Christina Jastrzembska	Chris Weitz	2	10	41	53	 	 
77	77	Transformers	P/DW	709.7	319.2	0.45	390.5	0.55	2007	7.1	Shia LaBeouf	Megan Fox	Michael Bay	7	10	11	38	6	18
78	78	The Amazing Spider-Man 2	Sony	709	202.9	0.286	506.1	0.714	2014	6.8	Andrew Garfield	Emma Stone	Marc Webb	3	4	11	51	36	76
79	79	The Twilight Saga: Eclipse	Sum.	698.5	300.5	0.43	398	0.57	2010	4.9	Xavier Samuel	Kristen Stewart	David Slade	4	16	1	3	41	53
80	80	Mission: Impossible - Ghost Protocol	Par.	694.7	209.4	0.301	485.3	0.699	2011	7.4	Tom Cruise	Paula Patton	Brad Bird	30	25	39	76	1	11
81	81	The Hunger Games	LGF	694.4	408	0.588	286.4	0.412	2012	7.3	Stanley Tucci	Wes Bentley	Gary Ross	8	21	25	47	5	10
82	82	Mission: Impossible - Rogue Nation	Par.	682.3	195	0.286	487.3	0.714	2015	7.5	Tom Cruise	Jeremy Renner	Christopher McQuarrie	8	3	39	76	30	53
83	83	Forrest Gump	Par.	677.9	330.3	0.487	347.7	0.513	1994^	8.8	Tom Hanks	Rebecca Williams	Robert Zemeckis	33	33	76	115	 	 
84	84	Interstellar	Par.	675.1	188	0.278	487.1	0.722	2014	8.6	Ellen Burstyn	Matthew McConaughey	Christopher Nolan	121	160	32	49	42	75
85	85	The Sixth Sense	BV	672.8	293.5	0.436	379.3	0.564	1999	8.1	Bruce Willis	Haley Joel Osment	M. Night Shyamalan	12	36	21	37	25	28
86	86	Man of Steel	WB	668	291	0.436	377	0.564	2013	7.2	Henry Cavill	Amy Adams	Zack Snyder	3	7	1	5	54	146
