Number	Rank	Title	Studio	Worldwide	Domestic 	Dome_perc	Overseas 	Over_perc	Year	Rating	star1	star2	director1	dir_win	dir_nomi	st1_won	st1_nomi	st2_won	st2_nomi
335	335	Air Force One	Sony	315.2	173	0.549	142.2	0.451	1997	6.4	Harrison Ford	Gary Oldman	Wolfgang Petersen	10	8	32	36	24	44
336	336	Chicken Little	BV	314.4	135.4	0.431	179	0.569	2005	5.8	Zach Braff	Garry Marshall	Mark Dindal	0	3	11	40	13	14
337	337	As Good as It Gets	Sony	314.2	148.5	0.473	165.7	0.527	1997	7.7	Jack Nicholson	Helen Hunt	James L. Brooks	45	73	84	95	47	65
338	338	A Beautiful Mind	Uni.	313.5	170.7	0.545	142.8	0.455	2001	8.2	Russell Crowe	Ed Harris	Ron Howard	38	65	36	66	25	49
339	339	The Good Dinosaur	BV	313.3	122	0.389	191.3	0.611	2015	6.9	Jeffrey Wright	Frances McDormand	Peter Sohn	14	33	11	24	54	50
340	340	Maze Runner: The Scorch Trials	Fox	312.3	81.7	0.262	230.6	0.738	2015	6.4	Dylan O'Brien	Ki Hong Lee	Wes Ball	2	0	6	3	 	 
341	341	Austin Powers: The Spy Who Shagged Me	NL	312	206	0.66	106	0.34	1999	6.6	Mike Myers	Heather Graham	Jay Roach	9	5	28	38	5	10
342	342	Ocean's Thirteen	WB	311.3	117.2	0.376	194.2	0.624	2007	6.9	George Clooney	Brad Pitt	Steven Soderbergh	29	74	87	193	64	136
343	343	Little Fockers	Uni.	310.7	148.4	0.478	162.2	0.522	2010	5.5	Robert De Niro	Ben Stiller	Paul Weitz	2	9	48	82	13	52
344	344	Bolt	BV	310	114.1	0.368	195.9	0.632	2008	6.9	John Travolta	Miley Cyrus	Byron Howard	1	7	40	49	21	47
345	345	Ransom	BV	309.5	136.5	0.441	173	0.559	1996	6.6	Mel Gibson	Rene Russo	Ron Howard	38	65	32	30	4	28
346	346	Runaway Bride	Par.	309.5	152.3	0.492	157.2	0.508	1999	5.4	Julia Roberts	Richard Gere	Garry Marshall	13	14	51	86	20	26
347	347	The Blind Side	WB	309.2	256	0.828	53.2	0.172	2009	7.7	Sandra Bullock	Tim McGraw	John Lee Hancock	3	5	72	102	3	13
348	348	The Polar Express	WB	307.5	183.4	0.596	124.1	0.404	2004^	6.6	Tom Hanks	Leslie Zemeckis	Robert Zemeckis	33	33	76	115	1	1
349	349	The Fault in our Stars	Fox	307.2	124.9	0.407	182.3	0.593	2014	7.9	Shailene Woodley	Ansel Elgort	Josh Boone	1	1	31	56	8	9
350	350	The Pursuit of Happyness	Sony	307.1	163.6	0.533	143.5	0.467	2006	7.9	Will Smith	Jaden Smith	Gabriele Muccino	12	23	56	106	8	19
351	351	Rise of the Guardians	P/DW	306.9	103.4	0.337	203.5	0.663	2012	7.3	Chris Pine	Alec Baldwin	Peter Ramsey	3	5	6	15	40	87
352	352	Chicago	Mira.	306.8	170.7	0.556	136.1	0.444	2002	7.2	Taye Diggs	Cliff Saunders	Rob Marshall	14	21	7	19	 	 
353	353	The Expendables 2	LGF	305.4	85	0.278	220.4	0.722	2012	6.7	Sylvester Stallone	Jason Statham	Simon West	4	9	55	58	1	2
354	354	Wrath of the Titans	WB	305.3	83.7	0.274	221.6	0.726	2012	5.8	Sam Worthington	Liam Neeson	Jonathan Liebesman	2	2	6	14	15	35
355	355	A Good Day to Die Hard	Fox	304.7	67.3	0.221	237.3	0.779	2013	5.3	Bruce Willis	Jai Courtney	John Moore	 	 	21	37	0	2
356	356	Mulan	BV	304.3	120.6	0.396	183.7	0.604	1998	7.5	Ming-Na Wen	Lea Salonga	Tony Bancroft	2	0	2	4	2	5
357	357	Close Encounters of the Third Kind	Col.	303.8	132.1	0.435	171.7	0.565	1977^	7.7	Richard Dreyfuss	Fran_ois Truffaut	Steven Spielberg	175	168	16	16	30	27
358	358	Battleship	Uni.	303	65.4	0.216	237.6	0.784	2012	5.9	Taylor Kitsch	Alexander Skarsg_rd	Peter Berg	1	15	2	7	7	10
359	359	Liar Liar	Uni.	302.7	181.4	0.599	121.3	0.401	1997	6.8	Jim Carrey	Maura Tierney	Tom Shadyac	1	0	45	88	2	9
360	360	G.I. Joe: The Rise of Cobra	Par.	302.5	150.2	0.497	152.3	0.503	2009	5.8	Adewale Akinnuoye-Agbaje	Christopher Eccleston	Stephen Sommers	1	3	1	8	7	8
361	361	Hook	TriS	300.9	119.7	0.398	181.2	0.602	1991	6.7	Dustin Hoffman	Robin Williams	Steven Spielberg	175	168	58	49	63	80
362	362	Rocky IV	UA	300.5	127.9	0.426	172.6	0.574	1985	6.7	Sylvester Stallone	Talia Shire	Sylvester Stallone	55	58	55	58	5	7
363	363	Rambo: First Blood Part II	TriS	300.4	150.4	0.501	150	0.499	1985	6.4	Sylvester Stallone	Richard Crenna	George P. Cosmatos	1	2	55	58	2	9
364	364	Van Helsing	Uni.	300.3	120.2	0.4	180.1	0.6	2004	6	Hugh Jackman	Kate Beckinsale	Stephen Sommers	1	3	20	71	5	21
365	365	Superman	WB	300.2	134.2	0.447	166	0.553	1978	7.3	Marlon Brando	Gene Hackman	Richard Donner	9	7	30	32	31	37
366	366	Stuart Little	Sony	300.1	140	0.467	160.1	0.533	1999	5.9	Michael J. Fox	Geena Davis	Rob Minkoff	1	4	29	55	8	22
367	367	Beverly Hills Cop II	Par.	300	153.7	0.512	146.3	0.488	1987	6.4	Eddie Murphy	Judge Reinhold	Tony Scott	5	13	30	67	0	1
368	368	Kung Fu Panda 3	Fox	299.6	121.4	0.405	178.2	0.595	2016	7.8	Jack Black	Bryan Cranston	Alessandro Carloni	0	2	8	43	45	75
369	369	My Best Friend's Wedding	Sony	299.3	127.1	0.425	172.2	0.575	1997	6.3	Julia Roberts	Dermot Mulroney	P.J. Hogan	3	5	51	86	7	9
370	370	Real Steel	BV	299.3	85.5	0.286	213.8	0.714	2011	7.1	Hugh Jackman	Dakota Goyo	Shawn Levy	3	1	20	71	1	4
371	371	The Divergent Series: Insurgent	LG/S	297.3	130.2	0.438	167.1	0.562	2015	6.3	Kate Winslet	Jai Courtney	Robert Schwentke	3	3	80	144	0	2
372	372	Dr. Seuss' Horton Hears a Who!	Fox	297.1	154.5	0.52	142.6	0.48	2008	6.9	Jim Carrey	Steve Carell	Jimmy Hayward	 	 	45	88	32	115
373	373	Look Who's Talking	TriS	297	140.1	0.472	156.9	0.528	1989	5.8	John Travolta	Kirstie Alley	Amy Heckerling	3	2	40	49	6	33
374	374	Austin Powers in Goldmember	NL	296.7	213.3	0.719	83.3	0.281	2002	6.2	Mike Myers	Beyonc¨¦ Knowles	Jay Roach	9	5	28	38	36	97
375	375	X-Men	Fox	296.3	157.3	0.531	139	0.469	2000	7.4	Hugh Jackman	Patrick Stewart	Bryan Singer	14	20	20	71	9	36
376	376	Resident Evil: Afterlife	SGem	296.2	60.1	0.203	236.1	0.797	2010	6.3	Milla Jovovich	Oded Fehr	Russell Mulcahy	1	4	3	16	 	 
377	377	Ghostbusters	Col.	295.2	242.2	0.82	53	0.18	1984^	7.8	Bill Murray	Dan Aykroyd	Ivan Reitman	8	11	49	63	3	14
378	378	Shutter Island	Par.	294.8	128	0.434	166.8	0.566	2010	8.1	Leonardo DiCaprio	Mark Ruffalo	Martin Scorsese	135	185	85	195	26	108
379	379	Doctor Dolittle	Fox	294.5	144.2	0.49	150.3	0.51	1998	5.3	Eddie Murphy	Ossie Davis	Betty Thomas	8	13	30	67	11	15
380	380	Salt	Sony	293.5	118.3	0.403	175.2	0.597	2010	6.4	Angelina Jolie	Liev Schreiber	Phillip Noyce	23	10	47	93	11	25
381	381	G-Force	BV	292.8	119.4	0.408	173.4	0.592	2009	5.1	Bill Nighy	Will Arnett	Hoyt Yeatman	2	4	15	25	5	20
382	382	What Lies Beneath	DW	291.4	155.5	0.533	136	0.467	2000	6.6	Michelle Pfeiffer	Katharine Towne	Robert Zemeckis	33	33	23	36	 	 
383	383	The Departed	WB	289.8	132.4	0.457	157.5	0.543	2006	8.5	Leonardo DiCaprio	Matt Damon	Martin Scorsese	135	185	85	195	34	122
384	384	Shakespeare in Love	Mira.	289.3	100.3	0.347	189	0.653	1998	7.2	Geoffrey Rush	Tom Wilkinson	John Madden	11	18	43	75	24	70
385	385	Fantastic Four: Rise of the Silver Surfer	Fox	289	131.9	0.456	157.1	0.544	2007	5.6	Ioan Gruffudd	Jessica Alba	Tim Story	0	6	2	4	14	37
386	386	Divergent	LG/S	288.9	150.9	0.523	137.9	0.477	2014	6.8	Shailene Woodley	Theo James	Neil Burger	2	5	31	56	3	4
387	387	Coming to America	Par.	288.8	128.2	0.444	160.6	0.556	1988	6.9	Eddie Murphy	Arsenio Hall	John Landis	8	14	30	67	4	4
388	388	The Bourne Supremacy	Uni.	288.5	176.2	0.611	112.3	0.389	2004	7.8	Matt Damon	Franka Potente	Paul Greengrass	34	62	34	122	8	7
389	389	Bridesmaids	Uni.	288.4	169.1	0.586	119.3	0.414	2011	6.8	Kristen Wiig	Terry Crews	Paul Feig	7	10	8	55	0	17
390	390	Sex and the City 2	WB (NL)	288.3	95.3	0.331	193	0.669	2010	4.3	Sarah Jessica Parker	Kristin Davis	Michael Patrick King	6	22	28	43	5	10
391	391	Casper	Uni.	287.9	100.3	0.348	187.6	0.652	1995	6	Chauncey Leopardi	Spencer Vrooman	Brad Silberling	0	4	1	0	 	 
392	392	Bee Movie	P/DW	287.6	126.6	0.44	161	0.56	2007	6.2	Jerry Seinfeld	Ren¨¦e Zellweger	Steve Hickner	1	2	14	38	25	71
393	393	American Pie 2	Uni.	287.6	145.1	0.505	142.5	0.495	2001	6.4	Jason Biggs	Shannon Elizabeth	J.B. Rogers	0	6	4	15	3	4
394	394	Pitch Perfect 2	Uni.	287.5	184.3	0.641	103.2	0.359	2015	6.5	Anna Kendrick	Rebel Wilson	Elizabeth Banks	11	32	13	57	5	14
395	395	The Green Mile	WB	286.8	136.8	0.477	150	0.523	1999	8.5	Tom Hanks	David Morse	Frank Darabont	12	24	76	115	5	13
396	396	Oblivion	Uni.	286.2	89.1	0.311	197.1	0.689	2013	7	Tom Cruise	Morgan Freeman	Joseph Kosinski	 	 	39	76	56	69
397	397	Elysium	TriS	286.1	93.1	0.325	193.1	0.675	2013	6.6	Matt Damon	Jodie Foster	Neill Blomkamp	11	32	34	122	54	43
398	398	Lethal Weapon 4	WB	285.4	130.4	0.457	155	0.543	1998	6.6	Mel Gibson	Danny Glover	Richard Donner	9	7	32	30	22	41
399	399	Wedding Crashers	NL	285.2	209.3	0.734	75.9	0.266	2005	7	Owen Wilson	Vince Vaughn	David Dobkin	1	1	14	45	7	12
400	400	John Carter	BV	284.1	73.1	0.257	211.1	0.743	2012	6.6	Taylor Kitsch	Lynn Collins	Andrew Stanton	32	50	2	7	0	2
401	401	Turbo	Fox	282.6	83	0.294	199.5	0.706	2013	6.5	Ryan Reynolds	Paul Giamatti	David Soren	0	2	8	32	45	58
402	402	Bridget Jones's Diary	Mira.	281.9	71.5	0.254	210.4	0.746	2001	6.7	Ren¨¦e Zellweger	Gemma Jones	Sharon Maguire	0	4	25	71	3	6
403	403	The Tourist	Sony	278.3	67.6	0.243	210.7	0.757	2010	6	Johnny Depp	Angelina Jolie	Florian Henckel von Donnersmarck	55	7	65	115	47	93
404	404	Scary Movie	Mira.	278	157	0.565	121	0.435	2000	7.2	Drew Barrymore	Roger Jackson	Wes Craven	10	4	32	57	0	2
405	405	XXX	SonR	277.4	142.1	0.512	135.3	0.488	2002	5.8	Vin Diesel	Asia Argento	Rob Cohen	3	1	7	26	14	13
406	406	The Bourne Legacy	Uni.	276.1	113.2	0.41	162.9	0.59	2012	6.7	Jeremy Renner	Scott Glenn	Tony Gilroy	4	36	30	53	0	1
407	407	Mr. Peabody & Sherman	Fox	275.7	111.5	0.404	164.2	0.596	2014	6.9	Ty Burrell	Max Charles	Rob Minkoff	1	4	17	33	2	5
408	408	Scooby-Doo	WB	275.7	153.3	0.556	122.4	0.444	2002	4.9	Freddie Prinze Jr.	Sarah Michelle Gellar	Raja Gosnell	 	 	8	12	17	29
409	409	Lincoln	BV	275.3	182.2	0.662	93.1	0.338	2012	7.4	Daniel Day-Lewis	Sally Field	Steven Spielberg	175	168	136	63	43	70
410	410	Spirited Away	BV	274.9	10.1	0.037	264.9	0.963	2002	8.6	Rumi Hiiragi	Miyu Irino	Hayao Miyazaki	73	33	1	0	 	 
411	411	Lara Croft: Tomb Raider	Par.	274.7	131.2	0.477	143.5	0.523	2001	5.7	Angelina Jolie	Jon Voight	Simon West	4	9	47	93	24	30
412	412	The Expendables	LGF	274.5	103.1	0.376	171.4	0.624	2010	6.5	Sylvester Stallone	Jason Statham	Sylvester Stallone	55	58	55	58	1	2
413	413	Cloudy with a Chance of Meatballs 2	Sony	274.3	119.8	0.437	154.5	0.563	2013	6.5	Bill Hader	Anna Faris	Cody Cameron	0	2	3	15	1	18
414	414	The Nutty Professor (1996)	Uni.	274	128.8	0.47	145.1	0.53	1996	5.6	Eddie Murphy	Jada Pinkett Smith	Tom Shadyac	1	0	30	67	5	22
415	415	Jerry Maguire	Sony	273.6	154	0.563	119.6	0.437	1996	7.3	Tom Cruise	Cuba Gooding Jr.	Cameron Crowe	20	42	39	76	17	34
416	416	Bad Boys II	Sony	273.3	138.6	0.507	134.7	0.493	2003	6.6	Martin Lawrence	Will Smith	Michael Bay	7	10	5	11	56	106
417	417	Lilo & Stitch	BV	273.1	145.8	0.534	127.3	0.466	2002	7.2	Daveigh Chase	Chris Sanders	Dean DeBlois	7	22	3	3	7	21
418	418	The Silence of the Lambs	Orion	272.7	130.7	0.479	142	0.521	1991	8.6	Jodie Foster	Lawrence A. Bonney	Jonathan Demme	26	28	54	43	 	 
419	419	Grown Ups	Sony	271.4	162	0.597	109.4	0.403	2010	6	Adam Sandler	Kevin James	Dennis Dugan	1	4	50	68	1	13
420	420	Neighbors	Uni.	270.7	150.2	0.555	120.5	0.445	2014	6.4	Seth Rogen	Rose Byrne	Nicholas Stoller	1	7	11	26	12	23
421	421	The Firm	Par.	270.2	158.3	0.586	111.9	0.414	1993	6.8	Tom Cruise	Jeanne Tripplehorn	Sydney Pollack	26	39	39	76	0	7
422	422	We're the Millers	WB (NL)	270	150.4	0.557	119.6	0.443	2013	7	Jennifer Aniston	Jason Sudeikis	Rawson Marshall Thurber	0	1	33	73	0	5
423	423	Gran Torino	WB	270	148.1	0.549	121.9	0.451	2008	8.2	Clint Eastwood	Christopher Carley	Clint Eastwood	143	148	143	148	 	 
424	424	"10,000 B.C."	WB	269.8	94.8	0.351	175	0.649	2008	5.1	Steven Strait	Camilla Belle	Roland Emmerich	13	14	0	1	0	5
425	425	Epic	Fox	268.4	107.5	0.401	160.9	0.599	2013	6.7	Blake Anderson	Aziz Ansari	Chris Wedge	6	6	0	1	0	11
426	426	Exodus: Gods and Kings	Fox	268.2	65	0.242	203.2	0.758	2014	6.1	Christian Bale	Joel Edgerton	Ridley Scott	31	87	64	76	12	25
427	427	Bambi	RKO	267.4	102.2	0.382	165.2	0.618	1942^	7.4	Hardie Albright	Stan Alexander	James Algar	10	3	 	 	 	 
428	428	The Princess and the Frog	BV	267	104.4	0.391	162.6	0.609	2009	7.2	Anika Noni Rose	Bruno Campos	Ron Clements	7	8	5	19	1	1
429	429	Batman Returns	WB	266.8	162.8	0.61	104	0.39	1992	7	Michael Keaton	Danny DeVito	Tim Burton	20	58	58	36	11	39
430	430	Something's Gotta Give	Sony	266.7	124.7	0.468	142	0.532	2003	6.7	Jack Nicholson	Diane Keaton	Nancy Meyers	6	5	84	95	30	50
431	431	Indecent Proposal	Par.	266.6	106.6	0.4	160	0.6	1993	5.8	Robert Redford	Demi Moore	Adrian Lyne	4	4	34	47	12	28
432	432	American Gangster	Uni.	266.5	130.2	0.488	136.3	0.512	2007	7.8	Denzel Washington	Russell Crowe	Ridley Scott	31	87	68	103	36	66
433	433	Waterworld	Uni.	264.2	88.2	0.334	176	0.666	1995	6.1	Kevin Costner	Chaim Jeraffi	Kevin Reynolds	2	5	46	49	 	 
434	434	The Truman Show	Par.	264.1	125.6	0.476	138.5	0.524	1998	8.1	Jim Carrey	Laura Linney	Peter Weir	32	56	45	88	37	88
435	435	Charlie's Angels	Sony	264.1	125.3	0.474	138.8	0.526	2000	5.5	Cameron Diaz	Drew Barrymore	McG	24	38	28	82	32	57
436	436	The Fifth Element	Sony	263.9	63.8	0.242	200.1	0.758	1997	7.6	Bruce Willis	Gary Oldman	Luc Besson	24	22	21	37	24	44
437	437	The Incredible Hulk	Uni.	263.4	134.8	0.512	128.6	0.488	2008	6.8	Edward Norton	Liv Tyler	Louis Leterrier	 	 	46	79	12	19
438	438	Jumanji	Sony	262.8	100.5	0.382	162.3	0.618	1995	6.9	Robin Williams	Jonathan Hyde	Joe Johnston	2	6	63	80	0	1
439	439	Bridget Jones: The Edge of Reason	Uni.	262.5	40.2	0.153	222.3	0.847	2004	5.9	Ren¨¦e Zellweger	Gemma Jones	Beeban Kidron	3	2	25	71	3	6
440	440	Knight & Day	Fox	261.9	76.4	0.292	185.5	0.708	2010	6.3	Tom Cruise	Cameron Diaz	James Mangold	5	4	39	76	28	82
441	441	Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan	Fox	261.6	128.5	0.491	133.1	0.509	2006	7.3	Sacha Baron Cohen	Ken Davitian	Larry Charles	4	19	24	35	1	2
442	442	Total Recall	Sony	261.3	119.4	0.457	141.9	0.543	1990^	7.5	Arnold Schwarzenegger	Rachel Ticotin	Paul Verhoeven	25	19	23	31	0	4
443	443	Michael Jackson's This Is It	Sony	261.2	72.1	0.276	189.1	0.724	2009	7.3	Michael Jackson	Rachel Ticotin	Kenny Ortega	13	11	16	15	0	4
444	444	Robots	Fox	260.7	128.2	0.492	132.5	0.508	2005	6.3	Paula Abdul	Halle Berry	Chris Wedge	6	6	5	9	41	79
445	445	The Lone Ranger	BV	260.5	89.3	0.343	171.2	0.657	2013	6.5	Johnny Depp	Armie Hammer	Gore Verbinski	7	10	65	115	6	11
446	446	Super 8	Par.	260.1	127	0.488	133.1	0.512	2011	7.1	Joel Courtney	Jessica Tuck	J.J. Abrams	18	41	2	5	0	2
447	447	Paddington	W/Dim.	259.6	76.3	0.294	183.3	0.706	2015	7.2	Tim Downie	Madeleine Worrall	Paul King	0	4	 	 	 	 
448	448	Charlie's Angels: Full Throttle	Sony	259.2	100.8	0.389	158.3	0.611	2003	4.8	Cameron Diaz	Drew Barrymore	McG	24	38	28	82	32	57
449	449	Rush Hour 3	NL	258	140.1	0.543	117.9	0.457	2007	6.2	Chris Tucker	Jackie Chan	Brett Ratner	3	4	8	24	36	44
450	450	The Full Monty	FoxS	257.9	46	0.178	212	0.822	1997	7.2	Robert Carlyle	Mark Addy	Peter Cattaneo	19	11	13	20	1	7
451	451	Annabelle	WB (NL)	256.9	84.3	0.328	172.6	0.672	2014	5.4	Annabelle Wallis	Ward Horton	John R. Leonetti	1	4	0	1	 	 
452	452	The Village	BV	256.7	114.2	0.445	142.5	0.555	2004	6.5	Bryce Dallas Howard	Joaquin Phoenix	M. Night Shyamalan	12	36	14	23	30	110
453	453	Erin Brockovich	Uni.	256.3	125.6	0.49	130.7	0.51	2000	7.3	Julia Roberts	David Brisbin	Steven Soderbergh	29	74	51	86	 	 
454	454	Cliffhanger	TriS	255	84	0.33	171	0.67	1993	6.4	Sylvester Stallone	John Lithgow	Renny Harlin	3	12	55	58	21	46
455	455	Babe	Uni.	254.1	63.7	0.25	190.5	0.75	1995	6.8	Christine Cavanaugh	Miriam Margolyes	Chris Noonan	4	8	2	2	1	2
456	456	Wild Hogs	BV	253.6	168.3	0.663	85.4	0.337	2007	5.9	Tim Allen	John Travolta	Walt Becker	0	1	23	32	40	49
457	457	High School Musical 3: Senior Year	BV	252.9	90.6	0.358	162.3	0.642	2008	4.4	Zac Efron	Vanessa Hudgens	Kenny Ortega	13	11	24	26	4	17
458	458	Hercules	BV	252.7	99.1	0.392	153.6	0.608	1997	7.2	Tate Donovan	Josh Keaton	Ron Clements	7	8	5	8	2	13
459	459	True Grit	Par.	252.3	171.2	0.679	81	0.321	2010	7.7	Jeff Bridges	Hailee Steinfeld	Ethan Coen	109	252	31	67	23	30
460	460	Bean	Gram.	251.2	45.3	0.18	205.9	0.82	1997	6.3	Rowan Atkinson	Peter MacNicol	Mel Smith	1	0	7	14	5	14
461	461	American Hustle	Sony	251.2	150.1	0.598	101.1	0.402	2013	7.3	Christian Bale	Bradley Cooper	David O. Russell	42	99	64	76	29	65
462	462	You've Got Mail	WB	250.8	115.8	0.462	135	0.538	1998	6.5	Tom Hanks	Meg Ryan	Nora Ephron	7	18	76	115	10	25
463	463	Enemy of the State	BV	250.6	111.5	0.445	139.1	0.555	1998	7.3	Will Smith	Gene Hackman	Tony Scott	5	13	56	106	31	37
464	464	Brother Bear	BV	250.4	85.3	0.341	165.1	0.659	2003	6.8	Joaquin Phoenix	Jeremy Suarez	Aaron Blaise	0	1	30	110	0	7
465	465	The Mask of Zorro	Sony	250.3	94.1	0.376	156.2	0.624	1998	6.7	Jos¨¦ Mar¨ªa de Tavira	Diego Sieres	Martin Campbell	2	10	 	 	 	 
466	466	Eragon	Fox	249.5	75	0.301	174.5	0.699	2006	5.1	Ed Speleers	Jeremy Irons	Stefen Fangmeier	6	16	1	2	27	30
467	467	The Ring	DW	249.3	129.1	0.518	120.2	0.482	2002	7.1	Naomi Watts	Martin Henderson	Gore Verbinski	7	10	52	81	0	5
468	468	The Blair Witch Project	Art.	248.6	140.5	0.565	108.1	0.435	1999	6.4	Heather Donahue	Joshua Leonard	Daniel Myrick	5	8	2	4	3	2
469	469	Unbreakable	BV	248.1	95	0.383	153.1	0.617	2000	7.2	Bruce Willis	Samuel L. Jackson	M. Night Shyamalan	12	36	21	37	31	76
470	470	Dumb and Dumber	NL	247.3	127.2	0.514	120.1	0.486	1994	7.3	Jim Carrey	Jeff Daniels	Peter Farrelly	4	4	45	88	11	34
471	471	Grown Ups 2	Sony	247	133.7	0.541	113.3	0.459	2013	5.4	Adam Sandler	Kevin James	Dennis Dugan	1	4	50	68	1	13
472	472	Love Actually	Uni.	246.9	59.7	0.242	187.2	0.758	2003	7.7	Bill Nighy	Gregor Fisher	Richard Curtis	19	33	15	25	1	1
473	473	Rango	Par.	245.7	123.5	0.503	122.2	0.497	2011	7.2	Johnny Depp	Isla Fisher	Gore Verbinski	7	10	65	115	4	10
474	474	Four Weddings and a Funeral	Gram.	245.7	52.7	0.214	193	0.786	1994	7.1	Hugh Grant	James Fleet	Mike Newell	13	10	15	18	 	 
475	475	Face/Off	Par.	245.7	112.3	0.457	133.4	0.543	1997	7.3	John Travolta	Nicolas Cage	John Woo	18	15	40	49	40	60
476	476	The Peanuts Movie	Fox	245.7	130.1	0.53	115.5	0.47	2015	7.3	Trombone Shorty	Rebecca Bloom	Steve Martino	22	39	 	 	 	 
477	477	Dark Shadows	WB	245.5	79.7	0.325	165.8	0.675	2012	8.1	Jonathan Frid	Grayson Hall	Dan Curtis	6	6	0	1	0	2
478	478	Hulk	Uni.	245.4	132.2	0.539	113.2	0.461	2003	5.7	Eric Bana	Jennifer Connelly	Ang Lee	96	90	9	12	15	25
479	479	Bienvenue chez les Ch'tis		245.1	n/a	0	245.1	1	0	7.1	Kad Merad	Dany Boon	Dany Boon	4	7	1	2	4	7
480	480	The Godfather	Par.	245.1	135	0.551	110.1	0.449	1972^	9.2	Marlon Brando	Al Pacino	Francis Ford Coppola	49	47	30	32	43	63
481	481	Hercules (2014)	Par.	244.8	72.7	0.297	172.1	0.703	2014	7.2	Tate Donovan	Josh Keaton	Ron Clements	7	8	5	8	2	13
482	482	Back to the Future Part III	Uni.	244.5	87.7	0.359	156.8	0.641	1990	7.4	Michael J. Fox	Christopher Lloyd	Robert Zemeckis	33	33	29	55	30	16
483	483	Rush Hour	NL	244.4	141.2	0.578	103.2	0.422	1998	6.9	Ken Leung	Jackie Chan	Brett Ratner	3	4	2	2	36	44
484	484	After Earth	Sony	243.8	60.5	0.248	183.3	0.752	2013	4.9	Jaden Smith	Will Smith	M. Night Shyamalan	12	36	8	19	56	106
485	485	Pixels	Sony	243.5	78.7	0.323	164.7	0.677	2015	5.7	Adam Sandler	Kevin James	Chris Columbus	6	18	50	68	1	13
486	486	A Few Good Men	Col.	243.2	141.3	0.581	101.9	0.419	1992	7.6	Tom Cruise	Jack Nicholson	Rob Reiner	22	27	39	76	84	95
487	487	Cloudy with a Chance of Meatballs	Sony	243	124.9	0.514	118.1	0.486	2009	7	Bill Hader	Anna Faris	Phil Lord	11	12	3	15	1	18
488	488	8 Mile	Uni.	242.9	116.8	0.481	126.1	0.519	2002	7	Eminem	Kim Basinger	Curtis Hanson	49	26	30	50	10	24
489	489	Marley and Me	Fox	242.7	143.2	0.59	99.6	0.41	2008	7.1	Owen Wilson	Jennifer Aniston	David Frankel	7	6	14	45	33	73
490	490	RoboCop (2014)	Sony	242.7	58.6	0.241	184.1	0.759	2014	5.7	Belinda Bauer	John Glover	Irvin Kershner	5	2	 	 	0	8
491	491	Eraser	WB	242.3	101.3	0.418	141	0.582	1996	6.1	Arnold Schwarzenegger	James Caan	Chuck Russell	1	5	23	31	6	18
492	492	Journey to the Center of the Earth	WB (NL)	242	101.7	0.42	140.3	0.58	2008	5.8	Brendan Fraser	Josh Hutcherson	Eric Brevig	1	11	8	10	16	20
493	493	Resident Evil: Retribution	SGem	240.2	42.3	0.176	197.8	0.824	2012	5.4	Milla Jovovich	Sienna Guillory	Paul W.S. Anderson	2	2	3	16	0	2
494	494	Die Hard 2: Die Harder	Fox	240	117.5	0.49	122.5	0.51	1990	7.1	Bruce Willis	Bonnie Bedelia	Renny Harlin	3	12	21	37	2	5
495	495	Crocodile Dundee II	Par.	239.6	109.3	0.456	130.3	0.544	1988	5.5	Paul Hogan	Linda Kozlowski	John Cornell	0	3	3	16	0	1
496	496	Planes	BV	239.3	90.3	0.377	149	0.623	2013	5.8	Dane Cook	Stacy Keach	Klay Hall	0	2	3	4	6	8
497	497	Batman and Robin	WB	238.2	107.3	0.451	130.9	0.549	1997	3.7	Arnold Schwarzenegger	George Clooney	Joel Schumacher	9	8	23	31	87	193
498	498	Click	SonR	237.7	137.4	0.578	100.3	0.422	2006	6.4	Adam Sandler	Kate Beckinsale	Frank Coraci	 	 	50	68	5	21
499	499	Gulliver's Travels	Fox	237.4	42.8	0.18	194.6	0.82	2010	4.9	Jack Black	Jason Segel	Rob Letterman	0	2	8	43	7	27
500	500	Gone in 60 Seconds	BV	237.2	101.6	0.429	135.6	0.571	2000	6.5	Nicolas Cage	Giovanni Ribisi	Dominic Sena	3	1	40	60	4	21
501	501	Saturday Night Fever	Par.	237.1	94.2	0.397	142.9	0.603	1977	6.8	John Travolta	Karen Lynn Gorney	John Badham	3	7	40	49	 	 
502	502	Silver Linings Playbook	Wein.	236.4	132.1	0.559	104.3	0.441	2012	7.8	Bradley Cooper	Jennifer Lawrence	David O. Russell	42	99	29	65	106	157
503	503	2 Fast 2 Furious	Uni.	236.4	127.2	0.538	109.2	0.462	2003	5.8	Paul Walker	Tyrese Gibson	John Singleton	11	18	7	11	2	15
504	504	A.I. Artificial Intelligence	WB	235.9	78.6	0.333	157.3	0.667	2001	7.1	Haley Joel Osment	Frances O'Connor	Steven Spielberg	175	168	25	28	7	15
505	505	Dead Poets Society	BV	235.9	95.9	0.406	140	0.594	1989	8	Robin Williams	Robert Sean Leonard	Peter Weir	32	56	63	80	0	5
506	506	Spy	Fox	235.7	110.8	0.47	124.8	0.53	2015	7.1	Jude Law	Raad Rawi	Paul Feig	7	10	16	50	 	 
